feature_name,availability_class,prediction_safe,reason,source_module
day_of_week,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
is_weekend,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
is_holiday,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
is_festival,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
is_stubble_season,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
pm25,TARGET_VARIABLE,False,Prediction target y(t),OpenAQ
pm10,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
no2,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
so2,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
co,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
o3,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
temperature_c,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
humidity_pct,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
wind_speed_kmh,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
wind_direction_deg,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pressure_hpa,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
precipitation_mm,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_hotspot_count,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
mean_fire_brightness,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
high_confidence_fire_count,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
month,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
quarter,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
day_of_year,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
week_of_year,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
is_winter,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
is_summer,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
is_monsoon,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
is_post_monsoon,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
days_until_diwali,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
days_since_diwali,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
festival_window,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
traffic_activity_proxy,STATIC_CALENDAR_FEATURE,True,Deterministic calendar/seasonal flag known prior to day t,ml.src.features.time_features
wind_x,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
wind_y,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
