feature_name,availability_class,prediction_safe
pm25,TARGET,False
pm10,SAME_DAY_FEATURE,False
no2,SAME_DAY_FEATURE,False
so2,SAME_DAY_FEATURE,False
co,SAME_DAY_FEATURE,False
o3,SAME_DAY_FEATURE,False
temperature_c,SAME_DAY_FEATURE,False
humidity_pct,SAME_DAY_FEATURE,False
wind_speed_kmh,SAME_DAY_FEATURE,False
wind_direction_deg,SAME_DAY_FEATURE,False
pressure_hpa,SAME_DAY_FEATURE,False
precipitation_mm,SAME_DAY_FEATURE,False
fire_hotspot_count,SAME_DAY_FEATURE,False
high_confidence_fire_count,SAME_DAY_FEATURE,False
mean_fire_brightness,SAME_DAY_FEATURE,False
punjab_fire_count,SAME_DAY_FEATURE,False
haryana_fire_count,SAME_DAY_FEATURE,False
rajasthan_fire_count,SAME_DAY_FEATURE,False
delhi_ncr_fire_count,SAME_DAY_FEATURE,False
fire_radiative_power_sum,SAME_DAY_FEATURE,False
day_of_week,STATIC_CALENDAR_FEATURE,True
is_weekend,STATIC_CALENDAR_FEATURE,True
is_holiday,STATIC_CALENDAR_FEATURE,True
is_festival,STATIC_CALENDAR_FEATURE,True
is_stubble_season,STATIC_CALENDAR_FEATURE,True
month,STATIC_CALENDAR_FEATURE,True
quarter,STATIC_CALENDAR_FEATURE,True
day_of_year,STATIC_CALENDAR_FEATURE,True
week_of_year,STATIC_CALENDAR_FEATURE,True
is_winter,STATIC_CALENDAR_FEATURE,True
is_summer,STATIC_CALENDAR_FEATURE,True
is_monsoon,STATIC_CALENDAR_FEATURE,True
is_post_monsoon,STATIC_CALENDAR_FEATURE,True
days_until_diwali,STATIC_CALENDAR_FEATURE,True
days_since_diwali,STATIC_CALENDAR_FEATURE,True
festival_window,STATIC_CALENDAR_FEATURE,True
traffic_activity_proxy,STATIC_CALENDAR_FEATURE,True
wind_x,SAME_DAY_FEATURE,False
wind_y,SAME_DAY_FEATURE,False
temperature_humidity_index,SAME_DAY_FEATURE,False
is_raining,SAME_DAY_FEATURE,False
consecutive_rain_days,SAME_DAY_FEATURE,False
dry_day_count,SAME_DAY_FEATURE,False
