feature,importance,rank
pm25_lag_3d,134,1
pm25_roll_std_7d,122,2
pm25_lag_1d,121,3
no2_lag_7d,120,4
pm25_roll_max_3d,106,5
no2_lag_3d,103,6
no2_lag_2d,85,7
pm10_roll_mean_7d,84,8
wind_speed_kmh_lag_14d,83,9
no2_lag_14d,82,10
pm25_roll_mean_7d,81,11
no2_lag_1d,79,12
pm25_lag_2d,79,13
temperature_c_roll_std_3d,75,14
pm25_roll_median_3d,73,15
pm25_roll_std_3d,72,16
pm25_roll_mean_3d,65,17
wind_speed_kmh_lag_7d,63,18
wind_speed_kmh_lag_3d,61,19
wind_speed_kmh_roll_std_3d,60,20
pm25_roll_std_14d,58,21
wind_speed_kmh_roll_std_30d,58,22
humidity_pct_roll_std_7d,58,23
pm10_lag_1d,57,24
humidity_pct_lag_14d,55,25
pm25_roll_min_3d,54,26
humidity_pct_roll_std_3d,52,27
temperature_c_lag_1d,52,28
temperature_c_lag_7d,50,29
pm10_roll_std_14d,46,30
pm10_roll_min_3d,45,31
pm10_roll_std_3d,44,32
pm25_roll_median_7d,44,33
temperature_c_lag_3d,44,34
pm10_roll_mean_3d,43,35
pm10_roll_median_14d,42,36
humidity_pct_roll_std_14d,42,37
pm10_roll_mean_14d,42,38
wind_speed_kmh_roll_median_30d,41,39
pm25_lag_14d,41,40
pm10_lag_2d,40,41
wind_speed_kmh_roll_mean_3d,40,42
pm10_roll_median_7d,38,43
pm25_lag_7d,37,44
wind_speed_kmh_roll_std_7d,35,45
temperature_c_roll_std_7d,35,46
temperature_c_lag_2d,34,47
pm25_roll_max_7d,33,48
is_monsoon,32,49
pm10_lag_14d,31,50
pm25_roll_std_30d,29,51
humidity_pct_lag_3d,29,52
pm10_roll_max_3d,29,53
wind_speed_kmh_lag_2d,26,54
pm25_roll_max_14d,24,55
wind_speed_kmh_roll_mean_30d,24,56
pm10_roll_std_30d,24,57
wind_speed_kmh_roll_std_14d,23,58
pm25_roll_min_7d,22,59
pm25_roll_median_30d,22,60
wind_speed_kmh_roll_mean_7d,22,61
pm10_lag_3d,21,62
wind_speed_kmh_roll_min_7d,21,63
day_of_week,21,64
wind_speed_kmh_lag_1d,21,65
temperature_c_roll_std_30d,20,66
pm10_roll_mean_30d,20,67
pm25_roll_mean_30d,20,68
pm10_roll_std_7d,20,69
temperature_c_roll_std_14d,20,70
wind_speed_kmh_roll_median_7d,20,71
wind_speed_kmh_roll_median_14d,18,72
humidity_pct_lag_1d,18,73
wind_speed_kmh_roll_mean_14d,18,74
day_of_year,17,75
pm10_roll_max_7d,17,76
wind_speed_kmh_roll_max_7d,17,77
humidity_pct_lag_2d,16,78
humidity_pct_roll_max_3d,16,79
precipitation_mm_lag_2d,16,80
temperature_c_lag_14d,16,81
wind_speed_kmh_roll_max_3d,15,82
pm10_roll_median_30d,15,83
wind_speed_kmh_roll_min_3d,14,84
humidity_pct_roll_mean_30d,14,85
pm25_roll_median_14d,14,86
days_since_diwali,13,87
wind_speed_kmh_roll_median_3d,13,88
pm10_lag_7d,13,89
humidity_pct_roll_mean_14d,12,90
temperature_c_roll_max_7d,12,91
precipitation_mm_lag_7d,11,92
precipitation_mm_lag_1d,11,93
temperature_c_roll_mean_14d,11,94
temperature_c_roll_mean_7d,11,95
pm10_roll_min_7d,11,96
pm10_roll_median_3d,11,97
days_until_diwali,10,98
humidity_pct_roll_min_3d,10,99
humidity_pct_roll_mean_7d,10,100
pm25_roll_mean_14d,10,101
wind_speed_kmh_roll_min_14d,9,102
humidity_pct_roll_std_30d,9,103
humidity_pct_lag_7d,9,104
is_summer,8,105
temperature_c_roll_mean_3d,8,106
pm10_roll_min_14d,8,107
temperature_c_roll_min_3d,7,108
temperature_c_roll_median_7d,7,109
pm10_roll_max_14d,7,110
humidity_pct_roll_mean_3d,7,111
precipitation_mm_lag_14d,6,112
wind_speed_kmh_roll_max_14d,6,113
humidity_pct_roll_median_7d,6,114
temperature_c_roll_max_14d,6,115
traffic_activity_proxy,5,116
precipitation_mm_lag_3d,5,117
temperature_c_roll_median_3d,5,118
month,5,119
temperature_c_roll_min_7d,5,120
temperature_c_roll_max_3d,5,121
week_of_year,4,122
temperature_c_roll_mean_30d,4,123
humidity_pct_roll_min_7d,4,124
humidity_pct_roll_max_14d,4,125
humidity_pct_roll_max_7d,3,126
wind_speed_kmh_roll_min_30d,3,127
pm25_roll_min_30d,2,128
temperature_c_roll_median_14d,2,129
wind_speed_kmh_roll_max_30d,2,130
humidity_pct_roll_max_30d,2,131
temperature_c_roll_median_30d,2,132
humidity_pct_roll_min_30d,2,133
pm25_roll_min_14d,2,134
temperature_c_roll_min_14d,1,135
is_post_monsoon,1,136
pm10_roll_min_30d,1,137
humidity_pct_roll_median_14d,1,138
humidity_pct_roll_median_30d,1,139
temperature_c_roll_max_30d,1,140
humidity_pct_roll_median_3d,1,141
fire_hotspot_count_lag_2d,0,142
fire_hotspot_count_lag_14d,0,143
fire_hotspot_count_lag_3d,0,144
fire_hotspot_count_lag_1d,0,145
is_winter,0,146
is_festival,0,147
is_holiday,0,148
is_weekend,0,149
is_stubble_season,0,150
quarter,0,151
fire_hotspot_count_lag_7d,0,152
festival_window,0,153
pm25_roll_var_7d,0,154
pm25_roll_var_3d,0,155
humidity_pct_roll_var_3d,0,156
temperature_c_roll_var_14d,0,157
temperature_c_roll_var_3d,0,158
temperature_c_roll_var_7d,0,159
temperature_c_roll_min_30d,0,160
temperature_c_roll_var_30d,0,161
pm10_roll_var_3d,0,162
pm25_roll_var_14d,0,163
pm25_roll_max_30d,0,164
pm25_roll_var_30d,0,165
pm10_roll_var_7d,0,166
pm10_roll_var_14d,0,167
pm10_roll_max_30d,0,168
pm10_roll_var_30d,0,169
fire_hotspot_count_roll_min_14d,0,170
fire_hotspot_count_roll_max_14d,0,171
fire_hotspot_count_roll_median_14d,0,172
fire_hotspot_count_roll_mean_14d,0,173
fire_hotspot_count_roll_var_7d,0,174
fire_hotspot_count_roll_std_7d,0,175
fire_hotspot_count_roll_min_7d,0,176
fire_hotspot_count_roll_max_7d,0,177
fire_hotspot_count_roll_median_7d,0,178
fire_hotspot_count_roll_mean_7d,0,179
fire_hotspot_count_roll_var_3d,0,180
fire_hotspot_count_roll_std_3d,0,181
fire_hotspot_count_roll_min_3d,0,182
fire_hotspot_count_roll_max_3d,0,183
fire_hotspot_count_roll_median_3d,0,184
fire_hotspot_count_roll_mean_3d,0,185
humidity_pct_roll_var_30d,0,186
humidity_pct_roll_var_14d,0,187
humidity_pct_roll_var_7d,0,188
humidity_pct_roll_min_14d,0,189
wind_speed_kmh_roll_var_3d,0,190
