feature,importance,rank
wind_speed_kmh_roll_median_30d,0.31355316705509395,1
wind_speed_kmh_roll_mean_30d,0.08945650182519053,2
pm25_roll_max_14d,0.08496149215017466,3
is_monsoon,0.07550568102160704,4
pm25_roll_min_3d,0.048437685276861014,5
pm10_roll_mean_3d,0.039641196920502296,6
pm25_roll_mean_3d,0.03684206002792498,7
pm25_lag_2d,0.028572713371862762,8
pm10_roll_max_14d,0.02610319113155335,9
pm25_roll_mean_7d,0.024338032511239244,10
pm25_roll_min_7d,0.021612963758928537,11
pm25_roll_max_3d,0.019362557379833247,12
pm25_lag_1d,0.012716470233612508,13
is_summer,0.009767175053111012,14
pm25_roll_mean_14d,0.005133750686713963,15
wind_speed_kmh_lag_7d,0.0050831349623879545,16
pm10_roll_max_30d,0.005000810157645297,17
pm25_lag_3d,0.004464963359524219,18
no2_lag_1d,0.0042363393960401004,19
pm25_roll_var_30d,0.004086182038368601,20
wind_speed_kmh_roll_mean_7d,0.004046361778684179,21
pm25_roll_median_3d,0.003942098106673966,22
pm25_roll_std_30d,0.0034681548172527527,23
pm10_lag_1d,0.0034330448297244342,24
pm10_roll_mean_14d,0.0032395348501015305,25
pm25_roll_min_14d,0.002733492354784095,26
pm10_roll_var_14d,0.0027307637409038797,27
no2_lag_7d,0.002643551453560067,28
day_of_week,0.002621302085726305,29
pm10_roll_std_14d,0.00252710704121425,30
pm25_roll_median_14d,0.002517352604913241,31
pm25_roll_max_30d,0.002507143839647353,32
humidity_pct_lag_7d,0.0024251724484253994,33
humidity_pct_lag_2d,0.0023897276746091332,34
no2_lag_14d,0.0023837117045484232,35
pm25_lag_7d,0.002345168824309958,36
no2_lag_3d,0.0019482413813207266,37
humidity_pct_lag_14d,0.0019459047875715122,38
wind_speed_kmh_roll_median_7d,0.0019239786494183793,39
humidity_pct_roll_mean_30d,0.0019200725127248423,40
wind_speed_kmh_lag_1d,0.0018809288753140762,41
pm25_roll_max_7d,0.0017375088204624927,42
pm10_lag_2d,0.0017195722175073133,43
pm10_roll_var_3d,0.001674973908920145,44
no2_lag_2d,0.00167427945739909,45
pm10_roll_std_30d,0.0016630581789255805,46
pm10_roll_var_30d,0.0016550912536389165,47
wind_speed_kmh_lag_2d,0.0016134283539713003,48
pm25_roll_var_7d,0.001606587527460163,49
pm10_roll_max_3d,0.0015289894409892407,50
wind_speed_kmh_lag_3d,0.0014844558845742207,51
wind_speed_kmh_lag_14d,0.0014745591367230735,52
wind_speed_kmh_roll_mean_3d,0.001317880689111502,53
pm10_roll_mean_7d,0.0013129810473135719,54
wind_speed_kmh_roll_var_14d,0.001309283908214026,55
pm25_roll_std_7d,0.001302195772232624,56
pm10_roll_std_3d,0.0012444251002901292,57
wind_speed_kmh_roll_var_3d,0.0012213476111281362,58
pm25_roll_median_7d,0.0012102538985999862,59
pm10_lag_14d,0.0011981864855569048,60
humidity_pct_roll_var_3d,0.0011882933344387816,61
wind_speed_kmh_roll_std_3d,0.0011881577146660798,62
pm10_lag_3d,0.0011734464234814475,63
wind_speed_kmh_roll_median_3d,0.0011105072388029606,64
pm25_lag_14d,0.0011103424746486982,65
humidity_pct_roll_var_7d,0.0011081493456990583,66
pm25_roll_std_3d,0.0011025519515176728,67
wind_speed_kmh_roll_mean_14d,0.001094819135251531,68
pm10_roll_min_3d,0.0010768978090485192,69
wind_speed_kmh_roll_min_3d,0.001073835255998173,70
wind_speed_kmh_roll_std_14d,0.0010448669904529228,71
temperature_c_roll_std_3d,0.001039537088613306,72
pm10_roll_median_3d,0.0010313552369142496,73
pm10_lag_7d,0.0009913421606396453,74
pm25_roll_var_3d,0.0009534493144230671,75
humidity_pct_lag_3d,0.0009403833116930608,76
temperature_c_roll_var_3d,0.0009331830575731472,77
pm10_roll_max_7d,0.0009223827532772838,78
humidity_pct_roll_median_30d,0.0009099093073925144,79
pm10_roll_var_7d,0.0009060259024373717,80
wind_speed_kmh_roll_max_7d,0.0008994161735618798,81
pm10_roll_std_7d,0.000888460642739309,82
temperature_c_lag_14d,0.0008684665707275356,83
wind_speed_kmh_roll_var_7d,0.000863011814340818,84
wind_speed_kmh_roll_std_7d,0.0008624792365275992,85
humidity_pct_roll_std_7d,0.0008577706097428669,86
wind_speed_kmh_roll_min_7d,0.000819343215209691,87
temperature_c_lag_1d,0.0008126472240894165,88
pm10_roll_mean_30d,0.0007933323466102116,89
humidity_pct_roll_std_3d,0.0007694803888598107,90
temperature_c_roll_var_7d,0.0007659649773494168,91
pm10_roll_min_7d,0.000758892590430023,92
humidity_pct_lag_1d,0.0007503327126737091,93
temperature_c_roll_var_30d,0.0007155193719588647,94
temperature_c_lag_7d,0.0006902940329750893,95
temperature_c_lag_3d,0.0006721923584418876,96
wind_speed_kmh_roll_max_3d,0.0006637322698800931,97
humidity_pct_roll_median_3d,0.0006630939276782449,98
pm25_roll_var_14d,0.0006622689131387555,99
day_of_year,0.0006513787322957608,100
days_until_diwali,0.0006434558609907839,101
