feature,importance,rank
wind_speed_kmh_roll_median_30d,0.30220845,1
wind_speed_kmh_roll_mean_30d,0.18594298,2
pm25_roll_max_3d,0.08236907,3
pm10_roll_max_14d,0.08207724,4
is_monsoon,0.07546604,5
pm25_roll_min_7d,0.03324522,6
is_summer,0.01892277,7
pm25_roll_max_14d,0.017022321,8
pm25_roll_std_30d,0.016491733,9
pm10_roll_mean_3d,0.009499721,10
pm25_roll_min_14d,0.00936993,11
pm10_roll_median_3d,0.009327623,12
pm25_roll_mean_3d,0.0092449915,13
temperature_c_roll_median_7d,0.0065160203,14
pm25_roll_mean_7d,0.004433185,15
pm10_roll_max_3d,0.0042034895,16
pm25_roll_max_7d,0.0037157233,17
pm10_roll_std_14d,0.003707425,18
humidity_pct_roll_mean_30d,0.0037056257,19
temperature_c_roll_mean_3d,0.0034476297,20
pm25_roll_min_30d,0.0033572516,21
wind_speed_kmh_roll_mean_7d,0.0026999197,22
pm25_roll_var_14d,0.0024265829,23
temperature_c_roll_mean_7d,0.0023997999,24
wind_speed_kmh_roll_median_7d,0.0022918805,25
wind_speed_kmh_lag_7d,0.0022362974,26
pm10_roll_median_7d,0.0022294302,27
humidity_pct_roll_min_14d,0.0021280053,28
humidity_pct_roll_median_7d,0.0020665883,29
wind_speed_kmh_roll_max_7d,0.0020453788,30
humidity_pct_lag_2d,0.0018724794,31
pm25_roll_std_14d,0.0018351778,32
wind_speed_kmh_roll_max_14d,0.0018195227,33
pm25_roll_var_30d,0.0017883074,34
pm10_lag_3d,0.0017769069,35
humidity_pct_roll_var_30d,0.0017463366,36
pm10_roll_min_7d,0.0016899786,37
pm10_roll_mean_14d,0.0016734495,38
humidity_pct_roll_min_7d,0.0015708044,39
humidity_pct_lag_14d,0.0015292448,40
pm10_roll_var_3d,0.0015170721,41
pm25_lag_1d,0.0014620088,42
wind_speed_kmh_roll_std_3d,0.0013922825,43
pm10_roll_max_7d,0.0013844433,44
no2_lag_1d,0.0013407549,45
pm10_roll_mean_30d,0.0013400456,46
wind_speed_kmh_roll_mean_14d,0.0013359311,47
pm10_roll_var_14d,0.0012953684,48
humidity_pct_roll_std_30d,0.0012756549,49
pm25_roll_min_3d,0.0012623143,50
humidity_pct_roll_max_7d,0.001254828,51
no2_lag_14d,0.0012538586,52
no2_lag_2d,0.0011976555,53
pm25_roll_std_7d,0.0011621759,54
pm25_roll_mean_14d,0.0011555024,55
