Model,Split,MAE,RMSE,R2,Median_AE
Persistence,Train,36.5911,52.7769,0.6867,23.18
Persistence,Validation,31.9925,42.2714,0.6759,26.42
Persistence,Test,33.5436,49.8988,0.7894,18.9
Linear Regression,Train,17.6777,22.9139,0.9409,13.7442
Linear Regression,Validation,96.7369,117.5116,-1.5047,83.1788
Linear Regression,Test,62.4238,84.2014,0.4005,49.9492
Ridge Regression,Train,20.0346,26.6943,0.9199,16.0118
Ridge Regression,Validation,59.524,72.9659,0.0343,55.9771
Ridge Regression,Test,48.166,61.9125,0.6759,40.9942
Random Forest,Train,10.6706,14.5904,0.9761,6.845
Random Forest,Validation,31.8119,44.3043,0.644,22.2516
Random Forest,Test,49.4127,63.223,0.662,44.7262
LightGBM,Train,2.8175,4.7595,0.9975,1.3466
LightGBM,Validation,34.5779,48.9464,0.5655,24.9256
LightGBM,Test,52.9867,71.5953,0.5665,33.6457
XGBoost,Train,0.3137,0.4,1.0,0.2684
XGBoost,Validation,31.3093,44.0525,0.648,22.2819
XGBoost,Test,59.7161,79.4483,0.4662,44.1746
