feature,random_forest_rank,lightgbm_rank,xgboost_rank
wind_speed_kmh_roll_median_30d,1,,1
wind_speed_kmh_roll_mean_30d,2,,2
pm25_roll_max_14d,3,,8
is_monsoon,4,,5
pm25_roll_min_3d,5,,
pm10_roll_mean_3d,6,,10
pm25_roll_mean_3d,7,17,13
pm25_lag_2d,8,13,
pm10_roll_max_14d,9,,4
pm25_roll_mean_7d,10,11,15
pm25_roll_min_7d,11,,6
pm25_roll_max_3d,12,5,3
pm25_lag_1d,13,3,
is_summer,14,,7
pm25_roll_mean_14d,15,,
wind_speed_kmh_lag_7d,16,18,
pm10_roll_max_30d,17,,
pm25_lag_3d,18,1,
no2_lag_1d,19,12,
pm25_roll_var_30d,20,,
pm25_roll_std_7d,,2,
no2_lag_7d,,4,
no2_lag_3d,,6,
no2_lag_2d,,7,
pm10_roll_mean_7d,,8,
wind_speed_kmh_lag_14d,,9,
no2_lag_14d,,10,
temperature_c_roll_std_3d,,14,
pm25_roll_median_3d,,15,
pm25_roll_std_3d,,16,
wind_speed_kmh_lag_3d,,19,
wind_speed_kmh_roll_std_3d,,20,
pm25_roll_std_30d,,,9
pm25_roll_min_14d,,,11
pm10_roll_median_3d,,,12
temperature_c_roll_median_7d,,,14
pm10_roll_max_3d,,,16
pm25_roll_max_7d,,,17
pm10_roll_std_14d,,,18
humidity_pct_roll_mean_30d,,,19
temperature_c_roll_mean_3d,,,20
