feature_A,feature_B,pearson_correlation,spearman_correlation,feature_group_A,feature_group_B,proposed_representative,reason
is_weekend,traffic_activity_proxy,0.9739,0.9739,calendar_seasonal,calendar_seasonal,is_weekend,"High pairwise correlation (Pearson: 0.9739, Spearman: 0.9739)"
month,quarter,0.9714,0.9716,calendar_seasonal,calendar_seasonal,month,"High pairwise correlation (Pearson: 0.9714, Spearman: 0.9716)"
month,day_of_year,0.9965,0.9965,calendar_seasonal,calendar_seasonal,month,"High pairwise correlation (Pearson: 0.9965, Spearman: 0.9965)"
month,week_of_year,0.9814,0.9815,calendar_seasonal,calendar_seasonal,month,"High pairwise correlation (Pearson: 0.9814, Spearman: 0.9815)"
quarter,day_of_year,0.9682,0.9682,calendar_seasonal,calendar_seasonal,quarter,"High pairwise correlation (Pearson: 0.9682, Spearman: 0.9682)"
quarter,week_of_year,0.9556,0.9556,calendar_seasonal,calendar_seasonal,quarter,"High pairwise correlation (Pearson: 0.9556, Spearman: 0.9556)"
day_of_year,week_of_year,0.9838,0.9837,calendar_seasonal,calendar_seasonal,day_of_year,"High pairwise correlation (Pearson: 0.9838, Spearman: 0.9837)"
pm25_lag_1d,pm10_lag_1d,0.973,0.9771,pm25_historical,other_pollutant_historical,pm25_lag_1d,"High pairwise correlation (Pearson: 0.9730, Spearman: 0.9771)"
pm25_lag_1d,pm25_roll_mean_3d,0.9445,0.9531,pm25_historical,pm25_historical,pm25_lag_1d,"High pairwise correlation (Pearson: 0.9445, Spearman: 0.9531)"
pm25_lag_2d,pm10_lag_2d,0.9731,0.9771,pm25_historical,other_pollutant_historical,pm25_lag_2d,"High pairwise correlation (Pearson: 0.9731, Spearman: 0.9771)"
pm25_lag_2d,pm25_roll_mean_3d,0.9479,0.9543,pm25_historical,pm25_historical,pm25_lag_2d,"High pairwise correlation (Pearson: 0.9479, Spearman: 0.9543)"
pm25_lag_3d,pm10_lag_3d,0.9733,0.9772,pm25_historical,other_pollutant_historical,pm25_lag_3d,"High pairwise correlation (Pearson: 0.9733, Spearman: 0.9772)"
pm25_lag_3d,pm25_roll_mean_3d,0.945,0.954,pm25_historical,pm25_historical,pm25_lag_3d,"High pairwise correlation (Pearson: 0.9450, Spearman: 0.9540)"
pm25_lag_7d,pm10_lag_7d,0.9738,0.9775,pm25_historical,other_pollutant_historical,pm25_lag_7d,"High pairwise correlation (Pearson: 0.9738, Spearman: 0.9775)"
pm25_lag_14d,pm10_lag_14d,0.9739,0.9775,pm25_historical,other_pollutant_historical,pm25_lag_14d,"High pairwise correlation (Pearson: 0.9739, Spearman: 0.9775)"
temperature_c_lag_1d,temperature_c_lag_2d,0.9859,0.9769,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9859, Spearman: 0.9769)"
temperature_c_lag_1d,temperature_c_lag_3d,0.9647,0.9469,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9647, Spearman: 0.9469)"
