feature_name,feature_group,dtype,missing_count,missing_rate,infinite_count,unique_count,variance,min,max,mean,median,standard_deviation,prediction_safe,source_module
day_of_week,calendar_seasonal,int64,0,0.0,0,7,4.024658,0.0,6.0,3.008219,3.0,2.006155,True,ml.src.features
is_weekend,calendar_seasonal,int64,0,0.0,0,2,0.205479,0.0,1.0,0.287671,0.0,0.453298,True,ml.src.features
is_holiday,calendar_seasonal,int64,0,0.0,0,2,0.013548,0.0,1.0,0.013699,0.0,0.116396,True,ml.src.features
is_festival,calendar_seasonal,int64,0,0.0,0,2,0.018862,0.0,1.0,0.019178,0.0,0.137339,True,ml.src.features
is_stubble_season,fire_biomass_burning,int64,0,0.0,0,2,0.112494,0.0,1.0,0.128767,0.0,0.335402,True,ml.src.features
month,calendar_seasonal,int64,0,0.0,0,12,11.920337,1.0,12.0,6.526027,7.0,3.452584,True,ml.src.features
quarter,calendar_seasonal,int64,0,0.0,0,4,1.250595,1.0,4.0,2.509589,3.0,1.1183,True,ml.src.features
day_of_year,calendar_seasonal,int64,0,0.0,0,365,11132.5,1.0,365.0,183.0,183.0,105.510663,True,ml.src.features
week_of_year,calendar_seasonal,int64,0,0.0,0,52,227.031507,1.0,52.0,26.569863,27.0,15.067565,True,ml.src.features
is_winter,calendar_seasonal,int64,0,0.0,0,2,0.221286,0.0,1.0,0.328767,0.0,0.47041,True,ml.src.features
is_summer,calendar_seasonal,int64,0,0.0,0,2,0.223137,0.0,1.0,0.334247,0.0,0.472374,True,ml.src.features
is_monsoon,calendar_seasonal,int64,0,0.0,0,2,0.189041,0.0,1.0,0.252055,0.0,0.434789,True,ml.src.features
is_post_monsoon,calendar_seasonal,int64,0,0.0,0,2,0.077932,0.0,1.0,0.084932,0.0,0.279162,True,ml.src.features
days_until_diwali,calendar_seasonal,int64,0,0.0,0,354,10678.678714,0.0,353.0,180.523288,182.0,103.337693,True,ml.src.features
days_since_diwali,calendar_seasonal,int64,0,0.0,0,51,13772.839831,0.0,365.0,318.356164,365.0,117.357743,True,ml.src.features
festival_window,calendar_seasonal,int64,0,0.0,0,2,0.018862,0.0,1.0,0.019178,0.0,0.137339,True,ml.src.features
traffic_activity_proxy,calendar_seasonal,float64,0,0.0,0,2,0.102913,0.3,1.0,0.790959,1.0,0.3208,True,ml.src.features
pm25_lag_1d,pm25_historical,float64,0,0.0,0,362,8948.241003,25.26,385.86,142.482384,113.19,94.595143,True,ml.src.features
pm25_lag_2d,pm25_historical,float64,0,0.0,0,361,8993.696641,25.26,385.86,142.704548,113.19,94.835102,True,ml.src.features
pm25_lag_3d,pm25_historical,float64,0,0.0,0,360,9028.604596,25.26,385.86,142.856329,113.19,95.01897,True,ml.src.features
pm25_lag_7d,pm25_historical,float64,0,0.0,0,356,9082.05121,25.26,385.86,143.211151,113.19,95.299796,True,ml.src.features
pm25_lag_14d,pm25_historical,float64,0,0.0,0,349,8937.196193,25.26,385.86,142.893178,113.19,94.536745,True,ml.src.features
pm10_lag_1d,other_pollutant_historical,float64,0,0.0,0,362,20860.249777,45.73,635.15,260.917973,245.93,144.430778,True,ml.src.features
pm10_lag_2d,other_pollutant_historical,float64,0,0.0,0,361,20949.985052,45.73,635.15,261.220055,245.93,144.741097,True,ml.src.features
pm10_lag_3d,other_pollutant_historical,float64,0,0.0,0,360,21043.279728,45.73,635.15,261.543178,245.93,145.06302,True,ml.src.features
pm10_lag_7d,other_pollutant_historical,float64,0,0.0,0,356,21182.415388,45.73,635.15,262.234822,245.93,145.541799,True,ml.src.features
pm10_lag_14d,other_pollutant_historical,float64,0,0.0,0,349,20907.096605,45.73,635.15,261.815507,245.93,144.592865,True,ml.src.features
no2_lag_1d,other_pollutant_historical,float64,0,0.0,0,358,638.403902,20.29,122.93,60.491726,58.18,25.266656,True,ml.src.features
no2_lag_2d,other_pollutant_historical,float64,0,0.0,0,357,637.457731,20.29,122.93,60.445205,58.18,25.247925,True,ml.src.features
no2_lag_3d,other_pollutant_historical,float64,0,0.0,0,356,635.590238,20.29,122.93,60.378301,58.18,25.210915,True,ml.src.features
