feature_name,feature_group,dtype,missing_count,missing_rate,infinite_count,unique_count,variance,min,max,mean,median,standard_deviation,prediction_safe,source_module
fire_hotspot_count_lag_1d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_lag_2d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_lag_3d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_lag_7d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_lag_14d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_mean_3d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_median_3d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_max_3d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_min_3d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_std_3d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_var_3d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_mean_7d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_median_7d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_max_7d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_min_7d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_std_7d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_var_7d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_mean_14d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_median_14d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_max_14d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_min_14d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_std_14d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_var_14d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_mean_30d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_median_30d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_max_30d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_min_30d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_std_30d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
fire_hotspot_count_roll_var_30d,fire_biomass_burning,float64,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,ml.src.features
