Feature_Set,Feature_Count,Model,Train_R2,Val_MAE,Val_RMSE,Val_R2,Test_MAE,Test_RMSE,Test_R2,Train_Val_R2_Gap,Train_Test_R2_Gap
set_b_pm25_history,29,Random Forest,0.9724,26.7756,36.1029,0.7636,28.4501,40.5571,0.8609,0.2088,0.1115
set_b_pm25_history,29,XGBoost,0.9996,28.1347,38.5257,0.7308,29.1191,42.1475,0.8498,0.2688,0.1498
redundancy_reduced,127,XGBoost,1.0,28.6675,39.6405,0.715,50.2132,65.1686,0.6409,0.285,0.3591
set_e_pm25_met_fire_pollutants,185,XGBoost,0.9998,30.572,41.8581,0.6822,62.4979,78.769,0.4753,0.3176,0.5245
top60,60,XGBoost,1.0,30.9101,43.017,0.6644,54.9292,70.834,0.5757,0.3356,0.4243
set_c_pm25_meteorology,121,XGBoost,0.9998,30.9352,42.5241,0.672,61.0501,77.9844,0.4857,0.3278,0.5141
redundancy_reduced,127,Random Forest,0.9755,31.0253,42.142,0.6779,42.5361,55.0464,0.7438,0.2976,0.2317
top100,100,XGBoost,1.0,31.4778,43.4659,0.6573,58.9676,77.0151,0.4984,0.3427,0.5016
set_f_full_safe,201,XGBoost,1.0,31.5489,44.8439,0.6352,59.2988,79.1615,0.4701,0.3648,0.5299
set_d_pm25_met_fire,151,XGBoost,0.9998,31.7331,43.5607,0.6558,69.691,88.354,0.3399,0.344,0.6599
top20,20,Random Forest,0.9774,31.9311,46.3658,0.6101,50.9674,65.2469,0.64,0.3673,0.3374
set_f_full_safe,201,Random Forest,0.9761,31.9527,44.6584,0.6383,49.4772,63.3213,0.6609,0.3378,0.3152
domain_reduced,15,XGBoost,0.9993,32.0299,43.5927,0.6553,50.9941,64.731,0.6457,0.344,0.3536
top60,60,Random Forest,0.9772,32.3109,45.1993,0.6294,49.757,63.5077,0.6589,0.3478,0.3183
top100,100,Random Forest,0.9767,32.3776,45.328,0.6273,49.101,62.7515,0.667,0.3494,0.3097
domain_reduced,15,Random Forest,0.9748,32.4538,45.1754,0.6298,45.7937,59.9116,0.6965,0.345,0.2783
set_e_pm25_met_fire_pollutants,185,Random Forest,0.9753,32.6809,45.2096,0.6293,53.8275,67.7559,0.6118,0.346,0.3635
top40,40,Random Forest,0.9777,32.6946,46.2206,0.6125,49.508,63.0176,0.6642,0.3652,0.3135
set_d_pm25_met_fire,151,Random Forest,0.9752,33.0215,45.6818,0.6215,57.8492,72.5018,0.5555,0.3537,0.4197
set_c_pm25_meteorology,121,Random Forest,0.9753,33.0605,45.9688,0.6167,57.2516,71.4099,0.5688,0.3586,0.4065
top40,40,XGBoost,0.9999,34.0094,48.5776,0.572,62.5879,83.6355,0.4085,0.4279,0.5914
top20,20,XGBoost,0.9997,34.0574,50.1026,0.5447,65.1205,87.3418,0.3549,0.455,0.6448
set_a_persistence,1,Random Forest,0.9524,34.5464,48.2424,0.5779,35.762,53.5707,0.7573,0.3745,0.1951
set_a_persistence,1,XGBoost,0.9173,34.9574,53.0105,0.4903,33.8856,52.109,0.7704,0.427,0.1469
