Feature_Set,Feature_Count,Model,Val_MAE,Val_MAE_Improvement_vs_Pers,Val_RMSE,Val_RMSE_Improvement_vs_Pers,Val_R2,Val_R2_Diff_vs_Pers,Test_MAE,Test_MAE_Improvement_vs_Pers,Test_RMSE,Test_RMSE_Improvement_vs_Pers,Test_R2,Test_R2_Diff_vs_Pers
set_b_pm25_history,29,Random Forest,26.7756,5.2169,36.1029,6.1685,0.7636,0.0877,28.4501,5.0935,40.5571,9.3417,0.8609,0.0715
set_b_pm25_history,29,XGBoost,28.1347,3.8578,38.5257,3.7457,0.7308,0.0549,29.1191,4.4245,42.1475,7.7513,0.8498,0.0604
redundancy_reduced,127,XGBoost,28.6675,3.325,39.6405,2.6309,0.715,0.0391,50.2132,-16.6696,65.1686,-15.2698,0.6409,-0.1485
set_e_pm25_met_fire_pollutants,185,XGBoost,30.572,1.4205,41.8581,0.4133,0.6822,0.0063,62.4979,-28.9543,78.769,-28.8702,0.4753,-0.3141
top60,60,XGBoost,30.9101,1.0824,43.017,-0.7456,0.6644,-0.0115,54.9292,-21.3856,70.834,-20.9352,0.5757,-0.2137
set_c_pm25_meteorology,121,XGBoost,30.9352,1.0573,42.5241,-0.2527,0.672,-0.0039,61.0501,-27.5065,77.9844,-28.0856,0.4857,-0.3037
redundancy_reduced,127,Random Forest,31.0253,0.9672,42.142,0.1294,0.6779,0.002,42.5361,-8.9925,55.0464,-5.1476,0.7438,-0.0456
top100,100,XGBoost,31.4778,0.5147,43.4659,-1.1945,0.6573,-0.0186,58.9676,-25.424,77.0151,-27.1163,0.4984,-0.291
set_f_full_safe,201,XGBoost,31.5489,0.4436,44.8439,-2.5725,0.6352,-0.0407,59.2988,-25.7552,79.1615,-29.2627,0.4701,-0.3193
set_d_pm25_met_fire,151,XGBoost,31.7331,0.2594,43.5607,-1.2893,0.6558,-0.0201,69.691,-36.1474,88.354,-38.4552,0.3399,-0.4495
top20,20,Random Forest,31.9311,0.0614,46.3658,-4.0944,0.6101,-0.0658,50.9674,-17.4238,65.2469,-15.3481,0.64,-0.1494
set_f_full_safe,201,Random Forest,31.9527,0.0398,44.6584,-2.387,0.6383,-0.0376,49.4772,-15.9336,63.3213,-13.4225,0.6609,-0.1285
domain_reduced,15,XGBoost,32.0299,-0.0374,43.5927,-1.3213,0.6553,-0.0206,50.9941,-17.4505,64.731,-14.8322,0.6457,-0.1437
top60,60,Random Forest,32.3109,-0.3184,45.1993,-2.9279,0.6294,-0.0465,49.757,-16.2134,63.5077,-13.6089,0.6589,-0.1305
top100,100,Random Forest,32.3776,-0.3851,45.328,-3.0566,0.6273,-0.0486,49.101,-15.5574,62.7515,-12.8527,0.667,-0.1224
domain_reduced,15,Random Forest,32.4538,-0.4613,45.1754,-2.904,0.6298,-0.0461,45.7937,-12.2501,59.9116,-10.0128,0.6965,-0.0929
set_e_pm25_met_fire_pollutants,185,Random Forest,32.6809,-0.6884,45.2096,-2.9382,0.6293,-0.0466,53.8275,-20.2839,67.7559,-17.8571,0.6118,-0.1776
top40,40,Random Forest,32.6946,-0.7021,46.2206,-3.9492,0.6125,-0.0634,49.508,-15.9644,63.0176,-13.1188,0.6642,-0.1252
set_d_pm25_met_fire,151,Random Forest,33.0215,-1.029,45.6818,-3.4104,0.6215,-0.0544,57.8492,-24.3056,72.5018,-22.603,0.5555,-0.2339
set_c_pm25_meteorology,121,Random Forest,33.0605,-1.068,45.9688,-3.6974,0.6167,-0.0592,57.2516,-23.708,71.4099,-21.5111,0.5688,-0.2206
top40,40,XGBoost,34.0094,-2.0169,48.5776,-6.3062,0.572,-0.1039,62.5879,-29.0443,83.6355,-33.7367,0.4085,-0.3809
top20,20,XGBoost,34.0574,-2.0649,50.1026,-7.8312,0.5447,-0.1312,65.1205,-31.5769,87.3418,-37.443,0.3549,-0.4345
set_a_persistence,1,Random Forest,34.5464,-2.5539,48.2424,-5.971,0.5779,-0.098,35.762,-2.2184,53.5707,-3.6719,0.7573,-0.0321
set_a_persistence,1,XGBoost,34.9574,-2.9649,53.0105,-10.7391,0.4903,-0.1856,33.8856,-0.342,52.109,-2.2102,0.7704,-0.019
