representative_feature,feature_group,redundant_feature_count,redundant_features
is_weekend,calendar_seasonal,1,traffic_activity_proxy
month,calendar_seasonal,3,"day_of_year, quarter, week_of_year"
quarter,calendar_seasonal,2,"day_of_year, week_of_year"
day_of_year,calendar_seasonal,1,week_of_year
pm25_lag_1d,pm25_historical,2,"pm10_lag_1d, pm25_roll_mean_3d"
pm25_lag_2d,pm25_historical,2,"pm10_lag_2d, pm25_roll_mean_3d"
pm25_lag_3d,pm25_historical,2,"pm10_lag_3d, pm25_roll_mean_3d"
pm25_lag_7d,pm25_historical,1,pm10_lag_7d
pm25_lag_14d,pm25_historical,1,pm10_lag_14d
temperature_c_lag_1d,meteorological,10,"temperature_c_lag_2d, temperature_c_lag_3d, temperature_c_roll_max_3d, temperature_c_roll_max_7d, temperature_c_roll_mean_3d, temperature_c_roll_mean_7d, temperature_c_roll_median_3d, temperature_c_roll_median_7d, temperature_c_roll_min_3d, temperature_c_roll_min_7d"
temperature_c_lag_2d,meteorological,11,"temperature_c_lag_3d, temperature_c_roll_max_3d, temperature_c_roll_max_7d, temperature_c_roll_mean_14d, temperature_c_roll_mean_3d, temperature_c_roll_mean_7d, temperature_c_roll_median_14d, temperature_c_roll_median_3d, temperature_c_roll_median_7d, temperature_c_roll_min_3d, temperature_c_roll_min_7d"
temperature_c_lag_3d,meteorological,11,"temperature_c_roll_max_14d, temperature_c_roll_max_3d, temperature_c_roll_max_7d, temperature_c_roll_mean_14d, temperature_c_roll_mean_3d, temperature_c_roll_mean_7d, temperature_c_roll_median_14d, temperature_c_roll_median_3d, temperature_c_roll_median_7d, temperature_c_roll_min_3d, temperature_c_roll_min_7d"
temperature_c_lag_7d,meteorological,8,"temperature_c_roll_max_14d, temperature_c_roll_max_7d, temperature_c_roll_mean_14d, temperature_c_roll_mean_7d, temperature_c_roll_median_14d, temperature_c_roll_median_7d, temperature_c_roll_min_14d, temperature_c_roll_min_7d"
temperature_c_lag_14d,meteorological,2,"temperature_c_roll_mean_30d, temperature_c_roll_median_30d"
humidity_pct_lag_1d,meteorological,1,humidity_pct_roll_mean_3d
humidity_pct_lag_2d,meteorological,4,"humidity_pct_roll_max_3d, humidity_pct_roll_mean_3d, humidity_pct_roll_median_3d, humidity_pct_roll_min_3d"
humidity_pct_lag_3d,meteorological,2,"humidity_pct_roll_mean_3d, humidity_pct_roll_min_3d"
pm25_roll_mean_3d,pm25_historical,8,"pm10_roll_mean_3d, pm10_roll_mean_7d, pm10_roll_median_3d, pm25_roll_mean_14d, pm25_roll_mean_7d, pm25_roll_median_14d, pm25_roll_median_3d, pm25_roll_median_7d"
pm25_roll_max_3d,pm25_historical,9,"pm10_roll_max_3d, pm10_roll_mean_3d, pm25_roll_max_7d, pm25_roll_mean_14d, pm25_roll_mean_3d, pm25_roll_mean_7d, pm25_roll_median_14d, pm25_roll_median_3d, pm25_roll_median_7d"
pm25_roll_min_3d,pm25_historical,6,"pm10_roll_mean_3d, pm10_roll_min_3d, pm25_roll_mean_3d, pm25_roll_mean_7d, pm25_roll_median_3d, pm25_roll_min_7d"
pm25_roll_max_7d,pm25_historical,9,"pm10_roll_max_14d, pm10_roll_max_7d, pm10_roll_mean_7d, pm25_roll_max_14d, pm25_roll_mean_14d, pm25_roll_mean_3d, pm25_roll_mean_7d, pm25_roll_median_14d, pm25_roll_median_7d"
pm10_roll_max_3d,other_pollutant_historical,8,"pm10_roll_max_7d, pm10_roll_mean_3d, pm10_roll_mean_7d, pm10_roll_median_3d, pm10_roll_median_7d, pm25_roll_mean_3d, pm25_roll_mean_7d, pm25_roll_median_3d"
pm25_roll_mean_7d,pm25_historical,11,"pm10_roll_max_14d, pm10_roll_mean_14d, pm10_roll_mean_3d, pm10_roll_mean_7d, pm10_roll_median_14d, pm10_roll_median_7d, pm25_roll_max_14d, pm25_roll_mean_14d, pm25_roll_median_14d, pm25_roll_median_3d, pm25_roll_median_7d"
