trial_number,model_name,feature_set,val_mae,val_rmse,val_r2,params
0,Ridge,set_b_pm25_history,26.8683,35.6515,0.7695,{'alpha': 0.1767016940294795}
1,Ridge,set_b_pm25_history,25.6523,34.303,0.7866,{'alpha': 506.1576888752306}
2,Ridge,set_b_pm25_history,25.445,34.0115,0.7902,{'alpha': 24.658329458549105}
3,Ridge,set_b_pm25_history,26.3627,35.0288,0.7774,{'alpha': 3.907967156822881}
4,Ridge,set_b_pm25_history,27.2177,35.8438,0.767,{'alpha': 0.008632008168602538}
5,Ridge,set_b_pm25_history,27.2177,35.8438,0.767,{'alpha': 0.008629132190071854}
6,Ridge,set_b_pm25_history,27.3097,35.9182,0.766,{'alpha': 0.002231010801867922}
7,Ridge,set_b_pm25_history,25.4223,33.9225,0.7913,{'alpha': 157.41890047456639}
8,Ridge,set_b_pm25_history,26.3479,35.0091,0.7777,{'alpha': 4.0428727350273315}
9,Ridge,set_b_pm25_history,25.5725,34.1358,0.7886,{'alpha': 17.71884735480682}
10,Ridge,set_b_pm25_history,25.7306,34.4852,0.7843,{'alpha': 657.6274461218085}
11,Ridge,set_b_pm25_history,25.366,33.9105,0.7914,{'alpha': 38.05031869993618}
12,Ridge,set_b_pm25_history,25.3643,33.8871,0.7917,{'alpha': 45.46665905866702}
13,Ridge,set_b_pm25_history,26.7968,35.6061,0.77,{'alpha': 0.6006748547666598}
14,Ridge,set_b_pm25_history,25.3603,33.8685,0.7919,{'alpha': 58.71313058671541}
15,Ridge,set_b_pm25_history,25.393,33.8734,0.7919,{'alpha': 97.25427596337762}
16,Ridge,set_b_pm25_history,26.4129,35.092,0.7766,{'alpha': 3.4917703034879057}
17,Ridge,set_b_pm25_history,26.818,35.6267,0.7698,{'alpha': 0.4135259984073516}
18,Ridge,set_b_pm25_history,25.4107,33.8988,0.7916,{'alpha': 131.22325953323067}
19,Ridge,set_b_pm25_history,26.0488,34.6409,0.7823,{'alpha': 7.282431692574398}
20,Ridge,set_b_pm25_history,26.7477,35.5404,0.7709,{'alpha': 1.015879694942566}
21,Ridge,set_b_pm25_history,25.3699,33.9266,0.7912,{'alpha': 34.675434109591336}
22,Ridge,set_b_pm25_history,25.362,33.8667,0.792,{'alpha': 61.607024857549845}
23,Ridge,set_b_pm25_history,25.44,33.9655,0.7907,{'alpha': 200.92517198511644}
24,Ridge,set_b_pm25_history,25.8395,34.8089,0.7802,{'alpha': 906.6658485628808}
25,Ridge,set_b_pm25_history,25.3624,33.8664,0.792,{'alpha': 62.17215241312639}
26,Ridge,set_b_pm25_history,25.695,34.2575,0.7871,{'alpha': 13.78296140671225}
27,Ridge,set_b_pm25_history,25.3902,33.8712,0.7919,{'alpha': 93.27114947500999}
28,Ridge,set_b_pm25_history,25.5179,34.078,0.7894,{'alpha': 306.90297772647745}
29,Ridge,set_b_pm25_history,26.9549,35.6832,0.769,{'alpha': 0.09242875824223319}
30,Ridge,set_b_pm25_history,25.979,34.5587,0.7834,{'alpha': 8.279783116331034}
31,Ridge,set_b_pm25_history,25.3613,33.8711,0.7919,{'alpha': 55.592318818144214}
32,Ridge,set_b_pm25_history,25.3708,33.8645,0.792,{'alpha': 73.88542045640173}
33,Ridge,set_b_pm25_history,25.5429,34.1111,0.7889,{'alpha': 337.08525678321416}
34,Ridge,set_b_pm25_history,26.6739,35.435,0.7722,{'alpha': 1.5716732951032935}
35,Ridge,set_b_pm25_history,25.4872,34.0482,0.7897,{'alpha': 22.090802933131425}
36,Ridge,set_b_pm25_history,25.3603,33.8688,0.7919,{'alpha': 58.235486923668084}
37,Ridge,set_b_pm25_history,25.8643,34.429,0.785,{'alpha': 10.196465718271408}
38,Ridge,set_b_pm25_history,25.5356,34.1009,0.7891,{'alpha': 327.85004873959423}
39,Ridge,set_b_pm25_history,26.4409,35.127,0.7762,{'alpha': 3.2724006628483453}
40,Ridge,set_b_pm25_history,25.4402,34.0072,0.7902,{'alpha': 25.003161660138783}
41,Ridge,set_b_pm25_history,25.3615,33.867,0.792,{'alpha': 61.02042179134666}
42,Ridge,set_b_pm25_history,25.4362,33.9578,0.7908,{'alpha': 193.37359968547776}
43,Ridge,set_b_pm25_history,25.3618,33.8726,0.7919,{'alpha': 54.18319971086599}
44,Ridge,set_b_pm25_history,25.5686,34.1315,0.7887,{'alpha': 17.894905875681452}
45,Ridge,set_b_pm25_history,25.3662,33.9115,0.7914,{'alpha': 37.81483753328063}
46,Ridge,set_b_pm25_history,25.7092,34.4348,0.7849,{'alpha': 616.6191306883361}
47,Ridge,set_b_pm25_history,25.419,33.9142,0.7914,{'alpha': 148.46128818288602}
48,Ridge,set_b_pm25_history,25.9967,34.579,0.7831,{'alpha': 8.01909760536915}
49,Ridge,set_b_pm25_history,27.1513,35.7964,0.7676,{'alpha': 0.018305288115353285}
0,ElasticNet,set_b_pm25_history,26.7682,35.5448,0.7708,"{'alpha': 0.017670169402947963, 'l1_ratio': 0.9507143064099162}"
1,ElasticNet,set_b_pm25_history,25.5598,34.2517,0.7872,"{'alpha': 2.465832945854912, 'l1_ratio': 0.5986584841970366}"
2,ElasticNet,set_b_pm25_history,26.8333,35.6364,0.7697,"{'alpha': 0.0008632008168602544, 'l1_ratio': 0.15599452033620265}"
3,ElasticNet,set_b_pm25_history,27.11,35.7484,0.7682,"{'alpha': 0.00022310108018679258, 'l1_ratio': 0.8661761457749352}"
4,ElasticNet,set_b_pm25_history,25.3682,33.9334,0.7911,"{'alpha': 0.4042872735027334, 'l1_ratio': 0.7080725777960455}"
5,ElasticNet,set_b_pm25_history,27.1288,35.7191,0.7686,"{'alpha': 0.00013289448722869195, 'l1_ratio': 0.9699098521619943}"
6,ElasticNet,set_b_pm25_history,27.424,38.67,0.7288,"{'alpha': 9.877700294007917, 'l1_ratio': 0.21233911067827616}"
7,ElasticNet,set_b_pm25_history,26.8211,35.6312,0.7697,"{'alpha': 0.0012329623163659848, 'l1_ratio': 0.18340450985343382}"
8,ElasticNet,set_b_pm25_history,26.7208,35.5003,0.7714,"{'alpha': 0.006690421166498805, 'l1_ratio': 0.5247564316322378}"
9,ElasticNet,set_b_pm25_history,25.8564,34.4217,0.7851,"{'alpha': 0.039054412752107935, 'l1_ratio': 0.2912291401980419}"
10,ElasticNet,set_b_pm25_history,25.4258,33.9343,0.7911,"{'alpha': 0.4668766459170668, 'l1_ratio': 0.0059971829558171375}"
11,ElasticNet,set_b_pm25_history,25.41,33.8984,0.7916,"{'alpha': 0.35958183785922077, 'l1_ratio': 0.012406500704542616}"
12,ElasticNet,set_b_pm25_history,25.3543,33.9143,0.7914,"{'alpha': 0.30532590086663847, 'l1_ratio': 0.6814215464087784}"
13,ElasticNet,set_b_pm25_history,34.838,50.0005,0.5465,"{'alpha': 37.34425321270596, 'l1_ratio': 0.695782079171106}"
14,ElasticNet,set_b_pm25_history,25.4645,34.0619,0.7896,"{'alpha': 0.1929076481934829, 'l1_ratio': 0.7384055447250208}"
15,ElasticNet,set_b_pm25_history,25.6003,34.2716,0.787,"{'alpha': 2.043065512505604, 'l1_ratio': 0.43994920452828246}"
16,ElasticNet,set_b_pm25_history,26.1465,34.7515,0.781,"{'alpha': 0.05943845587123166, 'l1_ratio': 0.7510724851660708}"
