Model,Feature_Set,Feature_Count,Val_MAE,Val_RMSE,Val_R2,Test_MAE,Test_RMSE,Test_R2
Random Forest,set_f_full_safe,201,27.0454,36.4569,0.8731,26.0682,35.4862,0.8614
ElasticNet,set_f_full_safe,201,27.1398,35.8931,0.877,26.5652,36.0198,0.8572
Ridge,domain_reduced,15,27.4284,37.6286,0.8648,27.9373,37.8504,0.8423
Ridge,set_b_pm25_history,29,27.4374,37.3977,0.8664,27.1608,37.3365,0.8466
XGBoost,set_f_full_safe,201,27.4854,36.6203,0.8719,26.6483,36.5724,0.8528
ElasticNet,domain_reduced,15,27.6159,37.7673,0.8638,28.018,37.9147,0.8418
ElasticNet,set_b_pm25_history,29,27.8214,38.1187,0.8612,27.249,37.5336,0.845
Random Forest,set_b_pm25_history,29,27.9394,37.9169,0.8627,26.6621,36.8083,0.8509
Random Forest,domain_reduced,15,28.6292,38.3446,0.8596,27.4707,36.9208,0.85
XGBoost,set_b_pm25_history,29,28.9511,39.525,0.8508,26.7286,37.5882,0.8445
Ridge,set_f_full_safe,201,29.0477,37.8373,0.8633,26.8676,36.1886,0.8559
Random Forest,set_a_persistence,1,30.8093,43.2927,0.821,30.704,42.9828,0.7967
XGBoost,set_a_persistence,1,30.8791,43.2681,0.8212,30.0409,42.0227,0.8057
XGBoost,domain_reduced,15,31.1925,40.4186,0.844,28.9264,37.4666,0.8455
Ridge,set_a_persistence,1,34.4009,47.2174,0.7871,33.7125,46.4432,0.7626
ElasticNet,set_a_persistence,1,34.9002,47.5098,0.7844,34.1243,46.6279,0.7607
