Fold,Test_Year,Train_Rows,Model,MAE,RMSE,R2,Median_AE,Avg_MAE,Avg_RMSE,Avg_R2,Avg_Median_AE
1,2022,731,Persistence,35.2211,51.429,0.71,23.09,,,,
1,2022,731,Ridge,29.7082,41.4579,0.8116,19.4343,,,,
1,2022,731,Random Forest,28.547,39.5366,0.8286,20.4159,,,,
1,2022,731,XGBoost,29.7111,42.3069,0.8038,19.0519,,,,
2,2023,1096,Persistence,35.0352,48.5297,0.7751,25.18,,,,
2,2023,1096,Ridge,27.3279,37.2291,0.8676,19.8778,,,,
2,2023,1096,Random Forest,28.0665,38.2526,0.8602,21.0914,,,,
2,2023,1096,XGBoost,29.8402,41.0084,0.8394,20.5828,,,,
3,2024,1461,Persistence,34.388,47.8482,0.748,25.375,,,,
3,2024,1461,Ridge,27.1076,37.4898,0.8453,18.3215,,,,
3,2024,1461,Random Forest,27.0259,37.2278,0.8475,18.8513,,,,
3,2024,1461,XGBoost,27.0618,38.7646,0.8346,18.367,,,,
Average (3-Fold),2022-2024,Expanding,Persistence,,,,,34.8814,49.269,0.7444,24.5483
Average (3-Fold),2022-2024,Expanding,Random Forest,,,,,27.8798,38.339,0.8454,20.1195
Average (3-Fold),2022-2024,Expanding,Ridge,,,,,28.0479,38.7256,0.8415,19.2112
Average (3-Fold),2022-2024,Expanding,XGBoost,,,,,28.871,40.6933,0.8259,19.3339
