Model,Transition,Added_Features,Delta_MAE,Feature_Efficiency
Persistence,group_a_persistence -> group_b_pm25_history,28,0.0,0.0
Persistence,group_b_pm25_history -> group_c_pm25_meteorology,88,0.0,0.0
Persistence,group_c_pm25_meteorology -> group_d_pm25_met_pollutants,58,0.0,0.0
Persistence,group_d_pm25_met_pollutants -> group_e_pm25_met_fire,-28,0.0,-0.0
Persistence,group_e_pm25_met_fire -> group_f_pm25_met_fire_transport,0,0.0,0.0
Persistence,group_f_pm25_met_fire_transport -> group_g_full_safe,44,0.0,0.0
Ridge,group_a_persistence -> group_b_pm25_history,28,6.2876,0.224557
Ridge,group_b_pm25_history -> group_c_pm25_meteorology,88,-1.3321,-0.015137
Ridge,group_c_pm25_meteorology -> group_d_pm25_met_pollutants,58,0.0672,0.001159
Ridge,group_d_pm25_met_pollutants -> group_e_pm25_met_fire,-28,-0.0579,0.002068
Ridge,group_e_pm25_met_fire -> group_f_pm25_met_fire_transport,0,0.0,0.0
Ridge,group_f_pm25_met_fire_transport -> group_g_full_safe,44,-0.7781,-0.017684
ElasticNet,group_a_persistence -> group_b_pm25_history,28,6.4869,0.231675
ElasticNet,group_b_pm25_history -> group_c_pm25_meteorology,88,-0.7357,-0.00836
ElasticNet,group_c_pm25_meteorology -> group_d_pm25_met_pollutants,58,0.1892,0.003262
ElasticNet,group_d_pm25_met_pollutants -> group_e_pm25_met_fire,-28,-0.1753,0.006261
ElasticNet,group_e_pm25_met_fire -> group_f_pm25_met_fire_transport,0,0.0,0.0
ElasticNet,group_f_pm25_met_fire_transport -> group_g_full_safe,44,0.7653,0.017393
Random Forest,group_a_persistence -> group_b_pm25_history,28,3.2838,0.117279
Random Forest,group_b_pm25_history -> group_c_pm25_meteorology,88,0.0826,0.000939
Random Forest,group_c_pm25_meteorology -> group_d_pm25_met_pollutants,58,-0.1899,-0.003274
Random Forest,group_d_pm25_met_pollutants -> group_e_pm25_met_fire,-28,0.4629,-0.016532
Random Forest,group_e_pm25_met_fire -> group_f_pm25_met_fire_transport,0,0.0,0.0
Random Forest,group_f_pm25_met_fire_transport -> group_g_full_safe,44,-0.1038,-0.002359
XGBoost,group_a_persistence -> group_b_pm25_history,28,1.8985,0.067804
XGBoost,group_b_pm25_history -> group_c_pm25_meteorology,88,0.118,0.001341
XGBoost,group_c_pm25_meteorology -> group_d_pm25_met_pollutants,58,-0.1987,-0.003426
XGBoost,group_d_pm25_met_pollutants -> group_e_pm25_met_fire,-28,0.2786,-0.00995
XGBoost,group_e_pm25_met_fire -> group_f_pm25_met_fire_transport,0,0.0,0.0
XGBoost,group_f_pm25_met_fire_transport -> group_g_full_safe,44,0.3114,0.007077
