Fold,Eval_Year,Is_Holdout,Model,Feature_Group,Feature_Count,Train_R2,Eval_R2,R2_Gap,Train_MAE,Eval_MAE,MAE_Ratio
1,2022,False,Persistence,group_a_persistence,1,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,group_a_persistence,1,0.7828,0.7315,0.0513,33.7159,34.3835,1.0198
1,2022,False,ElasticNet,group_a_persistence,1,0.7812,0.7319,0.0493,34.2045,34.5767,1.0109
1,2022,False,Random Forest,group_a_persistence,1,0.8674,0.7719,0.0955,26.0585,31.9366,1.2256
1,2022,False,XGBoost,group_a_persistence,1,0.8563,0.7829,0.0734,27.3865,31.0756,1.1347
1,2022,False,Persistence,group_b_pm25_history,29,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,group_b_pm25_history,29,0.8578,0.8205,0.0373,26.9662,28.7719,1.067
1,2022,False,ElasticNet,group_b_pm25_history,29,0.8532,0.8204,0.0328,27.5348,28.6818,1.0417
1,2022,False,Random Forest,group_b_pm25_history,29,0.9274,0.8289,0.0985,19.7016,28.2388,1.4333
1,2022,False,XGBoost,group_b_pm25_history,29,0.9388,0.8127,0.1261,18.851,29.2066,1.5493
1,2022,False,Persistence,group_c_pm25_meteorology,117,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,group_c_pm25_meteorology,117,0.8709,0.8189,0.052,26.0973,30.0736,1.1524
1,2022,False,ElasticNet,group_c_pm25_meteorology,117,0.863,0.82,0.043,26.848,29.6045,1.1027
1,2022,False,Random Forest,group_c_pm25_meteorology,117,0.9353,0.8261,0.1092,18.7699,28.8209,1.5355
1,2022,False,XGBoost,group_c_pm25_meteorology,117,0.9525,0.8164,0.1361,16.8351,29.46,1.7499
1,2022,False,Persistence,group_d_pm25_met_pollutants,175,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,group_d_pm25_met_pollutants,175,0.8799,0.8107,0.0692,25.4477,30.2181,1.1875
1,2022,False,ElasticNet,group_d_pm25_met_pollutants,175,0.8703,0.8206,0.0497,26.3481,29.3973,1.1157
1,2022,False,Random Forest,group_d_pm25_met_pollutants,175,0.9387,0.8247,0.114,18.2814,28.9631,1.5843
1,2022,False,XGBoost,group_d_pm25_met_pollutants,175,0.9552,0.8074,0.1478,16.5233,30.3383,1.8361
1,2022,False,Persistence,group_e_pm25_met_fire,147,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,group_e_pm25_met_fire,147,0.8752,0.8154,0.0598,25.9224,30.4419,1.1743
1,2022,False,ElasticNet,group_e_pm25_met_fire,147,0.8666,0.8188,0.0478,26.6946,29.7787,1.1155
1,2022,False,Random Forest,group_e_pm25_met_fire,147,0.9357,0.8284,0.1073,18.6808,28.4948,1.5254
1,2022,False,XGBoost,group_e_pm25_met_fire,147,0.9535,0.8159,0.1376,16.7903,29.5494,1.7599
1,2022,False,Persistence,group_f_pm25_met_fire_transport,147,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,group_f_pm25_met_fire_transport,147,0.8752,0.8154,0.0598,25.9224,30.4419,1.1743
1,2022,False,ElasticNet,group_f_pm25_met_fire_transport,147,0.8666,0.8188,0.0478,26.6946,29.7787,1.1155
1,2022,False,Random Forest,group_f_pm25_met_fire_transport,147,0.9357,0.8284,0.1073,18.6808,28.4948,1.5254
1,2022,False,XGBoost,group_f_pm25_met_fire_transport,147,0.9535,0.8159,0.1376,16.7903,29.5494,1.7599
1,2022,False,Persistence,group_g_full_safe,191,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,group_g_full_safe,191,0.8917,0.7983,0.0934,24.2925,31.1643,1.2829
1,2022,False,ElasticNet,group_g_full_safe,191,0.8813,0.8237,0.0576,25.3207,28.9295,1.1425
1,2022,False,Random Forest,group_g_full_safe,191,0.9396,0.8325,0.1071,18.1804,28.5115,1.5683
1,2022,False,XGBoost,group_g_full_safe,191,0.9583,0.8181,0.1402,16.0926,29.6687,1.8436
1,2022,False,Persistence,ablation_pm25_history_only,29,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,ablation_pm25_history_only,29,0.8578,0.8205,0.0373,26.9662,28.7719,1.067
1,2022,False,ElasticNet,ablation_pm25_history_only,29,0.8532,0.8204,0.0328,27.5348,28.6818,1.0417
1,2022,False,Random Forest,ablation_pm25_history_only,29,0.9274,0.8289,0.0985,19.7016,28.2388,1.4333
1,2022,False,XGBoost,ablation_pm25_history_only,29,0.9388,0.8127,0.1261,18.851,29.2066,1.5493
1,2022,False,Persistence,ablation_pm25_plus_weather,117,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,ablation_pm25_plus_weather,117,0.8709,0.8189,0.052,26.0973,30.0736,1.1524
1,2022,False,ElasticNet,ablation_pm25_plus_weather,117,0.863,0.82,0.043,26.848,29.6045,1.1027
1,2022,False,Random Forest,ablation_pm25_plus_weather,117,0.9353,0.8261,0.1092,18.7699,28.8209,1.5355
1,2022,False,XGBoost,ablation_pm25_plus_weather,117,0.9525,0.8164,0.1361,16.8351,29.46,1.7499
1,2022,False,Persistence,ablation_pm25_plus_fire,59,0.7698,0.71,0.0598,33.7769,35.2211,1.0428
1,2022,False,Ridge,ablation_pm25_plus_fire,59,0.8653,0.807,0.0583,26.7786,30.0255,1.1212
1,2022,False,ElasticNet,ablation_pm25_plus_fire,59,0.8596,0.8166,0.043,27.2855,29.4564,1.0796
1,2022,False,Random Forest,ablation_pm25_plus_fire,59,0.9303,0.83,0.1003,19.4224,28.2703,1.4556
1,2022,False,XGBoost,ablation_pm25_plus_fire,59,0.9448,0.8163,0.1285,18.1998,29.3418,1.6122
