study_name,model_type,feature_set,feature_count,best_dev_mean_mae,best_trial_id
random_forest__group_e_pm25_met_fire,random_forest,group_e_pm25_met_fire,147,27.4181,11
random_forest__group_f_pm25_met_fire_transport,random_forest,group_f_pm25_met_fire_transport,147,27.4181,11
random_forest__set_b_pm25_history,random_forest,set_b_pm25_history,29,27.4653,43
random_forest__group_c_pm25_meteorology,random_forest,group_c_pm25_meteorology,117,27.4819,35
xgboost__group_f_pm25_met_fire_transport,xgboost,group_f_pm25_met_fire_transport,147,27.7814,30
xgboost__group_e_pm25_met_fire,xgboost,group_e_pm25_met_fire,147,27.7814,30
random_forest__domain_reduced,random_forest,domain_reduced,15,27.8021,42
xgboost__group_c_pm25_meteorology,xgboost,group_c_pm25_meteorology,117,27.9453,44
elasticnet__set_b_pm25_history,elasticnet,set_b_pm25_history,29,28.0745,40
ridge__set_b_pm25_history,ridge,set_b_pm25_history,29,28.1041,19
xgboost__set_b_pm25_history,xgboost,set_b_pm25_history,29,28.147,40
ridge__domain_reduced,ridge,domain_reduced,15,28.2418,49
elasticnet__domain_reduced,elasticnet,domain_reduced,15,28.2423,11
xgboost__domain_reduced,xgboost,domain_reduced,15,28.488,33
elasticnet__group_e_pm25_met_fire,elasticnet,group_e_pm25_met_fire,147,28.6373,48
elasticnet__group_f_pm25_met_fire_transport,elasticnet,group_f_pm25_met_fire_transport,147,28.6373,48
elasticnet__group_c_pm25_meteorology,elasticnet,group_c_pm25_meteorology,117,28.8653,32
ridge__group_e_pm25_met_fire,ridge,group_e_pm25_met_fire,147,29.0373,48
ridge__group_f_pm25_met_fire_transport,ridge,group_f_pm25_met_fire_transport,147,29.0373,48
ridge__group_c_pm25_meteorology,ridge,group_c_pm25_meteorology,117,29.0898,33
