study_name,model_type,feature_set,trial_id,val_mae,params,state
ridge__set_b_pm25_history,ridge,set_b_pm25_history,0,28.3828,"{""alpha"": 0.1767016940294795}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,1,28.8854,"{""alpha"": 506.1576888752306}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,2,28.1532,"{""alpha"": 24.658329458549105}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,3,28.1322,"{""alpha"": 3.907967156822881}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,4,28.4955,"{""alpha"": 0.008632008168602538}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,5,28.4955,"{""alpha"": 0.008629132190071854}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,6,28.5081,"{""alpha"": 0.002231010801867922}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,7,28.521,"{""alpha"": 157.41890047456639}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,8,28.1306,"{""alpha"": 4.0428727350273315}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,9,28.1229,"{""alpha"": 17.71884735480682}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,10,28.3907,"{""alpha"": 0.15877002610239194}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,11,28.1459,"{""alpha"": 3.1333599620390524}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,12,28.1138,"{""alpha"": 5.978892858434558}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,13,28.225,"{""alpha"": 45.555820164123396}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,14,28.2829,"{""alpha"": 0.5511334276325339}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,15,28.15,"{""alpha"": 23.858728269382617}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,16,28.2052,"{""alpha"": 1.3742916541187924}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,17,28.9532,"{""alpha"": 586.5789846904775}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,18,28.341,"{""alpha"": 80.63302031938137}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,19,28.1041,"{""alpha"": 8.289818982561153}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,20,28.3716,"{""alpha"": 0.20426838201690434}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,21,28.1092,"{""alpha"": 13.095100696721184}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,22,28.1057,"{""alpha"": 10.951634887766494}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,23,28.1053,"{""alpha"": 10.601226994625582}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,24,28.2513,"{""alpha"": 0.7787139915931733}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,25,28.5398,"{""alpha"": 168.97444275803753}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,26,28.1042,"{""alpha"": 9.547581357420691}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,27,28.4509,"{""alpha"": 0.05661509435737046}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,28,28.2054,"{""alpha"": 1.3700892647280878}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,29,28.3427,"{""alpha"": 81.13788156713791}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,30,28.3185,"{""alpha"": 0.3767485299226555}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,31,28.1045,"{""alpha"": 9.825860418612866}",COMPLETE
ridge__set_b_pm25_history,ridge,set_b_pm25_history,32,28.1818,"{""alpha"": 1.8635509152895133}",COMPLETE
