date,attribution_group,shap_value,environmental_indicator,indicator_value,expected_relationship,observed_relationship,conflict_type
2020-06-09,biomass_burning,2.11758740200012,fire_hotspot_count_lag_1d,9.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2020-10-18,biomass_burning,-1.061654420456153,fire_hotspot_count_lag_1d,481.0,High upwind fire count requires positive biomass SHAP,High fire count co-occurs with negative biomass SHAP,high_fire_negative_biomass_shap
2020-10-20,biomass_burning,-1.0867330450887165,fire_hotspot_count_lag_1d,96.0,High upwind fire count requires positive biomass SHAP,High fire count co-occurs with negative biomass SHAP,high_fire_negative_biomass_shap
2020-11-01,wind_ventilation,5.052535402688564,wind_speed_kmh_lag_1d,16.5,Positive ventilation SHAP requires low surface wind speed,Positive ventilation SHAP co-occurs with high wind speed,positive_ventilation_shap_high_wind
2020-11-29,biomass_burning,4.532240855713634,fire_hotspot_count_lag_1d,12.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2020-11-30,biomass_burning,4.252733592646777,fire_hotspot_count_lag_1d,13.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2020-12-01,biomass_burning,4.3763496299525375,fire_hotspot_count_lag_1d,9.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2020-12-05,biomass_burning,3.47268890904382,fire_hotspot_count_lag_1d,17.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2020-12-06,biomass_burning,3.7390516218285472,fire_hotspot_count_lag_1d,17.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2020-12-08,biomass_burning,3.487620359846148,fire_hotspot_count_lag_1d,15.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2021-06-04,biomass_burning,2.199240624535044,fire_hotspot_count_lag_1d,12.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2021-06-09,biomass_burning,2.065370208707876,fire_hotspot_count_lag_1d,15.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2021-12-05,biomass_burning,13.555245535012055,fire_hotspot_count_lag_1d,6.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2021-12-06,biomass_burning,3.75473069000869,fire_hotspot_count_lag_1d,16.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2021-12-08,biomass_burning,3.735491699073175,fire_hotspot_count_lag_1d,14.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
2021-12-09,biomass_burning,3.669644311294669,fire_hotspot_count_lag_1d,18.0,High biomass SHAP requires high upwind fire count,High biomass SHAP co-occurs with low upwind fire count,high_shap_low_fire_activity
