event_id,start_date,end_date,peak_date,observed_pm25,observed_prediction,dominant_group,biomass_cf_prediction,biomass_delta,wind_cf_prediction,wind_delta,meteorology_cf_prediction,meteorology_delta,combined_cf_prediction,combined_delta,confidence,ood_flag
EVT_001,2020-01-10,2020-01-12,2020-01-11,335.83,287.5915614209069,pm25_persistence,286.91776446364406,-0.6737969572628231,271.608298302151,-15.983263118755872,285.63056083744004,-1.9610005834668414,267.9989775637801,-19.592583857126783,HIGH,False
EVT_002,2020-01-14,2020-01-14,2020-01-14,369.9,291.0618732097432,pm25_persistence,291.03742476435787,-0.024448445385360174,273.95452758790793,-17.107345621835293,287.4914500243332,-3.57042318541005,269.3914382954847,-21.67043491425852,HIGH,False
EVT_003,2020-01-17,2020-01-18,2020-01-18,378.5,291.173637589382,pm25_persistence,290.9088239709474,-0.2648136184345731,274.4786769364253,-16.694960652956695,289.17614207984735,-1.9974955095346445,271.2843540720809,-19.889283517301124,HIGH,False
EVT_004,2020-01-23,2020-01-23,2020-01-23,347.3,287.3051396125271,pm25_persistence,286.6030336320428,-0.7021059804843048,271.68002833450237,-15.625111278024747,286.75533976381126,-0.5497998487158497,271.56347663864386,-15.741662973883251,HIGH,False
EVT_005,2020-01-26,2020-01-26,2020-01-26,338.25,286.79802984623007,pm25_persistence,286.78046309232656,-0.017566753903508925,270.7127486153092,-16.085281230920884,285.16663958283493,-1.631390263395133,271.90326964831166,-14.894760197918401,HIGH,False
EVT_006,2020-01-28,2020-01-30,2020-01-30,394.76,289.5695122681045,pm25_persistence,289.880203408781,0.31069114067645387,273.8550399225131,-15.714472345591446,287.1059566969477,-2.463555571156803,272.0902093028315,-17.479302965273007,HIGH,False
EVT_007,2020-11-01,2020-11-01,2020-11-01,362.87,239.683094325112,pm25_persistence,188.85508105179866,-50.82801327331333,227.4920484579942,-12.191045867117793,231.09600805302543,-8.587086272086566,175.40159174316472,-64.28150258194728,HIGH,False
EVT_008,2020-11-03,2020-11-03,2020-11-03,332.54,284.65650184525634,pm25_persistence,271.0709998555843,-13.585501989672025,267.8240583232645,-16.83244352199182,282.72231019150524,-1.9341916537510997,252.07913411042375,-32.57736773483259,HIGH,False
EVT_009,2020-11-05,2020-11-05,2020-11-05,366.43,289.60894192205114,pm25_persistence,275.1877993053224,-14.42114261672873,271.4515854981497,-18.157356423901433,287.80970455802543,-1.7992373640257142,254.77865340906826,-34.83028851298289,HIGH,False
EVT_010,2020-11-11,2020-11-14,2020-11-13,371.52,288.79800840660295,pm25_persistence,286.1734768685262,-2.624531538076724,272.67951359064864,-16.118494815954307,292.4635385266129,3.6655301200099757,272.21727246018986,-16.580735946413085,HIGH,False
EVT_011,2020-11-17,2020-11-17,2020-11-17,338.52,291.5117087775553,pm25_persistence,288.9906121244822,-2.52109665307313,273.9380211923821,-17.573687585173218,292.0080594280144,0.4963506504590782,271.24535062333376,-20.266358154221564,HIGH,False
EVT_012,2020-11-20,2020-11-20,2020-11-20,319.78,287.1024993410432,pm25_persistence,283.06043435875785,-4.042064982285353,267.6053743176164,-19.497125023426804,287.8902745941869,0.7877752531437068,261.7180629174143,-25.384436423628927,HIGH,False
EVT_013,2020-11-24,2020-11-27,2020-11-26,386.82,291.87717636720686,pm25_persistence,289.0208979709097,-2.8562783962971707,273.8033200555048,-18.07385631170206,291.9880625944228,0.11088622721592856,270.39501936757955,-21.482156999627307,HIGH,False
EVT_014,2020-11-29,2020-11-29,2020-11-29,323.98,287.20612907872237,pm25_persistence,286.3177004799413,-0.8884285987810472,270.6902115394995,-16.51591753922287,287.11404941597345,-0.09207966274891533,269.6205144567179,-17.58561462200447,HIGH,False
EVT_015,2020-12-01,2020-12-01,2020-12-01,364.62,290.8089953946495,pm25_persistence,290.2175649587501,-0.59143043589944,273.45490055685997,-17.354094837789546,289.8436088827504,-0.9653865118991121,271.828467478961,-18.980527915688526,HIGH,False
EVT_016,2020-12-03,2020-12-04,2020-12-03,351.96,289.1137061467207,pm25_persistence,289.25103662349113,0.13733047677044397,271.7624519631778,-17.351254183542892,288.4596094626029,-0.6540966841178033,270.37848235909985,-18.73522378762084,HIGH,False
EVT_017,2020-12-06,2020-12-06,2020-12-06,372.63,289.52763373958413,pm25_persistence,289.64586069936763,0.11822695978349884,272.86391135639036,-16.66372238319377,289.7087306768869,0.18109693730275467,272.3061358313755,-17.22149790820862,HIGH,False
EVT_018,2020-12-08,2020-12-08,2020-12-08,322.8,288.8556959420317,pm25_persistence,289.27222487009516,0.4165289280634852,271.5253328966664,-17.33036304536529,288.9335067168219,0.07781077479023679,271.23516545078934,-17.620530491242334,HIGH,False
EVT_019,2020-12-10,2020-12-10,2020-12-10,376.55,285.66851254011084,pm25_persistence,285.47982105447414,-0.1886914856366957,269.6709261641492,-15.997586375961646,288.7887787347809,3.12026619467008,271.7362505354579,-13.932262004652955,HIGH,False
EVT_020,2020-12-13,2020-12-14,2020-12-13,364.21,288.5427864958814,pm25_persistence,288.7234137736227,0.1806272777413369,271.96626554553166,-16.57652095034973,289.45545023118535,0.9126637353039655,271.3603713670733,-17.18241512880809,HIGH,False
EVT_021,2020-12-17,2020-12-19,2020-12-17,384.46,291.7555774825355,pm25_persistence,291.51329124486523,-0.24228623767027102,273.6509921974404,-18.104585285095084,289.6118091477355,-2.1437683347999723,269.7163176830648,-22.0392597994707,HIGH,False
EVT_022,2020-12-22,2020-12-23,2020-12-23,369.63,289.24326135415254,pm25_persistence,290.0517080913303,0.8084467371777464,271.64719037173916,-17.59607098241338,288.4692244258138,-0.7740369283387167,272.04620476284276,-17.197056591309774,HIGH,False
EVT_023,2020-12-26,2020-12-26,2020-12-26,333.16,286.3602783287055,pm25_persistence,286.2360288507864,-0.12424947791907925,269.43857978998113,-16.921698538724343,286.54953700000027,0.18925867129479457,270.49155953182003,-15.868718796885446,HIGH,False
EVT_024,2020-12-31,2020-12-31,2020-12-31,328.42,289.1837880217398,pm25_persistence,288.993649762216,-0.19013825952379193,275.4927844779327,-13.691003543807142,288.0972691084971,-1.0865189132427417,273.19122566598617,-15.992562355753648,HIGH,False
EVT_025,2021-01-02,2021-01-02,2021-01-02,350.83,288.4954773553215,pm25_persistence,290.1906237526648,1.6951463973433079,273.201760734776,-15.293716620545524,285.8742451654314,-2.6212321898901223,272.5854069980311,-15.910070357290408,HIGH,False
EVT_026,2021-01-06,2021-01-06,2021-01-06,362.63,290.1961092197558,pm25_persistence,290.1401083852537,-0.05600083450207194,273.29826166029756,-16.897847559458228,287.54919744831676,-2.6469117714390222,270.21694295733937,-19.979166262416413,HIGH,False
EVT_027,2021-01-08,2021-01-09,2021-01-09,370.44,289.7726236651763,pm25_persistence,289.6451765126608,-0.12744715251551497,274.3052662828794,-15.467357382296882,286.2294468935555,-3.5431767716207787,270.97272456436656,-18.79989910080974,HIGH,False
EVT_028,2021-01-13,2021-01-13,2021-01-13,316.01,291.29592600333706,pm25_persistence,291.07114619086036,-0.22477981247669732,279.19999986479394,-12.09592613854312,285.3679016052781,-5.9280243980589375,272.5530040153961,-18.742921987940974,HIGH,False
EVT_029,2021-01-15,2021-01-16,2021-01-15,351.9,290.72405275747445,pm25_persistence,290.2490224640145,-0.47503029345995174,277.9376711418488,-12.786381615625658,284.278037264427,-6.446015493047469,271.68573940154346,-19.038313355930995,HIGH,False
EVT_030,2021-01-20,2021-01-20,2021-01-20,323.49,290.4340109634163,pm25_persistence,290.1077265508909,-0.3262844125254105,276.63738103886544,-13.79662992455087,286.31399368992146,-4.120017273494852,272.0168098563879,-18.417201107028404,HIGH,False
EVT_031,2021-01-22,2021-01-23,2021-01-22,365.01,288.9912209202124,pm25_persistence,289.0776439993135,0.08642307910110958,276.16696885662543,-12.824252063586982,283.7179642693728,-5.273256650839585,271.42535720998546,-17.56586371022695,HIGH,False
EVT_032,2021-01-26,2021-01-27,2021-01-27,385.16,292.0982303177902,pm25_persistence,291.6457557610142,-0.45247455677599646,278.64954088135744,-13.448689436432744,284.71451923758025,-7.383711080209935,271.31743438286117,-20.780795934929017,HIGH,False
EVT_033,2021-01-30,2021-01-30,2021-01-30,307.13,283.1054391050123,pm25_persistence,283.4482497619414,0.34281065692908896,270.361266557855,-12.74417254715729,279.20800725846675,-3.897431846545544,269.71393870086376,-13.39150040414853,HIGH,False
EVT_034,2021-11-03,2021-11-03,2021-11-03,366.71,281.23033827264805,pm25_persistence,274.77691812071544,-6.453420151932619,267.5066512798929,-13.723686992755177,280.0082959924921,-1.2220422801559607,258.5016373592635,-22.728700913384557,HIGH,False
EVT_035,2021-11-05,2021-11-07,2021-11-07,390.6,289.6022956227328,pm25_persistence,283.68303428490816,-5.919261337824651,274.5911075556092,-15.011188067123612,289.8815688863405,0.2792732636077062,267.8608379629978,-21.741457659735033,HIGH,False
EVT_036,2021-11-17,2021-11-24,2021-11-24,376.7,293.48802220381657,pm25_persistence,290.55456179013066,-2.933460413685907,277.024991530925,-16.46303067289159,293.0553433378725,-0.43267886594406946,272.7625538139875,-20.725468389829075,HIGH,False
