isolation_pass,max_untargeted_diff,bounds_pass,out_of_bounds_count,overall_plausibility_pass,date,scenario
True,0.0,True,0,True,2020-01-01,biomass_low
True,0.0,True,0,True,2020-01-02,biomass_low
True,0.0,True,0,True,2020-01-03,biomass_low
True,0.0,True,0,True,2020-01-04,biomass_low
True,0.0,True,0,True,2020-01-05,biomass_low
True,0.0,True,0,True,2020-01-06,biomass_low
True,0.0,True,0,True,2020-01-07,biomass_low
True,0.0,True,0,True,2020-01-08,biomass_low
True,0.0,True,0,True,2020-01-09,biomass_low
True,0.0,True,0,True,2020-01-10,biomass_low
True,0.0,True,0,True,2020-01-11,biomass_low
True,0.0,True,0,True,2020-01-12,biomass_low
True,0.0,True,0,True,2020-01-13,biomass_low
True,0.0,True,0,True,2020-01-14,biomass_low
True,0.0,True,0,True,2020-01-15,biomass_low
True,0.0,True,0,True,2020-01-16,biomass_low
True,0.0,True,0,True,2020-01-17,biomass_low
True,0.0,True,0,True,2020-01-18,biomass_low
True,0.0,True,0,True,2020-01-19,biomass_low
True,0.0,True,0,True,2020-01-20,biomass_low
True,0.0,True,0,True,2020-01-21,biomass_low
True,0.0,True,0,True,2020-01-22,biomass_low
True,0.0,True,0,True,2020-01-23,biomass_low
True,0.0,True,0,True,2020-01-24,biomass_low
True,0.0,True,0,True,2020-01-25,biomass_low
True,0.0,True,0,True,2020-01-26,biomass_low
True,0.0,True,0,True,2020-01-27,biomass_low
True,0.0,True,0,True,2020-01-28,biomass_low
True,0.0,True,0,True,2020-01-29,biomass_low
True,0.0,True,0,True,2020-01-30,biomass_low
True,0.0,True,0,True,2020-01-31,biomass_low
True,0.0,True,0,True,2020-02-01,biomass_low
True,0.0,True,0,True,2020-02-02,biomass_low
True,0.0,True,0,True,2020-02-03,biomass_low
True,0.0,True,0,True,2020-02-04,biomass_low
True,0.0,True,0,True,2020-02-05,biomass_low
True,0.0,True,0,True,2020-02-06,biomass_low
True,0.0,True,0,True,2020-02-07,biomass_low
True,0.0,True,0,True,2020-02-08,biomass_low
True,0.0,True,0,True,2020-02-09,biomass_low
True,0.0,True,0,True,2020-02-10,biomass_low
True,0.0,True,0,True,2020-02-11,biomass_low
True,0.0,True,0,True,2020-02-12,biomass_low
True,0.0,True,0,True,2020-02-13,biomass_low
True,0.0,True,0,True,2020-02-14,biomass_low
True,0.0,True,0,True,2020-02-15,biomass_low
True,0.0,True,0,True,2020-02-16,biomass_low
True,0.0,True,0,True,2020-02-17,biomass_low
True,0.0,True,0,True,2020-02-18,biomass_low
True,0.0,True,0,True,2020-02-19,biomass_low
True,0.0,True,0,True,2020-02-20,biomass_low
True,0.0,True,0,True,2020-02-21,biomass_low
True,0.0,True,0,True,2020-02-22,biomass_low
True,0.0,True,0,True,2020-02-23,biomass_low
True,0.0,True,0,True,2020-02-24,biomass_low
True,0.0,True,0,True,2020-02-25,biomass_low
True,0.0,True,0,True,2020-02-26,biomass_low
True,0.0,True,0,True,2020-02-27,biomass_low
True,0.0,True,0,True,2020-02-28,biomass_low
True,0.0,True,0,True,2020-02-29,biomass_low
True,0.0,True,0,True,2020-03-01,biomass_low
True,0.0,True,0,True,2020-03-02,biomass_low
True,0.0,True,0,True,2020-03-03,biomass_low
True,0.0,True,0,True,2020-03-04,biomass_low
True,0.0,True,0,True,2020-03-05,biomass_low
True,0.0,True,0,True,2020-03-06,biomass_low
True,0.0,True,0,True,2020-03-07,biomass_low
True,0.0,True,0,True,2020-03-08,biomass_low
True,0.0,True,0,True,2020-03-09,biomass_low
True,0.0,True,0,True,2020-03-10,biomass_low
True,0.0,True,0,True,2020-03-11,biomass_low
True,0.0,True,0,True,2020-03-12,biomass_low
True,0.0,True,0,True,2020-03-13,biomass_low
True,0.0,True,0,True,2020-03-14,biomass_low
True,0.0,True,0,True,2020-03-15,biomass_low
True,0.0,True,0,True,2020-03-16,biomass_low
True,0.0,True,0,True,2020-03-17,biomass_low
True,0.0,True,0,True,2020-03-18,biomass_low
True,0.0,True,0,True,2020-03-19,biomass_low
True,0.0,True,0,True,2020-03-20,biomass_low
True,0.0,True,0,True,2020-03-21,biomass_low
True,0.0,True,0,True,2020-03-22,biomass_low
True,0.0,True,0,True,2020-03-23,biomass_low
True,0.0,True,0,True,2020-03-24,biomass_low
True,0.0,True,0,True,2020-03-25,biomass_low
True,0.0,True,0,True,2020-03-26,biomass_low
True,0.0,True,0,True,2020-03-27,biomass_low
True,0.0,True,0,True,2020-03-28,biomass_low
True,0.0,True,0,True,2020-03-29,biomass_low
True,0.0,True,0,True,2020-03-30,biomass_low
True,0.0,True,0,True,2020-03-31,biomass_low
