date,predicted_pm25,observed_pm25,dominant_group,validation_status,has_counter_evidence,biomass_cf_delta,confidence_level,confidence_score
2024-11-12,281.73,323.34,pm25_persistence,PASS,False,-1.76,MODERATE,0.75
2024-11-13,281.45,310.59,pm25_persistence,PASS,False,-1.64,MODERATE,0.75
2024-11-14,281.71,368.72,pm25_persistence,PASS,False,-2.37,MODERATE,0.75
2024-11-15,279.69,282.46,pm25_persistence,PASS,False,-1.91,MODERATE,0.75
2024-11-16,280.34,391.94,pm25_persistence,PASS,False,-1.52,MODERATE,0.75
2024-11-17,280.1,364.7,pm25_persistence,PASS,False,-1.95,MODERATE,0.75
2024-11-18,284.4,196.03,pm25_persistence,PASS,False,-1.93,MODERATE,0.75
2024-11-19,289.18,321.58,pm25_persistence,PASS,False,-2.44,MODERATE,0.75
2024-11-20,293.25,195.67,pm25_persistence,PASS,False,-3.28,MODERATE,0.75
2024-11-21,282.94,208.92,pm25_persistence,PASS,False,-7.75,MODERATE,0.75
2024-11-22,283.43,374.9,pm25_persistence,PASS,False,-7.46,MODERATE,0.75
2024-11-23,282.31,290.09,pm25_persistence,PASS,False,-7.74,MODERATE,0.75
2024-11-24,290.99,238.79,pm25_persistence,PASS,False,-1.24,MODERATE,0.75
2024-11-25,291.7,261.12,pm25_persistence,PASS,False,-1.49,MODERATE,0.75
2024-11-26,292.18,208.32,pm25_persistence,PASS,False,-1.63,MODERATE,0.75
2024-11-27,291.78,293.98,pm25_persistence,PASS,False,-0.85,LOW,0.45
2024-11-28,291.75,240.21,pm25_persistence,PASS,False,-0.51,LOW,0.45
2024-11-29,290.44,212.79,pm25_persistence,PASS,False,-0.51,LOW,0.45
2024-11-30,289.49,268.1,pm25_persistence,WARNING_CONFLICT,True,-0.56,LOW,0.45
2024-12-01,291.84,254.26,pm25_persistence,WARNING_CONFLICT,True,-0.67,LOW,0.45
2024-12-02,292.67,196.45,pm25_persistence,PASS,False,-0.83,LOW,0.45
2024-12-03,282.89,214.23,pm25_persistence,WARNING_CONFLICT,True,0.37,LOW,0.45
2024-12-04,282.01,226.1,pm25_persistence,PASS,False,-8.5,LOW,0.45
2024-12-05,270.34,210.63,pm25_persistence,WARNING_CONFLICT,True,-20.57,LOW,0.45
2024-12-06,270.01,197.71,pm25_persistence,PASS,False,-21.55,LOW,0.45
2024-12-07,260.17,260.93,pm25_persistence,PASS,False,-25.07,LOW,0.45
2024-12-08,277.1,290.42,pm25_persistence,PASS,False,-8.3,HIGH,1.0
2024-12-09,285.99,223.04,pm25_persistence,PASS,False,-0.71,MODERATE,0.75
2024-12-10,286.17,335.86,pm25_persistence,PASS,False,-0.29,MODERATE,0.75
2024-12-11,288.86,317.35,pm25_persistence,PASS,False,-0.05,MODERATE,0.75
2024-12-12,287.33,229.59,pm25_persistence,PASS,False,0.3,MODERATE,0.75
2024-12-13,287.75,333.77,pm25_persistence,PASS,False,0.17,MODERATE,0.75
2024-12-14,289.9,313.61,pm25_persistence,PASS,False,-0.05,MODERATE,0.75
2024-12-15,289.85,313.99,pm25_persistence,PASS,False,-0.28,MODERATE,0.75
2024-12-16,285.68,342.05,pm25_persistence,PASS,False,0.78,LOW,0.45
2024-12-17,284.89,240.4,pm25_persistence,PASS,False,-0.44,LOW,0.45
2024-12-18,280.15,333.15,pm25_persistence,PASS,False,1.88,MODERATE,0.75
2024-12-19,278.71,292.22,pm25_persistence,PASS,False,2.63,LOW,0.45
2024-12-20,279.26,366.69,pm25_persistence,PASS,False,2.35,LOW,0.45
2024-12-21,283.61,229.39,pm25_persistence,PASS,False,3.13,LOW,0.45
2024-12-22,282.94,300.49,pm25_persistence,PASS,False,2.97,MODERATE,0.75
2024-12-23,283.1,250.22,pm25_persistence,PASS,False,3.69,MODERATE,0.75
2024-12-24,283.66,272.65,pm25_persistence,PASS,False,2.82,LOW,0.45
2024-12-25,282.96,232.04,pm25_persistence,PASS,False,2.93,LOW,0.45
2024-12-26,284.83,268.11,pm25_persistence,PASS,False,3.43,LOW,0.45
2024-12-27,282.01,292.67,pm25_persistence,PASS,False,3.46,MODERATE,0.75
2024-12-28,281.9,232.77,pm25_persistence,PASS,False,3.31,LOW,0.45
2024-12-29,282.16,242.44,pm25_persistence,PASS,False,3.41,LOW,0.45
2024-12-30,286.05,368.27,pm25_persistence,PASS,False,2.72,MODERATE,0.75
2024-12-31,286.92,348.83,pm25_persistence,PASS,False,2.87,MODERATE,0.75
