feature_name,null_count,inf_count,min_value,max_value,mean_value,std_value,audit_status,audit_note
rainfall_1d,0,0,0.0,85.43,2.6339080459770114,8.354878810811504,PASS,Clean
rainfall_3d,0,0,0.0,151.93,7.898757525998905,16.04070628072337,PASS,Clean
rainfall_7d,0,0,0.0,186.92,18.42845648604269,27.785457211399095,PASS,Clean
rain_event_1d,0,0,0.0,1.0,0.16912972085385877,0.37496908690120195,PASS,Clean
washout_index_3d,0,0,0.0,5.03,1.0092733442802408,1.4268103575007993,PASS,Clean
pblh_1d,0,0,516.4,2066.3,1203.0174603174603,398.4113213251232,PASS,Clean
pblh_min_1d,0,0,323.6,1478.6,779.9433497536946,269.9856809787704,PASS,Clean
pblh_roll_mean_3d,0,0,575.7,2007.2,1202.9305966064587,393.92647729986425,PASS,Clean
ventilation_index_1d,0,0,966.0,17690.8,5516.182156540777,3204.7791984384617,PASS,Clean
aod_550_1d,0,0,0.08,1.371,0.5354192665571976,0.28183690299793274,PASS,Clean
aod_roll_mean_3d,0,0,0.134,1.17,0.5353672687465791,0.2629988803055795,PASS,Clean
wind_u_component_1d,0,0,-10.03,9.57,0.7635139573070607,3.830233810192474,PASS,Clean
wind_v_component_1d,0,0,-9.47,8.5,-0.8380295566502463,2.2581748907077523,PASS,Clean
upwind_stubble_quadrant_1d,0,0,0.0,35.5,8.235467980295567,8.612013746151215,PASS,Clean
