model_name,feature_set,num_features,mean_test_r2,mean_test_mae,mean_test_rmse,mean_generalization_gap
Persistence,Set_A_Baseline_V2,147,0.7444,34.8814,49.269,0.0155
Ridge,Set_A_Baseline_V2,147,0.8093,31.5795,42.2501,0.0688
ElasticNet,Set_A_Baseline_V2,147,0.8209,30.2876,41.0488,0.0539
RandomForest,Set_A_Baseline_V2,147,0.8507,27.5555,37.6174,0.1023
XGBoost,Set_A_Baseline_V2,147,0.8396,28.4949,38.97,0.1134
Persistence,Set_B_V2_Rainfall,152,0.7444,34.8814,49.269,0.0155
Ridge,Set_B_V2_Rainfall,152,0.8086,31.6353,42.324,0.0703
ElasticNet,Set_B_V2_Rainfall,152,0.8211,30.2859,41.0183,0.0545
RandomForest,Set_B_V2_Rainfall,152,0.851,27.4808,37.585,0.1022
XGBoost,Set_B_V2_Rainfall,152,0.8403,28.4754,38.9526,0.1129
Persistence,Set_C_V2_Rainfall_PBL,156,0.7444,34.8814,49.269,0.0155
Ridge,Set_C_V2_Rainfall_PBL,156,0.8112,31.4767,41.9661,0.0695
ElasticNet,Set_C_V2_Rainfall_PBL,156,0.8234,30.0372,40.6999,0.0542
RandomForest,Set_C_V2_Rainfall_PBL,156,0.8545,27.3806,37.104,0.0986
XGBoost,Set_C_V2_Rainfall_PBL,156,0.8425,28.3653,38.6359,0.1113
Persistence,Set_D_V2_Rainfall_PBL_Winds,159,0.7444,34.8814,49.269,0.0155
Ridge,Set_D_V2_Rainfall_PBL_Winds,159,0.8116,31.4924,41.9242,0.0693
ElasticNet,Set_D_V2_Rainfall_PBL_Winds,159,0.8243,30.0601,40.6067,0.0536
RandomForest,Set_D_V2_Rainfall_PBL_Winds,159,0.8547,27.3711,37.085,0.0987
XGBoost,Set_D_V2_Rainfall_PBL_Winds,159,0.8394,28.3755,38.9553,0.1147
Persistence,Set_E_All_External_Groups,161,0.7444,34.8814,49.269,0.0155
Ridge,Set_E_All_External_Groups,161,0.9102,22.9131,28.6624,0.0407
ElasticNet,Set_E_All_External_Groups,161,0.8658,26.3925,35.4245,0.0422
RandomForest,Set_E_All_External_Groups,161,0.9486,17.2119,22.0408,0.0381
XGBoost,Set_E_All_External_Groups,161,0.9466,17.3615,22.4342,0.0369
