fold,train_years,test_year,model_name,feature_set,num_features,train_r2,test_r2,test_mae,test_rmse,test_medae,generalization_gap
1,2020-2021,2022,Persistence,Set_A_Baseline_V2,147,0.7698,0.71,35.2211,51.429,23.09,0.0598
2,2020-2022,2023,Persistence,Set_A_Baseline_V2,147,0.7518,0.7751,35.0352,48.5297,25.18,-0.0233
3,2020-2023,2024,Persistence,Set_A_Baseline_V2,147,0.758,0.748,34.388,47.8482,25.375,0.01
1,2020-2021,2022,Ridge,Set_A_Baseline_V2,147,0.8889,0.7396,36.8439,48.7351,28.1056,0.1493
2,2020-2022,2023,Ridge,Set_A_Baseline_V2,147,0.8723,0.846,30.0823,40.1578,22.3273,0.0263
3,2020-2023,2024,Ridge,Set_A_Baseline_V2,147,0.8731,0.8423,27.8123,37.8576,19.7947,0.0309
1,2020-2021,2022,ElasticNet,Set_A_Baseline_V2,147,0.8844,0.7672,33.9878,46.0778,24.1584,0.1172
2,2020-2022,2023,ElasticNet,Set_A_Baseline_V2,147,0.8694,0.852,29.1927,39.3667,21.2668,0.0174
3,2020-2023,2024,ElasticNet,Set_A_Baseline_V2,147,0.8708,0.8436,27.6823,37.702,20.7803,0.0272
1,2020-2021,2022,RandomForest,Set_A_Baseline_V2,147,0.9612,0.827,28.8981,39.7273,21.2424,0.1342
2,2020-2022,2023,RandomForest,Set_A_Baseline_V2,147,0.9514,0.8728,26.8782,36.4997,18.9111,0.0786
3,2020-2023,2024,RandomForest,Set_A_Baseline_V2,147,0.9464,0.8524,26.8901,36.6251,18.8736,0.0941
1,2020-2021,2022,XGBoost,Set_A_Baseline_V2,147,0.9661,0.8161,29.6938,40.9554,21.1383,0.1501
2,2020-2022,2023,XGBoost,Set_A_Baseline_V2,147,0.9512,0.8662,27.6513,37.4221,19.7174,0.0849
3,2020-2023,2024,XGBoost,Set_A_Baseline_V2,147,0.9417,0.8366,28.1396,38.5323,20.6202,0.1051
1,2020-2021,2022,Persistence,Set_B_V2_Rainfall,152,0.7698,0.71,35.2211,51.429,23.09,0.0598
2,2020-2022,2023,Persistence,Set_B_V2_Rainfall,152,0.7518,0.7751,35.0352,48.5297,25.18,-0.0233
3,2020-2023,2024,Persistence,Set_B_V2_Rainfall,152,0.758,0.748,34.388,47.8482,25.375,0.01
1,2020-2021,2022,Ridge,Set_B_V2_Rainfall,152,0.8897,0.7382,36.8959,48.8621,28.0913,0.1515
2,2020-2022,2023,Ridge,Set_B_V2_Rainfall,152,0.8733,0.8438,30.4434,40.443,22.8343,0.0296
3,2020-2023,2024,Ridge,Set_B_V2_Rainfall,152,0.8737,0.8439,27.5666,37.6668,19.5087,0.0299
1,2020-2021,2022,ElasticNet,Set_B_V2_Rainfall,152,0.8853,0.7666,34.099,46.1405,25.6424,0.1187
2,2020-2022,2023,ElasticNet,Set_B_V2_Rainfall,152,0.8704,0.8517,29.2974,39.4014,21.5996,0.0186
3,2020-2023,2024,ElasticNet,Set_B_V2_Rainfall,152,0.8714,0.8451,27.4614,37.5129,20.3625,0.0263
1,2020-2021,2022,RandomForest,Set_B_V2_Rainfall,152,0.9613,0.8281,28.6086,39.5917,20.4135,0.1331
2,2020-2022,2023,RandomForest,Set_B_V2_Rainfall,152,0.9521,0.8728,26.9379,36.4929,19.362,0.0792
3,2020-2023,2024,RandomForest,Set_B_V2_Rainfall,152,0.9462,0.852,26.896,36.6703,19.5105,0.0942
1,2020-2021,2022,XGBoost,Set_B_V2_Rainfall,152,0.9655,0.827,28.9944,39.7193,20.9293,0.1384
2,2020-2022,2023,XGBoost,Set_B_V2_Rainfall,152,0.9512,0.8592,28.2121,38.3991,20.021,0.092
3,2020-2023,2024,XGBoost,Set_B_V2_Rainfall,152,0.9429,0.8348,28.2197,38.7396,20.7104,0.1081
1,2020-2021,2022,Persistence,Set_C_V2_Rainfall_PBL,156,0.7698,0.71,35.2211,51.429,23.09,0.0598
2,2020-2022,2023,Persistence,Set_C_V2_Rainfall_PBL,156,0.7518,0.7751,35.0352,48.5297,25.18,-0.0233
3,2020-2023,2024,Persistence,Set_C_V2_Rainfall_PBL,156,0.758,0.748,34.388,47.8482,25.375,0.01
1,2020-2021,2022,Ridge,Set_C_V2_Rainfall_PBL,156,0.891,0.7351,37.1266,49.1568,28.1855,0.156
2,2020-2022,2023,Ridge,Set_C_V2_Rainfall_PBL,156,0.8749,0.8501,30.021,39.612,21.1923,0.0247
3,2020-2023,2024,Ridge,Set_C_V2_Rainfall_PBL,156,0.876,0.8483,27.2825,37.1296,19.7281,0.0277
1,2020-2021,2022,ElasticNet,Set_C_V2_Rainfall_PBL,156,0.8868,0.7636,33.9624,46.4324,24.7272,0.1232
2,2020-2022,2023,ElasticNet,Set_C_V2_Rainfall_PBL,156,0.8721,0.8571,29.0605,38.6852,20.8208,0.015
3,2020-2023,2024,ElasticNet,Set_C_V2_Rainfall_PBL,156,0.8738,0.8495,27.0888,36.9822,18.4871,0.0244
1,2020-2021,2022,RandomForest,Set_C_V2_Rainfall_PBL,156,0.9615,0.8298,28.6897,39.4002,21.0248,0.1318
2,2020-2022,2023,RandomForest,Set_C_V2_Rainfall_PBL,156,0.9519,0.879,26.4683,35.5922,19.5009,0.0729
3,2020-2023,2024,RandomForest,Set_C_V2_Rainfall_PBL,156,0.946,0.8548,26.984,36.3195,19.8603,0.0911
1,2020-2021,2022,XGBoost,Set_C_V2_Rainfall_PBL,156,0.9668,0.8196,29.5618,40.5649,21.1827,0.1472
2,2020-2022,2023,XGBoost,Set_C_V2_Rainfall_PBL,156,0.9507,0.8671,27.5418,37.2971,19.5861,0.0835
3,2020-2023,2024,XGBoost,Set_C_V2_Rainfall_PBL,156,0.9439,0.8407,27.9923,38.0455,20.5357,0.1032
1,2020-2021,2022,Persistence,Set_D_V2_Rainfall_PBL_Winds,159,0.7698,0.71,35.2211,51.429,23.09,0.0598
2,2020-2022,2023,Persistence,Set_D_V2_Rainfall_PBL_Winds,159,0.7518,0.7751,35.0352,48.5297,25.18,-0.0233
3,2020-2023,2024,Persistence,Set_D_V2_Rainfall_PBL_Winds,159,0.758,0.748,34.388,47.8482,25.375,0.01
1,2020-2021,2022,Ridge,Set_D_V2_Rainfall_PBL_Winds,159,0.8914,0.7356,37.0561,49.1021,27.6789,0.1558
2,2020-2022,2023,Ridge,Set_D_V2_Rainfall_PBL_Winds,159,0.8751,0.8495,30.1494,39.6975,22.5112,0.0257
3,2020-2023,2024,Ridge,Set_D_V2_Rainfall_PBL_Winds,159,0.8762,0.8496,27.2718,36.9728,19.6083,0.0266
1,2020-2021,2022,ElasticNet,Set_D_V2_Rainfall_PBL_Winds,159,0.8872,0.7656,33.9185,46.2327,23.8156,0.1215
2,2020-2022,2023,ElasticNet,Set_D_V2_Rainfall_PBL_Winds,159,0.8724,0.8563,29.2231,38.7912,21.0591,0.0161
3,2020-2023,2024,ElasticNet,Set_D_V2_Rainfall_PBL_Winds,159,0.874,0.851,27.0386,36.7962,18.7082,0.023
1,2020-2021,2022,RandomForest,Set_D_V2_Rainfall_PBL_Winds,159,0.9616,0.8301,28.6616,39.3661,21.1984,0.1315
2,2020-2022,2023,RandomForest,Set_D_V2_Rainfall_PBL_Winds,159,0.9519,0.8797,26.3703,35.4927,19.4361,0.0722
3,2020-2023,2024,RandomForest,Set_D_V2_Rainfall_PBL_Winds,159,0.9467,0.8542,27.0813,36.3964,19.8191,0.0925
1,2020-2021,2022,XGBoost,Set_D_V2_Rainfall_PBL_Winds,159,0.9687,0.8123,29.7012,41.3704,21.9776,0.1563
