model_key,model_name,feature_set,regime,sample_count,mean_actual_pm25,mae,rmse,r2,mean_bias
Frozen_RF_v2__Candidate_A_V2_Baseline,Frozen_RF_v2,Candidate_A_V2_Baseline,Extreme_PM25_gte_150,398,257.9,39.5013,48.5611,0.4224,-6.0601
Frozen_RF_v2__Candidate_A_V2_Baseline,Frozen_RF_v2,Candidate_A_V2_Baseline,Top_10pct_Pollution_Days,110,342.11,54.4319,60.9672,-4.7923,-54.4319
Frozen_RF_v2__Candidate_A_V2_Baseline,Frozen_RF_v2,Candidate_A_V2_Baseline,November_Stubble_Peak,90,289.74,49.1316,58.1231,-0.0444,-7.224
Ridge__Candidate_A_V2_Baseline,Ridge,Candidate_A_V2_Baseline,Extreme_PM25_gte_150,398,257.9,44.4684,54.3692,0.2759,-7.4594
Ridge__Candidate_A_V2_Baseline,Ridge,Candidate_A_V2_Baseline,Top_10pct_Pollution_Days,110,342.11,54.8676,64.0494,-5.3927,-54.4603
Ridge__Candidate_A_V2_Baseline,Ridge,Candidate_A_V2_Baseline,November_Stubble_Peak,90,289.74,50.2221,60.5043,-0.1317,-2.1352
ElasticNet__Candidate_A_V2_Baseline,ElasticNet,Candidate_A_V2_Baseline,Extreme_PM25_gte_150,398,257.9,44.491,54.3521,0.2764,-6.9996
ElasticNet__Candidate_A_V2_Baseline,ElasticNet,Candidate_A_V2_Baseline,Top_10pct_Pollution_Days,110,342.11,54.7028,63.951,-5.3731,-54.2053
ElasticNet__Candidate_A_V2_Baseline,ElasticNet,Candidate_A_V2_Baseline,November_Stubble_Peak,90,289.74,51.6001,61.6892,-0.1765,2.1772
RandomForest__Candidate_A_V2_Baseline,RandomForest,Candidate_A_V2_Baseline,Extreme_PM25_gte_150,398,257.9,43.1611,52.9579,0.313,-9.589
RandomForest__Candidate_A_V2_Baseline,RandomForest,Candidate_A_V2_Baseline,Top_10pct_Pollution_Days,110,342.11,60.7304,67.9598,-6.1972,-60.7304
RandomForest__Candidate_A_V2_Baseline,RandomForest,Candidate_A_V2_Baseline,November_Stubble_Peak,90,289.74,54.2275,63.7086,-0.2547,-8.4157
XGBoost__Candidate_A_V2_Baseline,XGBoost,Candidate_A_V2_Baseline,Extreme_PM25_gte_150,398,257.9,44.3677,54.1475,0.2818,-10.5162
XGBoost__Candidate_A_V2_Baseline,XGBoost,Candidate_A_V2_Baseline,Top_10pct_Pollution_Days,110,342.11,60.4477,68.6968,-6.3541,-60.4477
XGBoost__Candidate_A_V2_Baseline,XGBoost,Candidate_A_V2_Baseline,November_Stubble_Peak,90,289.74,52.55,63.0586,-0.2293,-5.2575
Ridge__Candidate_B_V3_Expanded,Ridge,Candidate_B_V3_Expanded,Extreme_PM25_gte_150,398,257.9,24.6252,30.2058,0.7765,-4.8741
Ridge__Candidate_B_V3_Expanded,Ridge,Candidate_B_V3_Expanded,Top_10pct_Pollution_Days,110,342.11,29.9024,35.7889,-0.996,-26.112
Ridge__Candidate_B_V3_Expanded,Ridge,Candidate_B_V3_Expanded,November_Stubble_Peak,90,289.74,26.4486,32.4983,0.6735,-3.2649
ElasticNet__Candidate_B_V3_Expanded,ElasticNet,Candidate_B_V3_Expanded,Extreme_PM25_gte_150,398,257.9,24.1262,29.5592,0.786,-4.4616
ElasticNet__Candidate_B_V3_Expanded,ElasticNet,Candidate_B_V3_Expanded,Top_10pct_Pollution_Days,110,342.11,29.0807,34.5011,-0.8549,-25.1755
ElasticNet__Candidate_B_V3_Expanded,ElasticNet,Candidate_B_V3_Expanded,November_Stubble_Peak,90,289.74,26.1631,31.8331,0.6867,-0.8111
RandomForest__Candidate_B_V3_Expanded,RandomForest,Candidate_B_V3_Expanded,Extreme_PM25_gte_150,398,257.9,21.9913,27.4606,0.8153,-4.7113
RandomForest__Candidate_B_V3_Expanded,RandomForest,Candidate_B_V3_Expanded,Top_10pct_Pollution_Days,110,342.11,22.2301,26.9131,-0.1287,-14.0141
RandomForest__Candidate_B_V3_Expanded,RandomForest,Candidate_B_V3_Expanded,November_Stubble_Peak,90,289.74,24.8106,29.0588,0.739,-0.3579
XGBoost__Candidate_B_V3_Expanded,XGBoost,Candidate_B_V3_Expanded,Extreme_PM25_gte_150,398,257.9,23.1228,29.2269,0.7908,-5.6238
XGBoost__Candidate_B_V3_Expanded,XGBoost,Candidate_B_V3_Expanded,Top_10pct_Pollution_Days,110,342.11,25.7052,31.2408,-0.5209,-16.8477
XGBoost__Candidate_B_V3_Expanded,XGBoost,Candidate_B_V3_Expanded,November_Stubble_Peak,90,289.74,25.2872,30.6023,0.7105,-1.8453
Ridge__Candidate_C_V3_Compact,Ridge,Candidate_C_V3_Compact,Extreme_PM25_gte_150,398,257.9,23.5364,28.9012,0.7954,-4.4665
