feature,importance
aod_550_1d,0.6283826118307716
pm25_roll_mean_3d,0.14276095343273557
pm25_lag_1d,0.06394317744877798
pm25_roll_min_7d,0.054710782254872005
pm25_roll_mean_7d,0.030231526796897504
pm25_roll_mean_14d,0.02298137575202254
pm25_roll_max_7d,0.022033623883718868
pblh_roll_mean_3d,0.0076025350505379685
pm25_lag_2d,0.005154692708771313
pm25_lag_3d,0.0031423999825465586
pblh_1d,0.0030963425676020615
pblh_min_1d,0.0018567633367854086
wind_speed_kmh_roll_mean_3d,0.0011781837962893046
wind_v_component_1d,0.0011274612346165174
wind_speed_kmh_lag_1d,0.0010951123862042928
wind_u_component_1d,0.0010571752103612632
pm25_lag_7d,0.0009487112754963697
ventilation_index_1d,0.0008482779104669972
pm25_roll_std_7d,0.0008332572564809303
fire_hotspot_count_roll_mean_3d,0.000804001446056002
humidity_pct_roll_mean_3d,0.000752671947442666
fire_hotspot_count_roll_mean_7d,0.0007134203603015456
temperature_c_roll_mean_3d,0.0006920206235971042
fire_hotspot_count_lag_1d,0.0006793450907798727
upwind_stubble_quadrant_1d,0.0006614803221553155
humidity_pct_lag_1d,0.000636193443207565
temperature_c_lag_1d,0.0005687878884680191
humidity_pct_roll_max_7d,0.0005088326460623083
temperature_c_roll_min_3d,0.00046045471674232576
washout_index_3d,0.00026332452221259093
rainfall_3d,0.00022407283639096508
rainfall_1d,3.462812903827168e-05
rain_event_1d,1.086686886211509e-05
is_stubble_season,4.935042728250242e-06
festival_window,0.0
