model_name,dataset_version,feature_set,num_features,mean_mae,mean_rmse,mean_r2,mean_median_ae,mean_generalization_gap,delta_mae_vs_v2,delta_rmse_vs_v2,delta_r2_vs_v2,delta_median_ae_vs_v2
RandomForest,v3,Candidate_C_V3_Compact,35,17.0168,21.8468,0.9494,13.781,0.0308,-8.6418,-12.8572,0.0767,-4.4985
RandomForest,v3,Candidate_B_V3_Expanded,161,17.034,21.8397,0.9495,14.0633,0.034,-8.6246,-12.8644,0.0769,-4.2162
XGBoost,v3,Candidate_C_V3_Compact,35,17.0643,22.1425,0.9478,13.4639,0.0375,-8.5943,-12.5616,0.0752,-4.8156
XGBoost,v3,Candidate_B_V3_Expanded,161,17.426,22.6879,0.9455,14.0367,0.0436,-8.2326,-12.0161,0.0728,-4.2427
ElasticNet,v3,Candidate_C_V3_Compact,35,19.272,24.3352,0.9372,16.2853,0.0047,-6.3866,-10.3688,0.0645,-1.9942
Ridge,v3,Candidate_C_V3_Compact,35,19.2929,24.377,0.9369,16.5041,0.0052,-6.3657,-10.3271,0.0643,-1.7754
ElasticNet,v3,Candidate_B_V3_Expanded,161,19.6051,24.7268,0.9351,16.7211,0.0096,-6.0535,-9.9773,0.0625,-1.5584
Ridge,v3,Candidate_B_V3_Expanded,161,19.9309,25.0379,0.9335,16.7645,0.0131,-5.7278,-9.6662,0.0608,-1.515
Frozen_RF_v2,v2,Candidate_A_V2_Baseline,147,25.6586,34.704,0.8727,18.2795,0.0,0.0,0.0,0.0,0.0
RandomForest,v3,Candidate_A_V2_Baseline,147,27.3689,37.5278,0.8513,19.6933,0.0801,1.7103,2.8237,-0.0214,1.4138
XGBoost,v3,Candidate_A_V2_Baseline,147,27.7132,38.1189,0.847,20.3364,0.0549,2.0546,3.4148,-0.0256,2.0569
ElasticNet,v3,Candidate_A_V2_Baseline,147,28.2594,38.4377,0.8443,20.3479,0.0172,2.6007,3.7336,-0.0284,2.0684
Ridge,v3,Candidate_A_V2_Baseline,147,28.5774,38.6676,0.8424,20.5905,0.0234,2.9188,3.9636,-0.0303,2.311
