trial_number,model_name,feature_set,hyperparameters,validation_score_mae,objective_function,random_seed,selected
0,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 0.1767016940294795}",29.9162,inner_temporal_val_mae_2023,42,False
1,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 506.1576888752306}",28.8896,inner_temporal_val_mae_2023,42,False
2,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 24.658329458549105}",28.3028,inner_temporal_val_mae_2023,42,True
3,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 3.907967156822881}",28.6291,inner_temporal_val_mae_2023,42,False
4,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 0.008632008168602538}",30.1594,inner_temporal_val_mae_2023,42,False
5,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 0.008629132190071854}",30.1594,inner_temporal_val_mae_2023,42,False
6,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 0.002231010801867922}",30.1523,inner_temporal_val_mae_2023,42,False
7,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 157.41890047456639}",28.4077,inner_temporal_val_mae_2023,42,False
8,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 4.0428727350273315}",28.6183,inner_temporal_val_mae_2023,42,False
9,Ridge,Candidate_A_V2_Baseline,"{""alpha"": 17.71884735480682}",28.3205,inner_temporal_val_mae_2023,42,False
0,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 0.1767016940294795, ""l1_ratio"": 0.9056428757689245}",27.7659,inner_temporal_val_mae_2023,42,True
1,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 24.658329458549105, ""l1_ratio"": 0.588792635777333}",43.1588,inner_temporal_val_mae_2023,42,False
2,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 0.008632008168602538, ""l1_ratio"": 0.19039506830258235}",28.4464,inner_temporal_val_mae_2023,42,False
3,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 0.002231010801867922, ""l1_ratio"": 0.8295585311974416}",29.5082,inner_temporal_val_mae_2023,42,False
4,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 4.0428727350273315, ""l1_ratio"": 0.6872653200164409}",30.5025,inner_temporal_val_mae_2023,42,False
5,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 0.0013289448722869186, ""l1_ratio"": 0.9229188669457948}",29.8037,inner_temporal_val_mae_2023,42,False
6,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 98.77700294007911, ""l1_ratio"": 0.24110519961044852}",67.3886,inner_temporal_val_mae_2023,42,False
7,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 0.012329623163659839, ""l1_ratio"": 0.21506405886809044}",28.4046,inner_temporal_val_mae_2023,42,False
8,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 0.06690421166498801, ""l1_ratio"": 0.522280788469014}",28.16,inner_temporal_val_mae_2023,42,False
9,ElasticNet,Candidate_A_V2_Baseline,"{""alpha"": 0.3905441275210791, ""l1_ratio"": 0.3121062261782377}",28.5907,inner_temporal_val_mae_2023,42,False
0,RandomForest,Candidate_A_V2_Baseline,"{""n_estimators"": 450, ""max_depth"": 5, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}",26.7822,inner_temporal_val_mae_2023,42,False
1,RandomForest,Candidate_A_V2_Baseline,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_split"": 9, ""min_samples_leaf"": 3, ""max_features"": ""sqrt""}",27.3771,inner_temporal_val_mae_2023,42,False
2,RandomForest,Candidate_A_V2_Baseline,"{""n_estimators"": 400, ""max_depth"": 7, ""min_samples_split"": 5, ""min_samples_leaf"": 6, ""max_features"": 0.7}",26.688,inner_temporal_val_mae_2023,42,False
