feature_name,classification,leakage_type,detected,severity,justification_notes
date,unsafe,same_day_target_or_observation,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
pm25,unsafe,same_day_target_or_observation,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
pm10,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
no2,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
so2,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
co,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
o3,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
temperature_c,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
humidity_pct,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
wind_speed_kmh,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
wind_direction_deg,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
pressure_hpa,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
precipitation_mm,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
fire_hotspot_count,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
high_confidence_fire_count,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
mean_fire_brightness,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
punjab_fire_count,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
haryana_fire_count,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
rajasthan_fire_count,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
delhi_ncr_fire_count,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
fire_radiative_power_sum,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
