model_key,model_name,feature_set,season,sample_size,mae,rmse,r2
Frozen_RF_v2__Candidate_A_V2_Baseline,Frozen_RF_v2,Candidate_A_V2_Baseline,Winter,271,40.443,48.7971,0.5134
Frozen_RF_v2__Candidate_A_V2_Baseline,Frozen_RF_v2,Candidate_A_V2_Baseline,Summer,276,17.9691,21.6846,-0.1983
Frozen_RF_v2__Candidate_A_V2_Baseline,Frozen_RF_v2,Candidate_A_V2_Baseline,Monsoon,366,13.0689,15.7749,0.7135
Frozen_RF_v2__Candidate_A_V2_Baseline,Frozen_RF_v2,Candidate_A_V2_Baseline,Post-Monsoon,183,40.5475,49.928,0.5692
Ridge__Candidate_A_V2_Baseline,Ridge,Candidate_A_V2_Baseline,Winter,271,43.8718,53.1159,0.4235
Ridge__Candidate_A_V2_Baseline,Ridge,Candidate_A_V2_Baseline,Summer,276,20.9992,25.9485,-0.7159
Ridge__Candidate_A_V2_Baseline,Ridge,Candidate_A_V2_Baseline,Monsoon,366,14.9849,18.9854,0.585
Ridge__Candidate_A_V2_Baseline,Ridge,Candidate_A_V2_Baseline,Post-Monsoon,183,44.5363,55.2597,0.4722
ElasticNet__Candidate_A_V2_Baseline,ElasticNet,Candidate_A_V2_Baseline,Winter,271,43.7142,52.8097,0.4301
ElasticNet__Candidate_A_V2_Baseline,ElasticNet,Candidate_A_V2_Baseline,Summer,276,20.1038,24.754,-0.5615
ElasticNet__Candidate_A_V2_Baseline,ElasticNet,Candidate_A_V2_Baseline,Monsoon,366,14.4908,18.4788,0.6069
ElasticNet__Candidate_A_V2_Baseline,ElasticNet,Candidate_A_V2_Baseline,Post-Monsoon,183,45.205,55.8956,0.46
RandomForest__Candidate_A_V2_Baseline,RandomForest,Candidate_A_V2_Baseline,Winter,271,43.5926,52.7359,0.4317
RandomForest__Candidate_A_V2_Baseline,RandomForest,Candidate_A_V2_Baseline,Summer,276,18.5468,22.7338,-0.3171
RandomForest__Candidate_A_V2_Baseline,RandomForest,Candidate_A_V2_Baseline,Monsoon,366,13.6292,16.6631,0.6803
RandomForest__Candidate_A_V2_Baseline,RandomForest,Candidate_A_V2_Baseline,Post-Monsoon,183,44.1256,54.7504,0.4819
XGBoost__Candidate_A_V2_Baseline,XGBoost,Candidate_A_V2_Baseline,Winter,271,44.8941,53.8522,0.4074
XGBoost__Candidate_A_V2_Baseline,XGBoost,Candidate_A_V2_Baseline,Summer,276,18.4857,22.7013,-0.3133
XGBoost__Candidate_A_V2_Baseline,XGBoost,Candidate_A_V2_Baseline,Monsoon,366,13.6072,16.5875,0.6832
XGBoost__Candidate_A_V2_Baseline,XGBoost,Candidate_A_V2_Baseline,Post-Monsoon,183,44.3972,55.5452,0.4668
Ridge__Candidate_B_V3_Expanded,Ridge,Candidate_B_V3_Expanded,Winter,271,24.3643,29.8874,0.8175
Ridge__Candidate_B_V3_Expanded,Ridge,Candidate_B_V3_Expanded,Summer,276,16.3712,20.5474,-0.0759
Ridge__Candidate_B_V3_Expanded,Ridge,Candidate_B_V3_Expanded,Monsoon,366,16.6259,20.5142,0.5155
Ridge__Candidate_B_V3_Expanded,Ridge,Candidate_B_V3_Expanded,Post-Monsoon,183,25.342,31.1235,0.8326
ElasticNet__Candidate_B_V3_Expanded,ElasticNet,Candidate_B_V3_Expanded,Winter,271,24.0228,29.3846,0.8236
ElasticNet__Candidate_B_V3_Expanded,ElasticNet,Candidate_B_V3_Expanded,Summer,276,15.8709,20.1492,-0.0346
ElasticNet__Candidate_B_V3_Expanded,ElasticNet,Candidate_B_V3_Expanded,Monsoon,366,16.6038,20.6725,0.508
ElasticNet__Candidate_B_V3_Expanded,ElasticNet,Candidate_B_V3_Expanded,Post-Monsoon,183,24.6974,30.4847,0.8394
RandomForest__Candidate_B_V3_Expanded,RandomForest,Candidate_B_V3_Expanded,Winter,271,21.1578,26.6368,0.855
RandomForest__Candidate_B_V3_Expanded,RandomForest,Candidate_B_V3_Expanded,Summer,276,14.7019,17.927,0.181
RandomForest__Candidate_B_V3_Expanded,RandomForest,Candidate_B_V3_Expanded,Monsoon,366,12.2053,14.7478,0.7496
RandomForest__Candidate_B_V3_Expanded,RandomForest,Candidate_B_V3_Expanded,Post-Monsoon,183,24.1024,29.8834,0.8457
XGBoost__Candidate_B_V3_Expanded,XGBoost,Candidate_B_V3_Expanded,Winter,271,23.0066,28.8651,0.8297
XGBoost__Candidate_B_V3_Expanded,XGBoost,Candidate_B_V3_Expanded,Summer,276,14.325,17.738,0.1982
XGBoost__Candidate_B_V3_Expanded,XGBoost,Candidate_B_V3_Expanded,Monsoon,366,12.3855,15.3777,0.7278
XGBoost__Candidate_B_V3_Expanded,XGBoost,Candidate_B_V3_Expanded,Post-Monsoon,183,23.9206,30.1569,0.8428
Ridge__Candidate_C_V3_Compact,Ridge,Candidate_C_V3_Compact,Winter,271,23.2794,28.9303,0.829
Ridge__Candidate_C_V3_Compact,Ridge,Candidate_C_V3_Compact,Summer,276,15.5763,19.7993,0.001
Ridge__Candidate_C_V3_Compact,Ridge,Candidate_C_V3_Compact,Monsoon,366,16.3091,20.4058,0.5206
Ridge__Candidate_C_V3_Compact,Ridge,Candidate_C_V3_Compact,Post-Monsoon,183,24.963,30.1488,0.8429
ElasticNet__Candidate_C_V3_Compact,ElasticNet,Candidate_C_V3_Compact,Winter,271,23.2097,28.8568,0.8298
ElasticNet__Candidate_C_V3_Compact,ElasticNet,Candidate_C_V3_Compact,Summer,276,15.5334,19.7593,0.0051
ElasticNet__Candidate_C_V3_Compact,ElasticNet,Candidate_C_V3_Compact,Monsoon,366,16.3392,20.3706,0.5223
ElasticNet__Candidate_C_V3_Compact,ElasticNet,Candidate_C_V3_Compact,Post-Monsoon,183,24.9464,30.1118,0.8433
RandomForest__Candidate_C_V3_Compact,RandomForest,Candidate_C_V3_Compact,Winter,271,21.2488,26.9816,0.8512
RandomForest__Candidate_C_V3_Compact,RandomForest,Candidate_C_V3_Compact,Summer,276,14.5722,17.8556,0.1875
RandomForest__Candidate_C_V3_Compact,RandomForest,Candidate_C_V3_Compact,Monsoon,366,12.2506,14.8327,0.7467
RandomForest__Candidate_C_V3_Compact,RandomForest,Candidate_C_V3_Compact,Post-Monsoon,183,23.9691,29.4732,0.8499
XGBoost__Candidate_C_V3_Compact,XGBoost,Candidate_C_V3_Compact,Winter,271,21.884,27.6643,0.8436
XGBoost__Candidate_C_V3_Compact,XGBoost,Candidate_C_V3_Compact,Summer,276,14.2707,17.7248,0.1994
XGBoost__Candidate_C_V3_Compact,XGBoost,Candidate_C_V3_Compact,Monsoon,366,12.2558,15.473,0.7244
XGBoost__Candidate_C_V3_Compact,XGBoost,Candidate_C_V3_Compact,Post-Monsoon,183,23.7565,29.422,0.8504
