model_name,feature_set,mae_2022,mae_2023,mae_2024,mean_mae,std_mae,min_mae,max_mae,mae_drift_max_minus_min,mean_r2,std_r2
ElasticNet,Candidate_A_V2_Baseline,29.6738,27.7659,27.3383,28.2594,1.0153,27.3383,29.6738,2.3355,0.8443,0.0184
ElasticNet,Candidate_B_V3_Expanded,21.0309,18.1642,19.6201,19.6051,1.1704,18.1642,21.0309,2.8667,0.9351,0.0111
ElasticNet,Candidate_C_V3_Compact,20.3977,17.8761,19.5421,19.272,1.047,17.8761,20.3977,2.5216,0.9372,0.0106
Frozen_RF_v2,Candidate_A_V2_Baseline,25.5147,24.6956,26.7655,25.6586,0.8512,24.6956,26.7655,2.07,0.8727,0.0176
RandomForest,Candidate_A_V2_Baseline,28.6578,26.6189,26.8301,27.3689,0.9154,26.6189,28.6578,2.0389,0.8513,0.0202
RandomForest,Candidate_B_V3_Expanded,17.9137,16.1035,17.0849,17.034,0.7399,16.1035,17.9137,1.8102,0.9495,0.0076
RandomForest,Candidate_C_V3_Compact,17.9862,16.0598,17.0044,17.0168,0.7865,16.0598,17.9862,1.9265,0.9494,0.0084
Ridge,Candidate_A_V2_Baseline,30.0072,28.3028,27.4221,28.5774,1.0731,27.4221,30.0072,2.5852,0.8424,0.0186
Ridge,Candidate_B_V3_Expanded,21.6022,18.6537,19.5367,19.9309,1.2355,18.6537,21.6022,2.9484,0.9335,0.0118
Ridge,Candidate_C_V3_Compact,20.5323,17.9369,19.4095,19.2929,1.0628,17.9369,20.5323,2.5954,0.9369,0.011
XGBoost,Candidate_A_V2_Baseline,28.0865,27.7927,27.2605,27.7132,0.3419,27.2605,28.0865,0.826,0.847,0.0149
XGBoost,Candidate_B_V3_Expanded,18.6737,16.0922,17.5121,17.426,1.0557,16.0922,18.6737,2.5815,0.9455,0.0085
XGBoost,Candidate_C_V3_Compact,18.2667,16.0076,16.9186,17.0643,0.928,16.0076,18.2667,2.2591,0.9478,0.0102
