feature,group,v3_mean_abs_shap,v3_rank,v2_mean_abs_shap,v2_rank,rank_change,shap_diff,status
aod_550_1d,external_environmental,52.5848624052019,1.0,0.0,999.0,998.0,52.5848624052019,NEW
festival_window,calendar_seasonal,0.0,35.0,0.0,146.0,111.0,0.0,SHIFTED
fire_hotspot_count_lag_14d,,0.0,999.0,0.0376761009572163,83.0,-916.0,-0.0376761009572163,DISAPPEARED
fire_hotspot_count_lag_1d,biomass_burning,0.13993974198282458,30.0,0.0202225096185946,125.0,95.0,0.11971723236422999,SHIFTED
fire_hotspot_count_lag_2d,,0.0,999.0,0.0639230632274112,50.0,-949.0,-0.0639230632274112,DISAPPEARED
fire_hotspot_count_lag_3d,,0.0,999.0,0.0270573587465315,106.0,-893.0,-0.0270573587465315,DISAPPEARED
fire_hotspot_count_lag_7d,,0.0,999.0,0.0483885236931473,64.0,-935.0,-0.0483885236931473,DISAPPEARED
fire_hotspot_count_roll_max_14d,,0.0,999.0,0.0342433816624094,90.0,-909.0,-0.0342433816624094,DISAPPEARED
fire_hotspot_count_roll_max_30d,,0.0,999.0,0.0091910615676431,145.0,-854.0,-0.0091910615676431,DISAPPEARED
fire_hotspot_count_roll_max_3d,,0.0,999.0,0.050408477953823,61.0,-938.0,-0.050408477953823,DISAPPEARED
fire_hotspot_count_roll_max_7d,,0.0,999.0,0.016601119101017,133.0,-866.0,-0.016601119101017,DISAPPEARED
fire_hotspot_count_roll_mean_14d,,0.0,999.0,0.0568816337547199,57.0,-942.0,-0.0568816337547199,DISAPPEARED
fire_hotspot_count_roll_mean_30d,,0.0,999.0,0.3608265167340917,17.0,-982.0,-0.3608265167340917,DISAPPEARED
fire_hotspot_count_roll_mean_3d,biomass_burning,0.2762271016624885,15.0,0.0634985550885367,51.0,36.0,0.2127285465739518,SHIFTED
fire_hotspot_count_roll_mean_7d,biomass_burning,0.19336828976516413,23.0,0.029598867146872,97.0,74.0,0.16376942261829214,SHIFTED
fire_hotspot_count_roll_median_14d,,0.0,999.0,0.025817361088384,110.0,-889.0,-0.025817361088384,DISAPPEARED
fire_hotspot_count_roll_median_30d,,0.0,999.0,0.7718957022620817,12.0,-987.0,-0.7718957022620817,DISAPPEARED
fire_hotspot_count_roll_median_3d,,0.0,999.0,0.0264252207591733,109.0,-890.0,-0.0264252207591733,DISAPPEARED
fire_hotspot_count_roll_median_7d,,0.0,999.0,0.0102524142087926,144.0,-855.0,-0.0102524142087926,DISAPPEARED
fire_hotspot_count_roll_min_14d,,0.0,999.0,0.0286549247518724,100.0,-899.0,-0.0286549247518724,DISAPPEARED
fire_hotspot_count_roll_min_30d,,0.0,999.0,0.015149327814008,137.0,-862.0,-0.015149327814008,DISAPPEARED
fire_hotspot_count_roll_min_3d,,0.0,999.0,0.0310953477949696,95.0,-904.0,-0.0310953477949696,DISAPPEARED
fire_hotspot_count_roll_min_7d,,0.0,999.0,0.0433534267108909,73.0,-926.0,-0.0433534267108909,DISAPPEARED
fire_hotspot_count_roll_std_14d,,0.0,999.0,0.0239648217621687,116.0,-883.0,-0.0239648217621687,DISAPPEARED
fire_hotspot_count_roll_std_30d,,0.0,999.0,0.0965877851480447,35.0,-964.0,-0.0965877851480447,DISAPPEARED
fire_hotspot_count_roll_std_3d,,0.0,999.0,0.0386552373562869,80.0,-919.0,-0.0386552373562869,DISAPPEARED
fire_hotspot_count_roll_std_7d,,0.0,999.0,0.0578622737506702,55.0,-944.0,-0.0578622737506702,DISAPPEARED
fire_hotspot_count_roll_var_14d,,0.0,999.0,0.0213955723349304,122.0,-877.0,-0.0213955723349304,DISAPPEARED
fire_hotspot_count_roll_var_30d,,0.0,999.0,0.125940944161384,28.0,-971.0,-0.125940944161384,DISAPPEARED
