feature,group,mean_abs_shap,mean_signed_shap,std_shap,positive_contrib_freq,negative_contrib_freq,rank
aod_550_1d,external_environmental,52.5848624052019,-5.5102198838026455,60.5547728771094,0.32950191570881227,0.6704980842911877,1
pm25_roll_mean_3d,pm25_persistence,15.902218061598097,2.459048509921559,18.002379689238616,0.6940339354132458,0.30596606458675424,2
pm25_lag_1d,pm25_persistence,8.001782428177723,1.1097049935890508,8.835490045533925,0.6896551724137931,0.3103448275862069,3
pm25_roll_min_7d,pm25_persistence,5.069552077913665,-0.1521405730538524,5.476764386184997,0.3864258347016968,0.6135741652983032,4
pblh_roll_mean_3d,wind_ventilation,2.928240629980508,1.5603813486301645,2.9158151884586014,0.6628352490421456,0.3371647509578544,5
pm25_roll_max_7d,pm25_persistence,2.9244827818722023,0.03836812029525445,3.2039713688021902,0.40831964969896006,0.5916803503010399,6
pm25_roll_mean_7d,pm25_persistence,2.4969743544083025,-0.22094637396765784,2.7614148715048157,0.3278598795840175,0.6721401204159825,7
pm25_roll_mean_14d,pm25_persistence,1.9618617976039903,-0.011494001084983028,2.1721899029846674,0.33004926108374383,0.6699507389162561,8
pblh_1d,wind_ventilation,1.0082028239816367,0.36594958230505936,1.1450891355163526,0.625615763546798,0.37438423645320196,9
pblh_min_1d,wind_ventilation,0.8315009442719951,0.09161295654780997,0.916051320332346,0.47728516694033934,0.5227148330596606,10
pm25_lag_2d,pm25_persistence,0.5823887532508124,0.018868353705287104,0.7889447493494979,0.5402298850574713,0.45977011494252873,11
wind_speed_kmh_roll_mean_3d,wind_ventilation,0.36394770663082887,-0.027040733502670212,0.5177183252794902,0.4701696770662288,0.5298303229337712,12
pm25_lag_3d,pm25_persistence,0.30000156756147217,-0.044759454734982905,0.3805142713895797,0.48877941981390255,0.5112205801860974,13
wind_v_component_1d,wind_ventilation,0.2808718811573808,0.01538852033001787,0.39041983076438197,0.42911877394636017,0.5708812260536399,14
fire_hotspot_count_roll_mean_3d,biomass_burning,0.2762271016624885,0.0213758782578348,0.3803606742179134,0.42638204707170224,0.5736179529282978,15
wind_speed_kmh_lag_1d,wind_ventilation,0.25937793209312954,0.00687473298534504,0.33851029292324936,0.5582922824302134,0.44170771756978655,16
rainfall_3d,external_environmental,0.23725684326734903,0.08702964440266665,0.27353722718290785,0.6737821565407772,0.3262178434592228,17
humidity_pct_roll_mean_3d,meteorology,0.2353922245033118,0.008758585937985806,0.3241670624127655,0.5270935960591133,0.4729064039408867,18
wind_u_component_1d,wind_ventilation,0.2346020783421741,-0.004702021405710363,0.3803075337654357,0.5101258894362343,0.48987411056376573,19
washout_index_3d,external_environmental,0.22262251880854042,0.08521989284127604,0.2607576012133957,0.685823754789272,0.31417624521072796,20
temperature_c_roll_mean_3d,meteorology,0.20482327728985197,0.009994315660227335,0.2896181896006489,0.44772851669403396,0.5522714833059661,21
pm25_lag_7d,pm25_persistence,0.2002216848419712,-0.003802145705939746,0.27976695116106987,0.5243568691844553,0.4756431308155446,22
fire_hotspot_count_roll_mean_7d,biomass_burning,0.19336828976516413,0.008929367349294358,0.25401757626308197,0.5555555555555556,0.4444444444444444,23
temperature_c_lag_1d,meteorology,0.19050612086037924,0.0016782564300662558,0.237029250857285,0.4964422550629447,0.5035577449370553,24
upwind_stubble_quadrant_1d,biomass_burning,0.1843296817263991,0.016570406540081677,0.2610637866552198,0.39518336070060206,0.6048166392993979,25
ventilation_index_1d,wind_ventilation,0.17838912382071823,-0.06288440619899457,0.24538971444856658,0.36836343732895455,0.6316365626710454,26
pm25_roll_std_7d,pm25_persistence,0.15093355434797553,-0.022563283332496024,0.21515980704370632,0.44772851669403396,0.5522714833059661,27
temperature_c_roll_min_3d,meteorology,0.14321778995920234,0.0036385922601464833,0.18995840776537445,0.4488232074438971,0.5511767925561029,28
humidity_pct_roll_max_7d,meteorology,0.14305961581799226,0.023625482146485785,0.19509258418886613,0.5900383141762452,0.4099616858237548,29
fire_hotspot_count_lag_1d,biomass_burning,0.13993974198282458,0.0015039169316627718,0.2050509419907638,0.38587848932676516,0.6141215106732348,30
humidity_pct_lag_1d,meteorology,0.1366294695348364,-0.017186999312743194,0.1993836296714042,0.49863163656267107,0.5013683634373289,31
rainfall_1d,external_environmental,0.014443683726149155,0.0009724763989113321,0.026888663240615125,0.7104542966611932,0.2895457033388068,32
rain_event_1d,external_environmental,0.004883209737252998,0.0006245380516833543,0.011156078232269278,0.3136288998357964,0.6863711001642037,33
is_stubble_season,biomass_burning,0.0018679301554198641,0.000799370874012842,0.005434324721920379,0.8385331143951834,0.16146688560481665,34
festival_window,calendar_seasonal,0.0,0.0,0.0,0.0,0.0,35
