method,nominal_coverage,eval_fold,eval_year,sample_count,empirical_coverage,coverage_error,mean_width_ugm3,median_width_ugm3,winkler_interval_score,under_coverage_count,over_coverage_count
empirical_residual_global,0.8,1,2022,365,0.7972602739726027,-0.00273972602739736,52.318628572412784,52.31862857241279,83.82539854828383,37,37
gaussian_residual_global,0.8,1,2022,365,0.8383561643835616,0.0383561643835616,59.86986803355018,59.869868033550176,85.07712362951665,35,24
naive_historical_error,0.8,1,2022,365,0.8,0.0,52.77932845548717,52.77932845548716,84.20433800985434,44,29
conditional_seasonal_residual,0.8,1,2022,365,0.7917808219178082,-0.008219178082191858,56.0124413677552,46.72259076589786,77.26463497220821,38,38
conditional_regime_residual,0.8,1,2022,365,0.7917808219178082,-0.008219178082191858,52.24913916930296,46.761472709276475,74.98533485870304,38,38
empirical_residual_global,0.9,1,2022,365,0.8958904109589041,-0.004109589041095929,69.53924910963214,69.53924910963215,107.12440490031089,19,19
gaussian_residual_global,0.9,1,2022,365,0.915068493150685,0.015068493150684925,76.8366616481779,76.8421437168178,107.44950340518392,17,14
naive_historical_error,0.9,1,2022,365,0.8986301369863013,-0.00136986301369868,69.97767597137408,69.97767597137408,107.1184792967954,18,19
conditional_seasonal_residual,0.9,1,2022,365,0.8904109589041096,-0.009589041095890427,73.37444076662909,56.535583499769984,88.80334960249141,20,20
conditional_regime_residual,0.9,1,2022,365,0.8958904109589041,-0.004109589041095929,69.51401964969953,53.33825812950503,88.93553585879411,19,19
empirical_residual_global,0.95,1,2022,365,0.9452054794520548,-0.004794520547945158,106.78505188934137,109.14510762630073,121.62632583351414,10,10
gaussian_residual_global,0.95,1,2022,365,0.9260273972602739,-0.023972602739726012,91.05232214720844,91.5630617290526,129.29408136704401,15,12
naive_historical_error,0.95,1,2022,365,0.947945205479452,-0.002054794520547909,107.72643845673642,110.05169249390914,121.62004742473746,10,9
conditional_seasonal_residual,0.95,1,2022,365,0.9342465753424658,-0.015753424657534154,82.1716129231329,62.00218051990768,97.83935566408195,12,12
conditional_regime_residual,0.95,1,2022,365,0.9452054794520548,-0.004794520547945158,82.72941580125534,58.911131677151566,99.92316142625366,10,10
empirical_residual_global,0.8,2,2023,365,0.8164383561643835,0.016438356164383494,52.318628572412784,52.31862857241279,71.69163605091356,28,39
gaussian_residual_global,0.8,2,2023,365,0.8684931506849315,0.06849315068493145,59.86986803355017,59.869868033550176,73.13868195337969,25,23
naive_historical_error,0.8,2,2023,365,0.8301369863013699,0.03013698630136985,52.77932845548718,52.77932845548716,71.41039006441117,31,31
conditional_seasonal_residual,0.8,2,2023,365,0.8246575342465754,0.024657534246575352,56.0124413677552,46.72259076589786,70.29906538923522,31,33
conditional_regime_residual,0.8,2,2023,365,0.8246575342465754,0.024657534246575352,53.43317081863286,46.761472709276475,67.47006419993203,29,35
empirical_residual_global,0.9,2,2023,365,0.9260273972602739,0.02602739726027392,69.53924910963214,69.53924910963215,86.21870188231168,14,13
gaussian_residual_global,0.9,2,2023,365,0.947945205479452,0.047945205479452024,76.83887187383195,76.8421437168178,89.0216273216769,8,11
naive_historical_error,0.9,2,2023,365,0.9260273972602739,0.02602739726027392,69.97767597137408,69.97767597137408,86.33262794525949,14,13
conditional_seasonal_residual,0.9,2,2023,365,0.9205479452054794,0.020547945205479423,73.37444076662909,56.535583499769984,84.897714614194,14,15
conditional_regime_residual,0.9,2,2023,365,0.9232876712328767,0.023287671232876672,70.51431534234712,53.33825812950503,81.66451482322695,11,17
empirical_residual_global,0.95,2,2023,365,0.9863013698630136,0.03630136986301369,106.43015754154311,109.14510762630073,112.61576707458312,3,2
gaussian_residual_global,0.95,2,2023,365,0.9726027397260274,0.022602739726027443,90.9383869338656,91.5630617290526,103.47430421680787,7,3
naive_historical_error,0.95,2,2023,365,0.989041095890411,0.03904109589041105,107.37263251309435,110.05169249390914,113.4421445274761,3,1
conditional_seasonal_residual,0.95,2,2023,365,0.9561643835616438,0.006164383561643838,82.17161292313288,62.00218051990768,96.8705003098519,11,5
conditional_regime_residual,0.95,2,2023,365,0.9616438356164384,0.011643835616438447,83.17233491103619,58.911131677151566,96.16097136947549,6,8
empirical_residual_global,0.8,3,2024,366,0.8087431693989071,0.008743169398907069,51.303823548510245,51.30382354851025,77.68319450885251,34,36
gaussian_residual_global,0.8,3,2024,366,0.8415300546448088,0.041530054644808745,56.2785344259881,56.278534425988084,78.30916333553493,31,27
naive_historical_error,0.8,3,2024,366,0.8114754098360656,0.011475409836065542,51.78445420570984,51.784454205709835,77.71160700671341,35,34
conditional_seasonal_residual,0.8,3,2024,366,0.7950819672131147,-0.004918032786885296,52.221723946190444,47.51903314766693,71.633981587103,30,45
conditional_regime_residual,0.8,3,2024,366,0.7786885245901639,-0.021311475409836134,49.65102039774582,45.45112464616598,70.1584987497218,33,48
empirical_residual_global,0.9,3,2024,366,0.8852459016393442,-0.014754098360655776,68.05274715603935,68.05274715603937,96.88565998500603,20,22
gaussian_residual_global,0.9,3,2024,366,0.8934426229508197,-0.006557377049180357,72.23271693383779,72.2327169338378,96.52141867866283,18,21
naive_historical_error,0.9,3,2024,366,0.8852459016393442,-0.014754098360655776,67.98665903469434,67.98665903469434,96.8780717706906,20,22
conditional_seasonal_residual,0.9,3,2024,366,0.912568306010929,0.012568306010928953,67.34513250733617,57.504275878290414,83.40294307559557,13,19
conditional_regime_residual,0.9,3,2024,366,0.8879781420765027,-0.012021857923497303,62.94974340753935,53.2688623594582,84.05498072539896,17,24
empirical_residual_global,0.95,3,2024,366,0.9508196721311475,0.0008196721311475308,91.4889178000991,92.9789735604682,110.63370310137365,5,13
gaussian_residual_global,0.95,3,2024,366,0.9344262295081968,-0.015573770491803196,85.71190973895095,86.07059094868347,110.7356607416452,10,14
naive_historical_error,0.95,3,2024,366,0.9508196721311475,0.0008196721311475308,90.69727665003012,91.45075494408479,109.84075125295152,8,10
conditional_seasonal_residual,0.95,3,2024,366,0.9617486338797814,0.011748633879781423,81.12027714827806,63.12963314873733,95.68350886754227,8,6
conditional_regime_residual,0.95,3,2024,366,0.9480874316939891,-0.0019125683060108312,77.0133270614595,60.63533257175338,97.91898655305938,11,8
