method,nominal_coverage,empirical_coverage,coverage_error,mpiw_ugm3,winkler_score,under_coverage_count,over_coverage_count
bootstrap_raw,0.8,0.20255474452554745,-0.5974452554744526,12.990247469915918,126.38428646192689,463,411
bootstrap_raw,0.9,0.2545620437956204,-0.6454379562043796,16.36109180265064,219.03632108295358,440,377
bootstrap_raw,0.95,0.2956204379562044,-0.6543795620437955,18.915029153956027,389.88385780537504,415,357
bootstrap_clipped,0.8,0.20255474452554745,-0.5974452554744526,12.990247469915918,126.38428646192689,463,411
bootstrap_clipped,0.9,0.2545620437956204,-0.6454379562043796,16.36109180265064,219.03632108295358,440,377
bootstrap_clipped,0.95,0.2956204379562044,-0.6543795620437955,18.915029153956027,389.88385780537504,415,357
seed_raw,0.8,0.032846715328467155,-0.7671532846715329,2.182656437699543,161.63572026797155,557,503
seed_raw,0.9,0.037408759124087594,-0.8625912408759124,2.7356640627559186,316.32787417707533,556,499
seed_raw,0.95,0.04562043795620438,-0.9043795620437955,3.1627883228318225,622.2595484222811,550,496
seed_clipped,0.8,0.032846715328467155,-0.7671532846715329,2.182656437699543,161.63572026797155,557,503
seed_clipped,0.9,0.037408759124087594,-0.8625912408759124,2.7356640627559186,316.32787417707533,556,499
seed_clipped,0.95,0.04562043795620438,-0.9043795620437955,3.1627883228318225,622.2595484222811,550,496
family_clipped,0.8,0.16058394160583941,-0.6394160583941606,9.361760490902485,137.7248575648793,488,432
family_clipped,0.9,0.16058394160583941,-0.7394160583941606,9.361760490902485,266.0879546388561,488,432
family_clipped,0.95,0.16058394160583941,-0.7894160583941605,9.361760490902485,522.8141487868091,488,432
