method,nominal_coverage,empirical_coverage,coverage_error
standard_conformal,0.8,0.8102189781021898,0.010218978102189746
standard_conformal,0.9,0.9124087591240876,0.012408759124087565
standard_conformal,0.95,0.9543795620437956,0.004379562043795637
time_aware_conformal,0.8,0.8102189781021898,0.010218978102189746
time_aware_conformal,0.9,0.9124087591240876,0.012408759124087565
time_aware_conformal,0.95,0.9543795620437956,0.004379562043795637
regime_conditioned_conformal,0.8,0.8120437956204379,0.012043795620437892
regime_conditioned_conformal,0.9,0.9096715328467153,0.009671532846715292
regime_conditioned_conformal,0.95,0.958941605839416,0.008941605839416056
normalized_conformal,0.8,0.8065693430656934,0.006569343065693345
normalized_conformal,0.9,0.8978102189781022,-0.0021897810218978186
normalized_conformal,0.95,0.9571167883211679,0.007116788321167911
ensemble_scaled_conformal,0.8,0.666970802919708,-0.13302919708029204
ensemble_scaled_conformal,0.9,0.781021897810219,-0.118978102189781
ensemble_scaled_conformal,0.95,0.843978102189781,-0.10602189781021898
ensemble_regime_conformal_hybrid,0.8,0.7326642335766423,-0.0673357664233577
ensemble_regime_conformal_hybrid,0.9,0.8677007299270073,-0.032299270072992714
ensemble_regime_conformal_hybrid,0.95,0.9333941605839416,-0.01660583941605831
phase6a_global_empirical,0.8,0.8074817518248175,0.007481751824817473
phase6a_global_empirical,0.9,0.9023722627737226,0.0023722627737226
phase6a_global_empirical,0.95,0.9607664233576643,0.010766423357664312
phase6b_bootstrap_ensemble,0.8,0.20255474452554745,-0.5974452554744526
phase6b_bootstrap_ensemble,0.9,0.2545620437956204,-0.6454379562043796
phase6b_bootstrap_ensemble,0.95,0.2956204379562044,-0.6543795620437955
