method,threshold_definition,threshold_val_ugm3,count,coverage_90pct,mean_width_ugm3,winkler_score,under_coverage_failures
standard_conformal,Extreme Episodes (>= 150 µg/m³),150.0,398,0.821608040201005,72.24467775128679,122.89805684240594,23
standard_conformal,Severe Episodes (>= 250 µg/m³),250.0,191,0.7801047120418848,72.26394943457491,125.17473311946176,10
time_aware_conformal,Extreme Episodes (>= 150 µg/m³),150.0,398,0.821608040201005,72.24467775128679,122.89805684240594,23
time_aware_conformal,Severe Episodes (>= 250 µg/m³),250.0,191,0.7801047120418848,72.26394943457491,125.17473311946176,10
regime_conditioned_conformal,Extreme Episodes (>= 150 µg/m³),150.0,398,0.9195979899497487,97.47191900388368,116.2524600622927,11
regime_conditioned_conformal,Severe Episodes (>= 250 µg/m³),250.0,191,0.9424083769633508,108.36185397525963,115.2591739686067,2
normalized_conformal,Extreme Episodes (>= 150 µg/m³),150.0,398,0.8944723618090452,90.30796114959786,114.91731012563368,16
normalized_conformal,Severe Episodes (>= 250 µg/m³),250.0,191,0.8900523560209425,94.94431114074932,112.52806000655579,7
ensemble_scaled_conformal,Extreme Episodes (>= 150 µg/m³),150.0,398,0.8542713567839196,99.16206135706572,142.73354843030577,25
ensemble_scaled_conformal,Severe Episodes (>= 250 µg/m³),250.0,191,0.8638743455497382,106.16736986622595,151.3367401220544,6
ensemble_regime_conformal_hybrid,Extreme Episodes (>= 150 µg/m³),150.0,398,0.8819095477386935,92.1227035098306,122.33198930553695,19
ensemble_regime_conformal_hybrid,Severe Episodes (>= 250 µg/m³),250.0,191,0.8743455497382199,97.62897863361853,124.3694025182825,7
