method,nominal_coverage,winkler_interval_score,mean_width_ugm3
standard_conformal,0.8,77.71986335832027,51.8131060087913
standard_conformal,0.9,97.09015736070914,72.23985283630383
standard_conformal,0.95,115.25589008064854,94.77840803360505
time_aware_conformal,0.8,77.71986335832027,51.8131060087913
time_aware_conformal,0.9,97.09015736070914,72.23985283630383
time_aware_conformal,0.95,115.25589008064854,94.77840803360505
regime_conditioned_conformal,0.8,73.58903632378481,53.77528209417378
regime_conditioned_conformal,0.9,88.75516179269543,71.56447183007117
regime_conditioned_conformal,0.95,104.41845840499886,87.55804918783825
normalized_conformal,0.8,73.55576676834177,53.2053761444736
normalized_conformal,0.9,88.21977946678847,68.77170729161232
normalized_conformal,0.95,103.00662852398634,85.19853859401019
ensemble_scaled_conformal,0.8,87.07509064642161,53.45707956249422
ensemble_scaled_conformal,0.9,112.63016947708815,68.85567051269882
ensemble_scaled_conformal,0.95,143.50055831696605,84.89152264110342
ensemble_regime_conformal_hybrid,0.8,75.85976629651718,49.61149750359896
ensemble_regime_conformal_hybrid,0.9,91.49810018678528,66.99574577087078
ensemble_regime_conformal_hybrid,0.95,104.77798294188382,86.12156148344079
phase6a_global_empirical,0.8,77.7333638859006,51.97974295311687
phase6a_global_empirical,0.9,96.74305249103053,69.04284426016594
phase6a_global_empirical,0.95,114.95465259722471,101.5588461287492
phase6b_bootstrap_ensemble,0.8,126.38428646192686,12.990247469915918
phase6b_bootstrap_ensemble,0.9,219.03632108295358,16.361091802650638
phase6b_bootstrap_ensemble,0.95,389.88385780537504,18.915029153956027
