date,year,eval_fold,scenario_name,pollution_regime,season,ood_score,ood_percentile,ood_status,cf_mean_delta,cf_delta_std,cf_interval_width_90,directional_stability
2022-01-01,2022,1,biomass_low,Extreme,Winter,1.0604481075216827,52.65971673095404,IN_DISTRIBUTION,1.208962150433655,2.6138830149031054,3.533566088397662,0.7333333333333333
2022-01-02,2022,1,biomass_low,Extreme,Winter,1.1681565253771928,57.398887116596484,IN_DISTRIBUTION,3.3631305075438567,3.1475210182067963,8.007339954791178,0.9666666666666667
2022-01-03,2022,1,biomass_low,Extreme,Winter,1.0168047782313965,50.73941024218145,IN_DISTRIBUTION,-0.3360955646279308,1.0015051878313608,2.927636305037699,0.6666666666666666
2022-01-04,2022,1,biomass_low,Extreme,Winter,1.0092438790154965,50.406730676681846,IN_DISTRIBUTION,-0.184877580309931,1.2185702981030497,2.9583440237465015,0.5666666666666667
2022-01-05,2022,1,biomass_low,High,Winter,1.000366459074764,50.016124199289614,IN_DISTRIBUTION,0.00732918149528056,0.21116165180674548,0.7585832210583856,1.0
2022-01-06,2022,1,biomass_low,Extreme,Winter,1.0009945373247688,50.04375964228983,IN_DISTRIBUTION,-0.019890746495374857,0.34175368862193195,1.0880506384310151,1.0
2022-01-07,2022,1,biomass_low,Extreme,Winter,1.0391033657167603,51.72054809153745,IN_DISTRIBUTION,-0.7820673143352072,1.2777336064444669,3.8687564809047412,0.8333333333333334
2022-01-08,2022,1,biomass_low,Extreme,Winter,1.0019083628491319,50.08396796536181,IN_DISTRIBUTION,0.03816725698263876,0.5269999965810974,1.6847684703226955,1.0
2022-01-09,2022,1,biomass_low,Extreme,Winter,1.0979761038786633,54.31094857066118,IN_DISTRIBUTION,1.9595220775732638,2.7573257594176637,8.05031499069405,0.7666666666666667
2022-01-10,2022,1,biomass_low,Extreme,Winter,1.0648237382227066,52.85224448179908,IN_DISTRIBUTION,1.29647476445413,1.5961469291247268,4.744629282658958,0.8666666666666667
2022-01-11,2022,1,biomass_low,Extreme,Winter,1.0355780687164118,51.56543502352212,IN_DISTRIBUTION,0.7115613743282362,1.667706252593237,3.675245766938676,0.7666666666666667
2022-01-12,2022,1,biomass_low,High,Winter,1.0064278281315253,50.28282443778711,IN_DISTRIBUTION,0.1285565626305072,1.5030729920643902,4.35118545598851,0.5
2022-01-13,2022,1,biomass_low,Extreme,Winter,1.0163023714122996,50.71730434214118,IN_DISTRIBUTION,-0.3260474282459919,0.8293761508374027,2.6067320128738847,0.6
2022-01-14,2022,1,biomass_low,High,Winter,1.0050901699846535,50.22396747932475,IN_DISTRIBUTION,-0.10180339969306923,1.0499269000523332,3.2620464135264173,0.5666666666666667
2022-01-15,2022,1,biomass_low,Extreme,Winter,1.0007102670996701,50.03125175238548,IN_DISTRIBUTION,0.014205341993401059,0.47647004633067325,1.4856534918421398,1.0
2022-01-16,2022,1,biomass_low,Extreme,Winter,1.0050997696397663,50.22438986414972,IN_DISTRIBUTION,-0.10199539279532814,0.3867424999642712,1.0136430348048344,0.6333333333333333
2022-01-17,2022,1,biomass_low,High,Winter,1.0124426879942015,50.547478271744865,IN_DISTRIBUTION,-0.24885375988402814,0.5523319694573721,1.3044138955540785,0.6333333333333333
2022-01-18,2022,1,biomass_low,Extreme,Winter,1.1735109803431003,57.63448313509641,IN_DISTRIBUTION,3.4702196068620053,2.972213959860309,8.697733160870344,0.9333333333333333
2022-01-19,2022,1,biomass_low,Extreme,Winter,1.0523020638821228,52.301290810813406,IN_DISTRIBUTION,1.0460412776424561,2.1618587892200547,3.5932948122062,0.8
2022-01-20,2022,1,biomass_low,High,Winter,1.0077234397506043,50.33983134902659,IN_DISTRIBUTION,0.15446879501208552,0.5499064628501807,1.5861307549812493,0.5666666666666667
2022-01-21,2022,1,biomass_low,Extreme,Winter,1.055449899759291,52.4397955894088,IN_DISTRIBUTION,1.1089979951858178,1.5780664255690684,2.9311984977217485,0.8666666666666667
2022-01-22,2022,1,biomass_low,High,Winter,1.119569453664858,55.26105596125375,IN_DISTRIBUTION,2.3913890732971597,2.3097616393424345,6.971278882088082,0.9333333333333333
2022-01-23,2022,1,biomass_low,Extreme,Winter,1.024288188384086,51.068680288899785,IN_DISTRIBUTION,-0.4857637676817205,0.8466000225442256,1.9100993210278028,0.7666666666666667
2022-01-24,2022,1,biomass_low,Extreme,Winter,1.0482556410527624,52.12324820632154,IN_DISTRIBUTION,0.9651128210552467,1.5414364682981296,2.809546338353192,0.8
2022-01-25,2022,1,biomass_low,Extreme,Winter,1.0213936207835608,50.94131931447668,IN_DISTRIBUTION,0.4278724156712163,2.4883854497312607,8.232175334076327,0.6
2022-01-26,2022,1,biomass_low,Extreme,Winter,1.0576981540950285,52.53871878018126,IN_DISTRIBUTION,1.1539630819005728,2.0280536839165175,6.375546979508357,0.6333333333333333
2022-01-27,2022,1,biomass_low,Extreme,Winter,1.0857269065088224,53.771983886388185,IN_DISTRIBUTION,1.7145381301764473,4.514557144835078,12.835945318537604,0.7333333333333333
2022-01-28,2022,1,biomass_low,Extreme,Winter,1.1364202450715155,56.00249078314668,IN_DISTRIBUTION,-2.7284049014303093,3.022788784220453,8.949598580851713,0.8333333333333334
2022-01-29,2022,1,biomass_low,Extreme,Winter,1.0053568290562314,50.235700478474186,IN_DISTRIBUTION,0.10713658112462857,2.4820397194896655,6.604659291986016,0.5
2022-01-30,2022,1,biomass_low,Extreme,Winter,1.0401137849597673,51.76500653822976,IN_DISTRIBUTION,0.8022756991953467,1.6526741216482281,5.012581041439371,0.7333333333333333
2022-01-31,2022,1,biomass_low,Extreme,Winter,1.058084348983194,52.555711355260534,IN_DISTRIBUTION,-1.1616869796638791,1.6025591754767323,5.004717874058337,0.7333333333333333
2022-02-01,2022,1,biomass_low,High,Winter,1.0115234772748571,50.50703300009371,IN_DISTRIBUTION,0.2304695454971437,0.7917967505712642,2.373392735222273,0.6333333333333333
2022-02-02,2022,1,biomass_low,High,Winter,1.0067677268413298,50.29777998101851,IN_DISTRIBUTION,0.1353545368265941,0.8155432926401412,2.4561801425131122,0.5666666666666667
