feature_name,mean_absolute_shap,mean_signed_shap,mean_shap_std,mean_sign_stability,stability_classification,average_positive_fraction,average_negative_fraction,importance_rank
aod_550_1d,52.029849542846726,-4.101736268991367,4.741560651105391,0.9864659367396594,HIGH_STABILITY,0.3392335766423357,0.6606447688564477,1
pm25_roll_mean_3d,13.471635954266326,3.6407002465246605,4.569298531706933,0.9500304136253042,HIGH_STABILITY,0.7000304136253042,0.29838807785888083,2
pm25_lag_1d,8.50117231966667,2.424368918371511,4.06019384691047,0.9410888077858881,HIGH_STABILITY,0.6785583941605839,0.31894768856447686,3
pm25_roll_min_7d,4.332355845789742,0.38687925109821236,2.6953334823550135,0.9341849148418492,HIGH_STABILITY,0.4052919708029197,0.5884732360097323,4
pm25_roll_max_7d,3.528690048763106,-0.03949847342186802,2.5457042816245736,0.935006082725061,HIGH_STABILITY,0.3778892944038929,0.6163321167883211,5
pm25_roll_mean_7d,2.737005578414944,-0.12062332475264073,2.0213860062271047,0.9350060827250608,HIGH_STABILITY,0.3368004866180049,0.653801703163017,6
pblh_roll_mean_3d,2.6093225876531663,1.3419594998075768,1.4039234563406977,0.965419708029197,HIGH_STABILITY,0.6537104622871046,0.33859489051094893,7
pm25_lag_2d,1.752524122889647,0.2631883356891647,1.5336051055712125,0.8657846715328468,MODERATE_STABILITY,0.5475973236009734,0.4238138686131387,8
pm25_roll_mean_14d,1.5171603536114429,-0.0017680743718742843,1.6762042435855053,0.8953771289537714,MODERATE_STABILITY,0.32813260340632605,0.6373175182481753,9
pblh_1d,0.9021100638091749,0.43566610691513585,0.743493002961454,0.8656934306569344,MODERATE_STABILITY,0.5938564476885644,0.36155717761557177,10
pblh_min_1d,0.6680680839285307,0.1504702024836319,0.5094514731669607,0.8901155717761557,MODERATE_STABILITY,0.5058698296836983,0.45623479318734794,11
pm25_lag_3d,0.3282028028928001,-0.014091147466755901,0.5850746920217968,0.6771593673965937,LOW_STABILITY,0.44942214111922135,0.4584245742092458,12
wind_speed_kmh_roll_mean_3d,0.32615502334228136,-0.027763894496010223,0.37778172431367085,0.7452858880778588,MODERATE_STABILITY,0.43327250608272505,0.4577858880778589,13
wind_v_component_1d,0.27686708160138546,0.0469217120043321,0.3639798861102241,0.7025243309002434,MODERATE_STABILITY,0.43117396593673973,0.439294403892944,14
pm25_lag_7d,0.23256881053764664,-0.024899176605035073,0.38836299604593144,0.6600364963503651,LOW_STABILITY,0.4053223844282239,0.4730535279805353,15
fire_hotspot_count_roll_mean_3d,0.2321820570387774,-0.027345714748484757,0.28434707107724794,0.7215024330900243,MODERATE_STABILITY,0.36651459854014595,0.5005170316301703,16
rainfall_3d,0.2295184898142939,0.038690379625139014,0.19753168926610143,0.8065997566909976,MODERATE_STABILITY,0.5646289537712896,0.28245133819951346,17
washout_index_3d,0.22850097583374257,0.03617687374929669,0.2005984348478446,0.8005778588807786,MODERATE_STABILITY,0.5600973236009732,0.2826338199513382,18
wind_speed_kmh_lag_1d,0.22780679671637893,0.00956387786078413,0.32863345293636026,0.6989963503649635,LOW_STABILITY,0.49178832116788324,0.389963503649635,19
wind_u_component_1d,0.2245916937766857,0.04001812049972945,0.32142472416321066,0.6593065693430656,LOW_STABILITY,0.4271289537712895,0.4242396593673966,20
fire_hotspot_count_roll_mean_7d,0.20692833781545336,-0.02472441167718237,0.2531408509589973,0.70088199513382,MODERATE_STABILITY,0.3842761557177615,0.4614355231143552,21
temperature_c_roll_mean_3d,0.18466545978669646,-0.003211725020243874,0.2421313599261786,0.6590024330900243,LOW_STABILITY,0.411830900243309,0.3956812652068126,22
ventilation_index_1d,0.18460656717604038,-0.043012385042911466,0.31464715180395003,0.63661800486618,LOW_STABILITY,0.35708637469586374,0.49343065693430654,23
upwind_stubble_quadrant_1d,0.1785912698866043,0.02096071837011905,0.25793510729442704,0.6448296836982969,LOW_STABILITY,0.35334549878345495,0.4364963503649635,24
humidity_pct_roll_mean_3d,0.1747530281625109,0.014158148776958262,0.23585403864166546,0.6485705596107058,LOW_STABILITY,0.41748783454987837,0.40012165450121656,25
temperature_c_lag_1d,0.1746191955110372,0.0012529983794254695,0.24073959756633184,0.685066909975669,LOW_STABILITY,0.39592457420924576,0.4168795620437956,26
pm25_roll_std_7d,0.15972158878148743,0.03958173319456806,0.33729590571515977,0.6117092457420925,LOW_STABILITY,0.4724148418491484,0.3774330900243309,27
humidity_pct_roll_max_7d,0.15673481770247608,0.03804518917444666,0.268840909418405,0.6289233576642336,LOW_STABILITY,0.44522506082725066,0.36757907542579077,28
fire_hotspot_count_lag_1d,0.1474192819245099,-0.01076434602333659,0.25561405792015085,0.608728710462287,LOW_STABILITY,0.3747566909975669,0.43865571776155715,29
temperature_c_roll_min_3d,0.14427724366580152,-0.002119176711540594,0.19457850063218793,0.6321167883211678,LOW_STABILITY,0.3687347931873479,0.40045620437956203,30
humidity_pct_lag_1d,0.13057101288952896,-0.0009940210584033497,0.23566485113401764,0.6020377128953771,LOW_STABILITY,0.38813868613138686,0.41414233576642334,31
rainfall_1d,0.021604672391930365,0.0006386975338533502,0.04911355472218964,0.15602189781021897,LOW_STABILITY,0.09498175182481751,0.09163625304136254,32
rain_event_1d,0.006009757691037,2.136175080834132e-05,0.01569862754776798,0.03281630170316301,LOW_STABILITY,0.014324817518248175,0.01867396593673966,33
