trajectory_id,step_idx,constraint_name,action,corrected_value
T003_L14_MON,4,pm25_non_negative,CORRECTED,15.0
T003_L14_MON,6,pm25_non_negative,CORRECTED,15.0
T003_L14_MON,12,pm25_non_negative,CORRECTED,15.0
T006_L14_SUM,2,pm25_non_negative,CORRECTED,15.0
T006_L14_SUM,4,pm25_non_negative,CORRECTED,15.0
T006_L14_SUM,5,pm25_non_negative,CORRECTED,15.0
T006_L14_SUM,6,pm25_non_negative,CORRECTED,15.0
T007_L14_MON,3,pm25_non_negative,CORRECTED,15.0
T007_L14_MON,4,pm25_non_negative,CORRECTED,15.0
T007_L14_MON,5,pm25_non_negative,CORRECTED,15.0
T007_L14_MON,9,pm25_non_negative,CORRECTED,15.0
T007_L14_MON,10,pm25_non_negative,CORRECTED,15.0
T007_L14_MON,12,pm25_non_negative,CORRECTED,15.0
T007_L14_MON,13,pm25_non_negative,CORRECTED,15.0
T009_L14_WIN,5,pm25_upper_bound,CORRECTED,450.0
T009_L14_WIN,13,pm25_non_negative,CORRECTED,15.0
T010_L14_SUM,3,pm25_non_negative,CORRECTED,15.0
T010_L14_SUM,5,pm25_non_negative,CORRECTED,15.0
T010_L14_SUM,8,pm25_non_negative,CORRECTED,15.0
T010_L14_SUM,10,pm25_non_negative,CORRECTED,15.0
T010_L14_SUM,13,pm25_non_negative,CORRECTED,15.0
T011_L14_MON,5,pm25_non_negative,CORRECTED,15.0
T011_L14_MON,6,pm25_non_negative,CORRECTED,15.0
T011_L14_MON,13,pm25_non_negative,CORRECTED,15.0
T012_L14_POS,3,pm25_upper_bound,CORRECTED,450.0
T012_L14_POS,4,pm25_upper_bound,CORRECTED,450.0
T012_L14_POS,5,pm25_upper_bound,CORRECTED,450.0
T012_L14_POS,6,pm25_upper_bound,CORRECTED,450.0
T012_L14_POS,8,pm25_upper_bound,CORRECTED,450.0
T014_L14_SUM,2,pm25_non_negative,CORRECTED,15.0
T014_L14_SUM,3,pm25_non_negative,CORRECTED,15.0
T014_L14_SUM,6,pm25_non_negative,CORRECTED,15.0
T015_L14_MON,3,pm25_non_negative,CORRECTED,15.0
T016_L30_WIN,27,pm25_non_negative,CORRECTED,15.0
T017_L30_SUM,6,pm25_non_negative,CORRECTED,15.0
T017_L30_SUM,11,pm25_non_negative,CORRECTED,15.0
T017_L30_SUM,17,pm25_non_negative,CORRECTED,15.0
T017_L30_SUM,21,pm25_non_negative,CORRECTED,15.0
T017_L30_SUM,26,pm25_non_negative,CORRECTED,15.0
T017_L30_SUM,27,pm25_non_negative,CORRECTED,15.0
T018_L30_MON,4,pm25_non_negative,CORRECTED,15.0
T018_L30_MON,9,pm25_non_negative,CORRECTED,15.0
T018_L30_MON,15,pm25_non_negative,CORRECTED,15.0
T018_L30_MON,17,pm25_non_negative,CORRECTED,15.0
T018_L30_MON,19,pm25_non_negative,CORRECTED,15.0
T018_L30_MON,27,pm25_non_negative,CORRECTED,15.0
T020_L30_WIN,14,pm25_non_negative,CORRECTED,15.0
T021_L30_SUM,6,pm25_non_negative,CORRECTED,15.0
T021_L30_SUM,22,pm25_non_negative,CORRECTED,15.0
T021_L30_SUM,26,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,3,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,5,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,10,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,11,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,12,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,18,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,20,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,23,pm25_non_negative,CORRECTED,15.0
T022_L30_MON,25,pm25_non_negative,CORRECTED,15.0
T024_L30_WIN,17,pm25_non_negative,CORRECTED,15.0
T025_L30_SUM,7,pm25_non_negative,CORRECTED,15.0
T025_L30_SUM,10,pm25_non_negative,CORRECTED,15.0
T025_L30_SUM,13,pm25_non_negative,CORRECTED,15.0
T025_L30_SUM,15,pm25_non_negative,CORRECTED,15.0
T025_L30_SUM,20,pm25_non_negative,CORRECTED,15.0
T025_L30_SUM,23,pm25_non_negative,CORRECTED,15.0
T025_L30_SUM,24,pm25_non_negative,CORRECTED,15.0
T026_L30_MON,12,pm25_non_negative,CORRECTED,15.0
T026_L30_MON,17,pm25_non_negative,CORRECTED,15.0
T026_L30_MON,20,pm25_non_negative,CORRECTED,15.0
T027_L30_POS,15,pm25_non_negative,CORRECTED,15.0
T028_L30_WIN,14,pm25_non_negative,CORRECTED,15.0
T028_L30_WIN,16,pm25_non_negative,CORRECTED,15.0
T028_L30_WIN,27,pm25_non_negative,CORRECTED,15.0
T028_L30_WIN,28,pm25_non_negative,CORRECTED,15.0
T029_L30_SUM,5,pm25_non_negative,CORRECTED,15.0
T029_L30_SUM,17,pm25_non_negative,CORRECTED,15.0
T029_L30_SUM,24,pm25_non_negative,CORRECTED,15.0
T030_L30_MON,3,pm25_non_negative,CORRECTED,15.0
T030_L30_MON,7,pm25_non_negative,CORRECTED,15.0
T030_L30_MON,10,pm25_non_negative,CORRECTED,15.0
T030_L30_MON,14,pm25_non_negative,CORRECTED,15.0
T030_L30_MON,19,pm25_non_negative,CORRECTED,15.0
T030_L30_MON,25,pm25_non_negative,CORRECTED,15.0
T030_L30_MON,27,pm25_non_negative,CORRECTED,15.0
T031_L90_WIN,67,pm25_non_negative,CORRECTED,15.0
T031_L90_WIN,73,pm25_non_negative,CORRECTED,15.0
T031_L90_WIN,74,pm25_non_negative,CORRECTED,15.0
