feature,max_absolute_delta,status
pm25_lag_1d,0.0,PASS
pm25_lag_2d,0.0,PASS
pm25_lag_3d,0.0,PASS
pm25_lag_7d,0.0,PASS
pm25_roll_mean_3d,0.0,PASS
pm25_roll_mean_7d,0.0,PASS
pm25_roll_mean_14d,0.0,PASS
pm25_roll_std_7d,0.0,PASS
pm25_roll_max_7d,0.0,PASS
pm25_roll_min_7d,0.0,PASS
temperature_c_lag_1d,0.0,PASS
temperature_c_roll_mean_3d,0.0,PASS
temperature_c_roll_min_3d,0.0,PASS
humidity_pct_lag_1d,0.0,PASS
humidity_pct_roll_mean_3d,0.0,PASS
humidity_pct_roll_max_7d,0.0,PASS
wind_speed_kmh_lag_1d,0.0,PASS
wind_speed_kmh_roll_mean_3d,0.0,PASS
wind_u_component_1d,0.0,PASS
wind_v_component_1d,0.0,PASS
is_stubble_season,0.0,PASS
fire_hotspot_count_lag_1d,0.0,PASS
fire_hotspot_count_roll_mean_3d,0.0,PASS
fire_hotspot_count_roll_mean_7d,0.0,PASS
upwind_stubble_quadrant_1d,0.0,PASS
rainfall_1d,0.0,PASS
rainfall_3d,0.0,PASS
rain_event_1d,0.0,PASS
washout_index_3d,0.0,PASS
pblh_1d,0.0,PASS
pblh_min_1d,0.0,PASS
pblh_roll_mean_3d,0.0,PASS
ventilation_index_1d,0.0,PASS
aod_550_1d,0.0,PASS
festival_window,0.0,PASS
pm25,0.0,PASS
