threshold_ug_m3,model_experiment,test_sample_count,mae,rmse,mean_bias
100.0,real_only,641,19.866956566528735,25.22486317610953,-1.6906768727058732
100.0,synthetic_only,641,22.69880788562216,28.50955917748441,2.3183781656558615
100.0,real_plus_synthetic_10,641,20.04095871190292,25.49414833876261,-1.8501408625721085
100.0,real_plus_synthetic_25,641,19.960662595803917,25.51429744410044,-1.6126982860399488
100.0,real_plus_synthetic_50,641,19.94204547001757,25.536212148023292,-1.132310933588576
100.0,real_plus_synthetic_100,641,20.085422865474726,25.69673955316839,-1.2458018441954792
150.0,real_only,398,21.527953362363615,27.0581062031025,-3.4202124875648114
150.0,synthetic_only,398,22.304461935760337,28.10343629215306,-0.08270635476722189
150.0,real_plus_synthetic_10,398,21.709401515132193,27.378148695236835,-3.084741407157776
150.0,real_plus_synthetic_25,398,21.596705899949963,27.370373898441883,-2.668652171354422
150.0,real_plus_synthetic_50,398,21.54059882541711,27.26645209745334,-2.2623482683440628
150.0,real_plus_synthetic_100,398,21.51732268336012,27.226213189729755,-2.2072956970731146
200.0,real_only,315,21.500266123461603,26.88854196190556,-4.929103781135777
200.0,synthetic_only,315,21.558244276952774,27.31921319750501,-0.9044122650537594
200.0,real_plus_synthetic_10,315,21.58801004286124,27.155743584452473,-4.385058901103966
200.0,real_plus_synthetic_25,315,21.398318027840403,27.08654050657891,-3.8653854197702904
200.0,real_plus_synthetic_50,315,21.19173300482169,26.796268007449136,-3.509104150807939
200.0,real_plus_synthetic_100,315,21.030637795764317,26.70356615348856,-3.6152712299870258
250.0,real_only,191,22.9964935518152,28.100968964169738,-8.00597169217185
250.0,synthetic_only,191,21.863762669824162,27.260299587703987,-5.17273102676718
250.0,real_plus_synthetic_10,191,22.862927281190355,28.033316225893888,-7.490815483946635
250.0,real_plus_synthetic_25,191,22.186549618797763,27.551909538302272,-6.962071675643298
250.0,real_plus_synthetic_50,191,22.289877458348904,27.610244440118613,-6.6525443586632536
250.0,real_plus_synthetic_100,191,22.039609456678534,27.470275329684043,-7.278667654453136
