synthetic_date,trajectory_id,nearest_real_index,euclidean_distance_to_nearest_real,is_exact_duplicate,is_near_duplicate
SYNTH-T001_L14_WIN-D001,T001_L14_WIN,703,3.8120739904978347,0,0
SYNTH-T001_L14_WIN-D002,T001_L14_WIN,703,3.6133466321853986,0,0
SYNTH-T001_L14_WIN-D003,T001_L14_WIN,703,3.3682633941453277,0,0
SYNTH-T001_L14_WIN-D004,T001_L14_WIN,703,3.0799261928191286,0,0
SYNTH-T001_L14_WIN-D005,T001_L14_WIN,703,2.955298983511045,0,0
SYNTH-T001_L14_WIN-D006,T001_L14_WIN,702,3.732657828049192,0,0
SYNTH-T001_L14_WIN-D007,T001_L14_WIN,56,4.034732285443741,0,0
SYNTH-T001_L14_WIN-D008,T001_L14_WIN,61,4.1754694801463605,0,0
SYNTH-T001_L14_WIN-D009,T001_L14_WIN,61,4.004877718178225,0,0
SYNTH-T001_L14_WIN-D010,T001_L14_WIN,61,4.422020658873218,0,0
SYNTH-T001_L14_WIN-D011,T001_L14_WIN,36,5.1428139505857,0,0
SYNTH-T001_L14_WIN-D012,T001_L14_WIN,62,3.820419767455023,0,0
SYNTH-T001_L14_WIN-D013,T001_L14_WIN,632,4.131499969098122,0,0
SYNTH-T001_L14_WIN-D014,T001_L14_WIN,633,3.52592820988094,0,0
SYNTH-T002_L14_SUM-D001,T002_L14_SUM,549,5.2625759794257965,0,0
SYNTH-T002_L14_SUM-D002,T002_L14_SUM,549,5.61967946127284,0,0
SYNTH-T002_L14_SUM-D003,T002_L14_SUM,121,5.9807274408572155,0,0
SYNTH-T002_L14_SUM-D004,T002_L14_SUM,549,5.372660843162511,0,0
SYNTH-T002_L14_SUM-D005,T002_L14_SUM,549,5.867709689838346,0,0
SYNTH-T002_L14_SUM-D006,T002_L14_SUM,549,5.131023483351479,0,0
SYNTH-T002_L14_SUM-D007,T002_L14_SUM,549,5.219103100497971,0,0
SYNTH-T002_L14_SUM-D008,T002_L14_SUM,125,6.159615299714552,0,0
SYNTH-T002_L14_SUM-D009,T002_L14_SUM,121,4.9456798660773424,0,0
SYNTH-T002_L14_SUM-D010,T002_L14_SUM,549,6.358775702451903,0,0
SYNTH-T002_L14_SUM-D011,T002_L14_SUM,549,5.262542658104644,0,0
SYNTH-T002_L14_SUM-D012,T002_L14_SUM,549,5.670338090892138,0,0
SYNTH-T002_L14_SUM-D013,T002_L14_SUM,106,5.538982879639987,0,0
SYNTH-T002_L14_SUM-D014,T002_L14_SUM,549,5.009024265119466,0,0
SYNTH-T003_L14_MON-D001,T003_L14_MON,189,4.695466166467793,0,0
SYNTH-T003_L14_MON-D002,T003_L14_MON,189,4.607696922713406,0,0
SYNTH-T003_L14_MON-D003,T003_L14_MON,210,4.689461071836746,0,0
SYNTH-T003_L14_MON-D004,T003_L14_MON,561,5.01877768620453,0,0
SYNTH-T003_L14_MON-D005,T003_L14_MON,190,4.774959208174732,0,0
SYNTH-T003_L14_MON-D006,T003_L14_MON,562,4.9407475289397205,0,0
SYNTH-T003_L14_MON-D007,T003_L14_MON,197,4.787925631607853,0,0
SYNTH-T003_L14_MON-D008,T003_L14_MON,563,5.17167951854949,0,0
SYNTH-T003_L14_MON-D009,T003_L14_MON,197,5.713766505350324,0,0
SYNTH-T003_L14_MON-D010,T003_L14_MON,556,5.420434550052725,0,0
SYNTH-T003_L14_MON-D011,T003_L14_MON,197,5.024442575250234,0,0
SYNTH-T003_L14_MON-D012,T003_L14_MON,562,5.786602502756945,0,0
SYNTH-T003_L14_MON-D013,T003_L14_MON,561,5.586862960603323,0,0
SYNTH-T003_L14_MON-D014,T003_L14_MON,556,5.128898723696278,0,0
SYNTH-T004_L14_POS-D001,T004_L14_POS,518,4.517958035592013,0,0
SYNTH-T004_L14_POS-D002,T004_L14_POS,518,4.35423110776035,0,0
SYNTH-T004_L14_POS-D003,T004_L14_POS,518,3.9300217617879643,0,0
SYNTH-T004_L14_POS-D004,T004_L14_POS,658,3.994462130672584,0,0
SYNTH-T004_L14_POS-D005,T004_L14_POS,505,4.273057553928614,0,0
SYNTH-T004_L14_POS-D006,T004_L14_POS,660,4.323992257099875,0,0
SYNTH-T004_L14_POS-D007,T004_L14_POS,505,4.430350487705133,0,0
SYNTH-T004_L14_POS-D008,T004_L14_POS,518,4.500520393253172,0,0
SYNTH-T004_L14_POS-D009,T004_L14_POS,518,4.533343431071575,0,0
SYNTH-T004_L14_POS-D010,T004_L14_POS,658,4.294268712426674,0,0
SYNTH-T004_L14_POS-D011,T004_L14_POS,664,3.8811951108431844,0,0
SYNTH-T004_L14_POS-D012,T004_L14_POS,288,4.622213500288296,0,0
SYNTH-T004_L14_POS-D013,T004_L14_POS,536,4.572306550625504,0,0
SYNTH-T004_L14_POS-D014,T004_L14_POS,575,4.43602055842353,0,0
SYNTH-T005_L14_WIN-D001,T005_L14_WIN,703,3.7449837944568327,0,0
SYNTH-T005_L14_WIN-D002,T005_L14_WIN,412,4.216554902888322,0,0
SYNTH-T005_L14_WIN-D003,T005_L14_WIN,56,4.006071904086667,0,0
