trajectory_id,step_idx,synthetic_date,nearest_real_distance,is_outlier_flag
T001_L14_WIN,0,SYNTH-T001_L14_WIN-D001,3.8120739904978347,0
T001_L14_WIN,1,SYNTH-T001_L14_WIN-D002,3.6133466321853986,0
T001_L14_WIN,2,SYNTH-T001_L14_WIN-D003,3.3682633941453277,0
T001_L14_WIN,3,SYNTH-T001_L14_WIN-D004,3.0799261928191286,0
T001_L14_WIN,4,SYNTH-T001_L14_WIN-D005,2.955298983511045,0
T001_L14_WIN,5,SYNTH-T001_L14_WIN-D006,3.732657828049192,0
T001_L14_WIN,6,SYNTH-T001_L14_WIN-D007,4.034732285443741,0
T001_L14_WIN,7,SYNTH-T001_L14_WIN-D008,4.1754694801463605,0
T001_L14_WIN,8,SYNTH-T001_L14_WIN-D009,4.004877718178225,0
T001_L14_WIN,9,SYNTH-T001_L14_WIN-D010,4.422020658873218,0
T001_L14_WIN,10,SYNTH-T001_L14_WIN-D011,5.1428139505857,1
T001_L14_WIN,11,SYNTH-T001_L14_WIN-D012,3.820419767455023,0
T001_L14_WIN,12,SYNTH-T001_L14_WIN-D013,4.131499969098122,0
T001_L14_WIN,13,SYNTH-T001_L14_WIN-D014,3.52592820988094,0
T002_L14_SUM,0,SYNTH-T002_L14_SUM-D001,5.2625759794257965,1
T002_L14_SUM,1,SYNTH-T002_L14_SUM-D002,5.61967946127284,1
T002_L14_SUM,2,SYNTH-T002_L14_SUM-D003,5.9807274408572155,1
T002_L14_SUM,3,SYNTH-T002_L14_SUM-D004,5.372660843162511,1
T002_L14_SUM,4,SYNTH-T002_L14_SUM-D005,5.867709689838346,1
T002_L14_SUM,5,SYNTH-T002_L14_SUM-D006,5.131023483351479,1
T002_L14_SUM,6,SYNTH-T002_L14_SUM-D007,5.219103100497971,1
T002_L14_SUM,7,SYNTH-T002_L14_SUM-D008,6.159615299714552,1
T002_L14_SUM,8,SYNTH-T002_L14_SUM-D009,4.9456798660773424,1
T002_L14_SUM,9,SYNTH-T002_L14_SUM-D010,6.358775702451903,1
T002_L14_SUM,10,SYNTH-T002_L14_SUM-D011,5.262542658104644,1
T002_L14_SUM,11,SYNTH-T002_L14_SUM-D012,5.670338090892138,1
T002_L14_SUM,12,SYNTH-T002_L14_SUM-D013,5.538982879639987,1
T002_L14_SUM,13,SYNTH-T002_L14_SUM-D014,5.009024265119466,1
T003_L14_MON,0,SYNTH-T003_L14_MON-D001,4.695466166467793,0
T003_L14_MON,1,SYNTH-T003_L14_MON-D002,4.607696922713406,0
T003_L14_MON,2,SYNTH-T003_L14_MON-D003,4.689461071836746,0
T003_L14_MON,3,SYNTH-T003_L14_MON-D004,5.01877768620453,1
T003_L14_MON,4,SYNTH-T003_L14_MON-D005,4.774959208174732,0
T003_L14_MON,5,SYNTH-T003_L14_MON-D006,4.9407475289397205,1
T003_L14_MON,6,SYNTH-T003_L14_MON-D007,4.787925631607853,0
T003_L14_MON,7,SYNTH-T003_L14_MON-D008,5.17167951854949,1
T003_L14_MON,8,SYNTH-T003_L14_MON-D009,5.713766505350324,1
T003_L14_MON,9,SYNTH-T003_L14_MON-D010,5.420434550052725,1
T003_L14_MON,10,SYNTH-T003_L14_MON-D011,5.024442575250234,1
T003_L14_MON,11,SYNTH-T003_L14_MON-D012,5.786602502756945,1
T003_L14_MON,12,SYNTH-T003_L14_MON-D013,5.586862960603323,1
T003_L14_MON,13,SYNTH-T003_L14_MON-D014,5.128898723696278,1
T004_L14_POS,0,SYNTH-T004_L14_POS-D001,4.517958035592013,0
T004_L14_POS,1,SYNTH-T004_L14_POS-D002,4.35423110776035,0
T004_L14_POS,2,SYNTH-T004_L14_POS-D003,3.9300217617879643,0
T004_L14_POS,3,SYNTH-T004_L14_POS-D004,3.994462130672584,0
T004_L14_POS,4,SYNTH-T004_L14_POS-D005,4.273057553928614,0
T004_L14_POS,5,SYNTH-T004_L14_POS-D006,4.323992257099875,0
T004_L14_POS,6,SYNTH-T004_L14_POS-D007,4.430350487705133,0
T004_L14_POS,7,SYNTH-T004_L14_POS-D008,4.500520393253172,0
T004_L14_POS,8,SYNTH-T004_L14_POS-D009,4.533343431071575,0
T004_L14_POS,9,SYNTH-T004_L14_POS-D010,4.294268712426674,0
T004_L14_POS,10,SYNTH-T004_L14_POS-D011,3.8811951108431844,0
T004_L14_POS,11,SYNTH-T004_L14_POS-D012,4.622213500288296,0
T004_L14_POS,12,SYNTH-T004_L14_POS-D013,4.572306550625504,0
T004_L14_POS,13,SYNTH-T004_L14_POS-D014,4.43602055842353,0
T005_L14_WIN,0,SYNTH-T005_L14_WIN-D001,3.7449837944568327,0
T005_L14_WIN,1,SYNTH-T005_L14_WIN-D002,4.216554902888322,0
T005_L14_WIN,2,SYNTH-T005_L14_WIN-D003,4.006071904086667,0
T005_L14_WIN,3,SYNTH-T005_L14_WIN-D004,4.094140677206087,0
T005_L14_WIN,4,SYNTH-T005_L14_WIN-D005,3.211025717317986,0
