config_id,architecture,seed,test_mae,test_rmse,test_r2
REAL_ONLY,LSTM,42,33.40865443127283,45.118412587107144,0.7828488213561062
REAL_ONLY,TCN,42,30.674184799194336,41.08057951966933,0.8199771642684937
REAL_ONLY,Transformer,42,31.582142448804863,42.377600096471724,0.8084300945139697
REAL_PLUS_8C_25,LSTM,42,35.56308349075292,46.58423455751208,0.7685098608845105
REAL_PLUS_8C_25,TCN,42,30.245742797851562,40.59922559779466,0.8241711854934692
REAL_PLUS_8C_25,Transformer,42,34.13913790993108,45.82792115038139,0.7759655101367051
REAL_PLUS_8D_25,LSTM,42,33.887792777771516,44.93845716120479,0.7845775879485442
REAL_PLUS_8D_25,TCN,42,30.93288230895996,41.931052154288054,0.812446117401123
REAL_PLUS_8D_25,Transformer,42,33.63613657330446,44.699505446666464,0.7868624326988061
REAL_ONLY,LSTM,123,34.2072911712511,45.55366621909023,0.7786389333290513
REAL_ONLY,TCN,123,30.005569458007812,40.89399823686692,0.8216086626052856
REAL_ONLY,Transformer,123,32.14608489488979,43.55810059435336,0.7976084225458815
REAL_PLUS_8C_25,LSTM,123,33.67921037302696,45.37468232336912,0.7803750057111871
REAL_PLUS_8C_25,TCN,123,30.08729362487793,40.429347069822775,0.825639545917511
REAL_PLUS_8C_25,Transformer,123,34.47763297615801,45.92102726098667,0.775054267885273
REAL_PLUS_8D_25,LSTM,123,32.87954858028801,44.51170429013299,0.7886496290096867
REAL_PLUS_8D_25,TCN,123,30.87945556640625,41.430631088396574,0.8168960809707642
REAL_PLUS_8D_25,Transformer,123,32.0160642189009,42.896300666871035,0.8037117741676533
REAL_ONLY,LSTM,2025,32.657062854402255,44.60448851585796,0.7877675949805987
REAL_ONLY,TCN,2025,30.15599250793457,42.12734281550775,0.8106859922409058
REAL_ONLY,Transformer,2025,30.94964916954851,41.934980211056114,0.8124109633675393
REAL_PLUS_8C_25,LSTM,2025,33.864594183035976,45.16717845444692,0.7823791555241069
REAL_PLUS_8C_25,TCN,2025,30.159101486206055,41.30469562724527,0.8180075287818909
REAL_PLUS_8C_25,Transformer,2025,32.69702181518089,44.08480317032639,0.7926842102447333
REAL_PLUS_8D_25,LSTM,2025,33.61941706246788,44.79066358624841,0.7859922201336291
REAL_PLUS_8D_25,TCN,2025,29.714618682861328,40.67161688354515,0.8235436081886292
REAL_PLUS_8D_25,Transformer,2025,32.853442863021854,44.4716767515769,0.7890295754290939
