column,max_delta,status,reason
step_idx,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
temperature_c,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
humidity_pct,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
wind_speed_kmh,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
wind_u_component_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
wind_v_component_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pblh_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pblh_min_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
rainfall_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
rain_event_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
ventilation_index_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
aod_550_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
fire_hotspot_count_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
upwind_stubble_quadrant_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
is_stubble_season,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
festival_window,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_lag_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_lag_2d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_lag_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_lag_7d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_roll_mean_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_roll_mean_7d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_roll_mean_14d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_roll_std_7d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_roll_max_7d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pm25_roll_min_7d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
temperature_c_lag_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
temperature_c_roll_mean_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
temperature_c_roll_min_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
humidity_pct_lag_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
humidity_pct_roll_mean_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
humidity_pct_roll_max_7d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
wind_speed_kmh_lag_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
wind_speed_kmh_roll_mean_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
fire_hotspot_count_lag_1d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
fire_hotspot_count_roll_mean_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
fire_hotspot_count_roll_mean_7d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
rainfall_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
washout_index_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
pblh_roll_mean_3d,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
random_seed,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
generation_seed,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
batch_seed,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
global_master_seed,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
horizon_days,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
ood_distance,0.0,PASS,Exact numerical reproducibility within tolerance <= 1e-9
