corpus,feature,expected,observed,dtype_expected,dtype_observed,status,reason
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_lag_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_lag_2d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_lag_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_lag_7d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_roll_mean_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_roll_mean_7d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_roll_mean_14d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_roll_std_7d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_roll_max_7d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25_roll_min_7d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,temperature_c_lag_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,temperature_c_roll_mean_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,temperature_c_roll_min_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,humidity_pct_lag_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,humidity_pct_roll_mean_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,humidity_pct_roll_max_7d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,wind_speed_kmh_lag_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,wind_speed_kmh_roll_mean_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,wind_u_component_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,wind_v_component_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,is_stubble_season,True,True,numeric,int64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,fire_hotspot_count_lag_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,fire_hotspot_count_roll_mean_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,fire_hotspot_count_roll_mean_7d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,upwind_stubble_quadrant_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,rainfall_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,rainfall_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,rain_event_1d,True,True,numeric,int64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,washout_index_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pblh_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pblh_min_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pblh_roll_mean_3d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,ventilation_index_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,aod_550_1d,True,True,numeric,float64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,festival_window,True,True,numeric,int64,PASS,Feature present and compatible
AtmosIQ_Synthetic_Calibrated_v0.1.0,pm25 (Target),True,True,float64,float64,PASS,Target variable present and isolated
