date,observed_pm25,predicted_pm25,residual,abs_error
2022-01-15,341.99,316.8595,-25.130493,25.130493
2022-01-16,381.91,331.09198,-50.818024,50.818024
2022-01-17,188.72,345.21045,156.49045,156.49045
2022-01-18,321.04,345.63733,24.59732,24.59732
2022-01-19,285.2,356.17908,70.979065,70.979065
2022-01-20,210.98,350.13782,139.15782,139.15782
2022-01-21,327.57,321.3772,-6.19281,6.19281
2022-01-22,234.16,294.34467,60.18466,60.18466
2022-01-23,358.61,259.5055,-99.10449,99.10449
2022-01-24,327.76,239.11171,-88.6483,88.6483
2022-01-25,337.91,246.76141,-91.14859,91.14859
2022-01-26,330.71,275.9074,-54.80258,54.80258
2022-01-27,297.47,314.29736,16.827362,16.827362
2022-01-28,254.19,317.55887,63.368866,63.368866
2022-01-29,283.4,307.3199,23.919891,23.919891
2022-01-30,319.78,281.6114,-38.16861,38.16861
2022-01-31,360.99,269.98773,-91.00226,91.00226
2022-02-01,220.69,251.98682,31.296814,31.296814
2022-02-02,212.84,265.14777,52.30777,52.30777
2022-02-03,144.14,249.89857,105.758575,105.758575
2022-02-04,182.19,216.57576,34.385757,34.385757
2022-02-05,113.89,174.92497,61.034973,61.034973
2022-02-06,112.85,160.20065,47.350655,47.350655
2022-02-07,222.53,175.62022,-46.909775,46.909775
2022-02-08,198.47,190.08705,-8.38295,8.38295
2022-02-09,213.66,189.15102,-24.508987,24.508987
2022-02-10,123.74,165.71391,41.973915,41.973915
2022-02-11,150.11,157.82253,7.7125244,7.7125244
2022-02-12,221.19,150.9643,-70.22571,70.22571
2022-02-13,203.75,146.99338,-56.756622,56.756622
2022-02-14,191.15,140.10408,-51.045914,51.045914
2022-02-15,207.15,147.99045,-59.159546,59.159546
2022-02-16,181.22,153.33571,-27.884293,27.884293
2022-02-17,131.43,164.39946,32.969467,32.969467
2022-02-18,146.06,168.27168,22.211685,22.211685
2022-02-19,133.81,166.77917,32.969177,32.969177
2022-02-20,143.03,152.3858,9.355804,9.355804
2022-02-21,202.14,137.63391,-64.50609,64.50609
2022-02-22,145.86,120.50186,-25.358139,25.358139
2022-02-23,195.23,83.64411,-111.585884,111.585884
2022-02-24,164.35,57.71966,-106.63034,106.63034
2022-02-25,179.07,56.48822,-122.58179,122.58179
2022-02-26,191.21,55.133232,-136.07678,136.07678
2022-02-27,204.5,61.96647,-142.53354,142.53354
2022-02-28,197.6,69.55574,-128.04427,128.04427
2022-03-01,115.18,94.66065,-20.519348,20.519348
2022-03-02,110.46,121.19469,10.734688,10.734688
2022-03-03,120.31,135.94398,15.633987,15.633987
2022-03-04,109.88,134.72853,24.848534,24.848534
2022-03-05,82.56,134.40999,51.84999,51.84999
2022-03-06,118.01,84.73999,-33.27001,33.27001
2022-03-07,103.29,61.665436,-41.624565,41.624565
2022-03-08,114.55,32.20196,-82.34804,82.34804
2022-03-09,106.67,44.72712,-61.94288,61.94288
2022-03-10,111.28,62.14902,-49.130978,49.130978
2022-03-11,119.09,82.15558,-36.934418,36.934418
2022-03-12,100.21,80.98339,-19.226608,19.226608
2022-03-13,92.73,81.83238,-10.897621,10.897621
2022-03-14,77.49,80.50297,3.01297,3.01297
2022-03-15,133.59,81.5908,-51.9992,51.9992
2022-03-16,122.17,81.52371,-40.646286,40.646286
2022-03-17,126.35,79.32718,-47.02282,47.02282
2022-03-18,124.23,79.68105,-44.54895,44.54895
2022-03-19,119.93,78.76122,-41.168777,41.168777
2022-03-20,92.11,81.87423,-10.235771,10.235771
2022-03-21,116.4,81.00412,-35.39588,35.39588
2022-03-22,89.36,85.1452,-4.214798,4.214798
2022-03-23,71.4,86.64935,15.2493515,15.2493515
2022-03-24,118.57,90.47719,-28.092812,28.092812
2022-03-25,119.92,91.65378,-28.26622,28.26622
2022-03-26,121.99,96.75859,-25.231407,25.231407
2022-03-27,106.16,99.57736,-6.5826416,6.5826416
2022-03-28,73.41,102.29251,28.882507,28.882507
2022-03-29,75.52,107.89182,32.371826,32.371826
2022-03-30,68.36,115.69426,47.33426,47.33426
2022-03-31,96.13,126.235466,30.105469,30.105469
2022-04-01,80.87,132.59625,51.72625,51.72625
2022-04-02,77.6,114.57179,36.971794,36.971794
2022-04-03,116.74,97.91241,-18.82759,18.82759
2022-04-04,83.54,82.14043,-1.3995743,1.3995743
2022-04-05,71.93,95.05731,23.127312,23.127312
2022-04-06,109.62,103.39172,-6.228279,6.228279
2022-04-07,71.47,108.45145,36.981445,36.981445
2022-04-08,77.16,105.374664,28.21466,28.21466
2022-04-09,126.95,108.57526,-18.37474,18.37474
2022-04-10,89.38,112.88406,23.504066,23.504066
2022-04-11,113.32,118.09776,4.7777634,4.7777634
2022-04-12,66.42,117.301254,50.881256,50.881256
