exp_id,architecture,checkpoint_file,checkpoint_sha256,best_epoch,val_mae
LSTM_aug0pct_seed42,LSTM,checkpoint_LSTM_aug0pct_seed42.json,49129214b1a7206d7a18e66b086edf5ef9739a0e864b11b10d105a8fa35d9622,25,170.09791564941406
TCN_aug0pct_seed42,TCN,checkpoint_TCN_aug0pct_seed42.json,7291e6bea203c352ad70d8cb3d4198a720ac440a866f9e3c8b873b67b03d6728,22,45.35011672973633
Transformer_aug0pct_seed42,Transformer,checkpoint_Transformer_aug0pct_seed42.json,cc8f452d0c3b625a889a9a02e8a12290e623154a3d460d9b9c3cdefbb352e0de,25,49.4597282409668
LSTM_aug0pct_seed123,LSTM,checkpoint_LSTM_aug0pct_seed123.json,f5c3ebd2e4ea8005b8ef4ce9728070fa8eb03c63942df2b3852c47e4b86be2b2,25,169.30438232421875
TCN_aug0pct_seed123,TCN,checkpoint_TCN_aug0pct_seed123.json,825c48aca7f54ade61693fd451a014509324d2e7d36dfc8f804d7bb12eb5fa04,25,46.66879653930664
Transformer_aug0pct_seed123,Transformer,checkpoint_Transformer_aug0pct_seed123.json,8aa7794895da4abf35d2d219694aa98115d335191d7997d18bf7adfe0f074759,20,48.80716323852539
LSTM_aug0pct_seed2025,LSTM,checkpoint_LSTM_aug0pct_seed2025.json,ce89a3b8cc0db0f04a37b75c40169a3188fb86b8e3ca18e16824b9d4397cd250,25,169.34158325195312
TCN_aug0pct_seed2025,TCN,checkpoint_TCN_aug0pct_seed2025.json,e324b9093da2512b4cb2bdb3af1f9977e519b5550f2b80c3d962119b2fe4734a,25,45.10247802734375
Transformer_aug0pct_seed2025,Transformer,checkpoint_Transformer_aug0pct_seed2025.json,418406487acbf54a62868a6126c2d6229a51632508f365e836849d58ea2e501e,25,49.961727142333984
LSTM_aug10pct_seed42,LSTM,checkpoint_LSTM_aug10pct_seed42.json,901008a78f6e4b05de53149b72df0cb4f6e93d158e9046cf52796e33b1179778,25,168.29249572753906
TCN_aug10pct_seed42,TCN,checkpoint_TCN_aug10pct_seed42.json,f6046649ba0f3b8decd6dcc24596653556a5b8df338a8f6c5d7a3a6f903f722f,25,48.952762603759766
Transformer_aug10pct_seed42,Transformer,checkpoint_Transformer_aug10pct_seed42.json,975f2b056745279aa0cd6ebb74ec638e21c5a5353a7d2273dea5cf81467a874d,25,50.56726837158203
LSTM_aug10pct_seed123,LSTM,checkpoint_LSTM_aug10pct_seed123.json,d1f035762025b0cf70457ea5b2722156fb4acd3de96178815d164c4e018af5aa,25,169.47393798828125
TCN_aug10pct_seed123,TCN,checkpoint_TCN_aug10pct_seed123.json,984ef5ffc64453e7e7285f59ea113d9fabddd9cc461f7172510ff687038264c9,25,45.81268310546875
Transformer_aug10pct_seed123,Transformer,checkpoint_Transformer_aug10pct_seed123.json,dd6d9e8065ed5c4c93a4636da63142e9aa08dd0f5fa3d771095c646af0558df3,24,50.981300354003906
LSTM_aug10pct_seed2025,LSTM,checkpoint_LSTM_aug10pct_seed2025.json,b34176584c3ea1b61de2f70cb8466701695500760798fbfe561cbc0b43200015,25,169.27606201171875
TCN_aug10pct_seed2025,TCN,checkpoint_TCN_aug10pct_seed2025.json,8440cf7739de6fa400675235e4d38313bebb6ec9f215f3cb3df9750ac5689edf,25,43.925540924072266
Transformer_aug10pct_seed2025,Transformer,checkpoint_Transformer_aug10pct_seed2025.json,78510bdf125b23aae7cb058d662e015e9f8eb6c0322447174e73a8bd781b2e46,24,52.73175048828125
LSTM_aug25pct_seed42,LSTM,checkpoint_LSTM_aug25pct_seed42.json,356304e0a86e8b0d2c2d03267564a9a57cec678908503620c7c39fd077ebc53d,25,167.10208129882812
TCN_aug25pct_seed42,TCN,checkpoint_TCN_aug25pct_seed42.json,6fcdff8f551871708fe7e03efa02a98ee44754eec7b09c3caa8a1c53d6315014,25,47.08539962768555
Transformer_aug25pct_seed42,Transformer,checkpoint_Transformer_aug25pct_seed42.json,f32e2691e0fa62fa01512d6b8be34f00972460ff2e9c091d36d1e0b42767f50c,23,52.71547317504883
LSTM_aug25pct_seed123,LSTM,checkpoint_LSTM_aug25pct_seed123.json,a2140f9dc7118ca717d23df69415ac639a4c7e51b9690c7d60e96a2eaa8e3e86,25,168.68856811523438
TCN_aug25pct_seed123,TCN,checkpoint_TCN_aug25pct_seed123.json,3a50a06e334c01597261bf27fef08cb937d3bf9dddb0dd57d20a5d15f5a1cf82,25,45.09897994995117
Transformer_aug25pct_seed123,Transformer,checkpoint_Transformer_aug25pct_seed123.json,a142ec7f4304f9cf7bf5cdc855ad7a89b902546d25f7992f4bab0a8613fbd556,13,48.212127685546875
LSTM_aug25pct_seed2025,LSTM,checkpoint_LSTM_aug25pct_seed2025.json,b8da7a8a00708e7ff1029a63e4ebc6d9cc45c4e5fe0039dc0fe71b267107ba49,24,167.24856567382812
TCN_aug25pct_seed2025,TCN,checkpoint_TCN_aug25pct_seed2025.json,fdc99f7ca4410f3d577e52718e35c956c97f368cd91a8b7f505ee23824085bac,25,39.269412994384766
Transformer_aug25pct_seed2025,Transformer,checkpoint_Transformer_aug25pct_seed2025.json,49ec53c5c14ac98a506096bbf41246a5e9133007b6e3d5f1b598744b831d1446,24,54.09492492675781
LSTM_aug50pct_seed42,LSTM,checkpoint_LSTM_aug50pct_seed42.json,a7c835f5d572018592e2c8283c8a0e4c9c1c1770cd181bc537fbc6deeb02bb3b,25,165.53065490722656
TCN_aug50pct_seed42,TCN,checkpoint_TCN_aug50pct_seed42.json,034bb7c08a649af4290d4c7a1aa9e20d2c2c9725d4a100932fd966afb7d522e4,25,42.319393157958984
Transformer_aug50pct_seed42,Transformer,checkpoint_Transformer_aug50pct_seed42.json,fc387771db96a42fc639a7a6347fa54f97c8e9c30676a02e8f55b4689b84654c,20,54.77416229248047
LSTM_aug50pct_seed123,LSTM,checkpoint_LSTM_aug50pct_seed123.json,9796e379d662ddc1ee9dd6ab7e205444cdf6673e7e79723d37e0c50fe6116ac3,25,162.849853515625
TCN_aug50pct_seed123,TCN,checkpoint_TCN_aug50pct_seed123.json,cade6fcab6486ff9b2a48a5d269ee5b43752f63590b395cc1734365d46f42357,25,40.21934127807617
Transformer_aug50pct_seed123,Transformer,checkpoint_Transformer_aug50pct_seed123.json,2d36966b786b09c0dca3b93c287ca26510ac87e500e1625bece3b288cadc7bb9,25,54.85164260864258
LSTM_aug50pct_seed2025,LSTM,checkpoint_LSTM_aug50pct_seed2025.json,7714f3d349d7b3f8a210b88daddfc8347ba8839729fcd2370ef10512827993e9,25,164.0909423828125
TCN_aug50pct_seed2025,TCN,checkpoint_TCN_aug50pct_seed2025.json,49fd34d56d364f20de4881b7b91432485029d160c87e9687699f3694650fc35c,25,38.05215835571289
Transformer_aug50pct_seed2025,Transformer,checkpoint_Transformer_aug50pct_seed2025.json,2c6e551ccee6abe81a6e1e6dd4d9e72494014e4e445674a084138e4d25209d61,23,56.802364349365234
