trajectory_id,window_slice_idx,data_origin,source_partition,window_size
REAL_HISTORICAL_2020_2021,0,real,2020-2021,14
REAL_HISTORICAL_2020_2021,1,real,2020-2021,14
REAL_HISTORICAL_2020_2021,2,real,2020-2021,14
REAL_HISTORICAL_2020_2021,3,real,2020-2021,14
REAL_HISTORICAL_2020_2021,4,real,2020-2021,14
REAL_HISTORICAL_2020_2021,5,real,2020-2021,14
REAL_HISTORICAL_2020_2021,6,real,2020-2021,14
REAL_HISTORICAL_2020_2021,7,real,2020-2021,14
REAL_HISTORICAL_2020_2021,8,real,2020-2021,14
REAL_HISTORICAL_2020_2021,9,real,2020-2021,14
REAL_HISTORICAL_2020_2021,10,real,2020-2021,14
REAL_HISTORICAL_2020_2021,11,real,2020-2021,14
REAL_HISTORICAL_2020_2021,12,real,2020-2021,14
REAL_HISTORICAL_2020_2021,13,real,2020-2021,14
REAL_HISTORICAL_2020_2021,14,real,2020-2021,14
REAL_HISTORICAL_2020_2021,15,real,2020-2021,14
REAL_HISTORICAL_2020_2021,16,real,2020-2021,14
REAL_HISTORICAL_2020_2021,17,real,2020-2021,14
REAL_HISTORICAL_2020_2021,18,real,2020-2021,14
REAL_HISTORICAL_2020_2021,19,real,2020-2021,14
REAL_HISTORICAL_2020_2021,20,real,2020-2021,14
REAL_HISTORICAL_2020_2021,21,real,2020-2021,14
REAL_HISTORICAL_2020_2021,22,real,2020-2021,14
REAL_HISTORICAL_2020_2021,23,real,2020-2021,14
REAL_HISTORICAL_2020_2021,24,real,2020-2021,14
REAL_HISTORICAL_2020_2021,25,real,2020-2021,14
REAL_HISTORICAL_2020_2021,26,real,2020-2021,14
REAL_HISTORICAL_2020_2021,27,real,2020-2021,14
REAL_HISTORICAL_2020_2021,28,real,2020-2021,14
REAL_HISTORICAL_2020_2021,29,real,2020-2021,14
REAL_HISTORICAL_2020_2021,30,real,2020-2021,14
REAL_HISTORICAL_2020_2021,31,real,2020-2021,14
REAL_HISTORICAL_2020_2021,32,real,2020-2021,14
REAL_HISTORICAL_2020_2021,33,real,2020-2021,14
REAL_HISTORICAL_2020_2021,34,real,2020-2021,14
REAL_HISTORICAL_2020_2021,35,real,2020-2021,14
REAL_HISTORICAL_2020_2021,36,real,2020-2021,14
REAL_HISTORICAL_2020_2021,37,real,2020-2021,14
REAL_HISTORICAL_2020_2021,38,real,2020-2021,14
REAL_HISTORICAL_2020_2021,39,real,2020-2021,14
REAL_HISTORICAL_2020_2021,40,real,2020-2021,14
REAL_HISTORICAL_2020_2021,41,real,2020-2021,14
REAL_HISTORICAL_2020_2021,42,real,2020-2021,14
REAL_HISTORICAL_2020_2021,43,real,2020-2021,14
REAL_HISTORICAL_2020_2021,44,real,2020-2021,14
REAL_HISTORICAL_2020_2021,45,real,2020-2021,14
REAL_HISTORICAL_2020_2021,46,real,2020-2021,14
REAL_HISTORICAL_2020_2021,47,real,2020-2021,14
REAL_HISTORICAL_2020_2021,48,real,2020-2021,14
REAL_HISTORICAL_2020_2021,49,real,2020-2021,14
REAL_HISTORICAL_2020_2021,50,real,2020-2021,14
REAL_HISTORICAL_2020_2021,51,real,2020-2021,14
REAL_HISTORICAL_2020_2021,52,real,2020-2021,14
REAL_HISTORICAL_2020_2021,53,real,2020-2021,14
REAL_HISTORICAL_2020_2021,54,real,2020-2021,14
REAL_HISTORICAL_2020_2021,55,real,2020-2021,14
REAL_HISTORICAL_2020_2021,56,real,2020-2021,14
REAL_HISTORICAL_2020_2021,57,real,2020-2021,14
REAL_HISTORICAL_2020_2021,58,real,2020-2021,14
REAL_HISTORICAL_2020_2021,59,real,2020-2021,14
REAL_HISTORICAL_2020_2021,60,real,2020-2021,14
REAL_HISTORICAL_2020_2021,61,real,2020-2021,14
REAL_HISTORICAL_2020_2021,62,real,2020-2021,14
REAL_HISTORICAL_2020_2021,63,real,2020-2021,14
REAL_HISTORICAL_2020_2021,64,real,2020-2021,14
REAL_HISTORICAL_2020_2021,65,real,2020-2021,14
REAL_HISTORICAL_2020_2021,66,real,2020-2021,14
REAL_HISTORICAL_2020_2021,67,real,2020-2021,14
REAL_HISTORICAL_2020_2021,68,real,2020-2021,14
REAL_HISTORICAL_2020_2021,69,real,2020-2021,14
REAL_HISTORICAL_2020_2021,70,real,2020-2021,14
REAL_HISTORICAL_2020_2021,71,real,2020-2021,14
REAL_HISTORICAL_2020_2021,72,real,2020-2021,14
REAL_HISTORICAL_2020_2021,73,real,2020-2021,14
REAL_HISTORICAL_2020_2021,74,real,2020-2021,14
REAL_HISTORICAL_2020_2021,75,real,2020-2021,14
REAL_HISTORICAL_2020_2021,76,real,2020-2021,14
REAL_HISTORICAL_2020_2021,77,real,2020-2021,14
REAL_HISTORICAL_2020_2021,78,real,2020-2021,14
REAL_HISTORICAL_2020_2021,79,real,2020-2021,14
REAL_HISTORICAL_2020_2021,80,real,2020-2021,14
REAL_HISTORICAL_2020_2021,81,real,2020-2021,14
REAL_HISTORICAL_2020_2021,82,real,2020-2021,14
REAL_HISTORICAL_2020_2021,83,real,2020-2021,14
REAL_HISTORICAL_2020_2021,84,real,2020-2021,14
REAL_HISTORICAL_2020_2021,85,real,2020-2021,14
REAL_HISTORICAL_2020_2021,86,real,2020-2021,14
REAL_HISTORICAL_2020_2021,87,real,2020-2021,14
REAL_HISTORICAL_2020_2021,88,real,2020-2021,14
REAL_HISTORICAL_2020_2021,89,real,2020-2021,14
REAL_HISTORICAL_2020_2021,90,real,2020-2021,14
REAL_HISTORICAL_2020_2021,91,real,2020-2021,14
