feature_name,feature_group,source_variable,feature_type,units,temporal_availability,prediction_safe,model_feature_order,attribution_group
pm25_lag_14d,unknown,pm25,continuous,various,lagged,True,1,pm25_persistence
pm25_lag_1d,unknown,pm25,continuous,various,lagged,True,2,pm25_persistence
pm25_lag_2d,unknown,pm25,continuous,various,lagged,True,3,pm25_persistence
pm25_lag_3d,unknown,pm25,continuous,various,lagged,True,4,pm25_persistence
pm25_lag_7d,unknown,pm25,continuous,various,lagged,True,5,pm25_persistence
pm25_roll_max_14d,unknown,pm25,continuous,various,lagged,True,6,pm25_persistence
pm25_roll_max_30d,unknown,pm25,continuous,various,lagged,True,7,pm25_persistence
pm25_roll_max_3d,unknown,pm25,continuous,various,lagged,True,8,pm25_persistence
pm25_roll_max_7d,unknown,pm25,continuous,various,lagged,True,9,pm25_persistence
pm25_roll_mean_14d,unknown,pm25,continuous,various,lagged,True,10,pm25_persistence
pm25_roll_mean_30d,unknown,pm25,continuous,various,lagged,True,11,pm25_persistence
pm25_roll_mean_3d,unknown,pm25,continuous,various,lagged,True,12,pm25_persistence
pm25_roll_mean_7d,unknown,pm25,continuous,various,lagged,True,13,pm25_persistence
pm25_roll_median_14d,unknown,pm25,continuous,various,lagged,True,14,pm25_persistence
pm25_roll_median_30d,unknown,pm25,continuous,various,lagged,True,15,pm25_persistence
pm25_roll_median_3d,unknown,pm25,continuous,various,lagged,True,16,pm25_persistence
pm25_roll_median_7d,unknown,pm25,continuous,various,lagged,True,17,pm25_persistence
pm25_roll_min_14d,unknown,pm25,continuous,various,lagged,True,18,pm25_persistence
pm25_roll_min_30d,unknown,pm25,continuous,various,lagged,True,19,pm25_persistence
pm25_roll_min_3d,unknown,pm25,continuous,various,lagged,True,20,pm25_persistence
pm25_roll_min_7d,unknown,pm25,continuous,various,lagged,True,21,pm25_persistence
pm25_roll_std_14d,unknown,pm25,continuous,various,lagged,True,22,pm25_persistence
pm25_roll_std_30d,unknown,pm25,continuous,various,lagged,True,23,pm25_persistence
pm25_roll_std_3d,unknown,pm25,continuous,various,lagged,True,24,pm25_persistence
pm25_roll_std_7d,unknown,pm25,continuous,various,lagged,True,25,pm25_persistence
pm25_roll_var_14d,unknown,pm25,continuous,various,lagged,True,26,pm25_persistence
pm25_roll_var_30d,unknown,pm25,continuous,various,lagged,True,27,pm25_persistence
pm25_roll_var_3d,unknown,pm25,continuous,various,lagged,True,28,pm25_persistence
pm25_roll_var_7d,unknown,pm25,continuous,various,lagged,True,29,pm25_persistence
temperature_c_roll_min_3d,unknown,temperature,continuous,various,lagged,True,30,meteorology
humidity_pct_roll_min_3d,unknown,humidity,continuous,various,lagged,True,31,meteorology
wind_speed_kmh_roll_mean_30d,unknown,wind,continuous,various,lagged,True,32,wind_ventilation
wind_speed_kmh_roll_std_7d,unknown,wind,continuous,various,lagged,True,33,wind_ventilation
humidity_pct_lag_1d,unknown,humidity,continuous,various,lagged,True,34,meteorology
wind_speed_kmh_roll_var_3d,unknown,wind,continuous,various,lagged,True,35,wind_ventilation
humidity_pct_roll_max_14d,unknown,humidity,continuous,various,lagged,True,36,meteorology
wind_speed_kmh_roll_median_3d,unknown,wind,continuous,various,lagged,True,37,wind_ventilation
humidity_pct_roll_max_3d,unknown,humidity,continuous,various,lagged,True,38,meteorology
temperature_c_roll_mean_30d,unknown,temperature,continuous,various,lagged,True,39,meteorology
temperature_c_roll_median_30d,unknown,temperature,continuous,various,lagged,True,40,meteorology
wind_speed_kmh_roll_std_30d,unknown,wind,continuous,various,lagged,True,41,wind_ventilation
humidity_pct_roll_median_30d,unknown,humidity,continuous,various,lagged,True,42,meteorology
wind_speed_kmh_roll_max_14d,unknown,wind,continuous,various,lagged,True,43,wind_ventilation
humidity_pct_roll_min_7d,unknown,humidity,continuous,various,lagged,True,44,meteorology
festival_window,unknown,festival,continuous,various,lagged,True,45,calendar_seasonal
wind_speed_kmh_roll_min_7d,unknown,wind,continuous,various,lagged,True,46,wind_ventilation
wind_speed_kmh_roll_max_30d,unknown,wind,continuous,various,lagged,True,47,wind_ventilation
humidity_pct_roll_mean_7d,unknown,humidity,continuous,various,lagged,True,48,meteorology
temperature_c_roll_median_14d,unknown,temperature,continuous,various,lagged,True,49,meteorology
wind_speed_kmh_roll_mean_7d,unknown,wind,continuous,various,lagged,True,50,wind_ventilation
wind_speed_kmh_lag_3d,unknown,wind,continuous,various,lagged,True,51,wind_ventilation
wind_speed_kmh_roll_mean_14d,unknown,wind,continuous,various,lagged,True,52,wind_ventilation
temperature_c_roll_var_3d,unknown,temperature,continuous,various,lagged,True,53,meteorology
humidity_pct_lag_14d,unknown,humidity,continuous,various,lagged,True,54,meteorology
temperature_c_roll_max_30d,unknown,temperature,continuous,various,lagged,True,55,meteorology
temperature_c_roll_std_14d,unknown,temperature,continuous,various,lagged,True,56,meteorology
humidity_pct_roll_max_7d,unknown,humidity,continuous,various,lagged,True,57,meteorology
temperature_c_roll_std_30d,unknown,temperature,continuous,various,lagged,True,58,meteorology
humidity_pct_roll_var_30d,unknown,humidity,continuous,various,lagged,True,59,meteorology
wind_speed_kmh_roll_std_14d,unknown,wind,continuous,various,lagged,True,60,wind_ventilation
humidity_pct_roll_min_30d,unknown,humidity,continuous,various,lagged,True,61,meteorology
wind_speed_kmh_roll_median_30d,unknown,wind,continuous,various,lagged,True,62,wind_ventilation
humidity_pct_roll_mean_14d,unknown,humidity,continuous,various,lagged,True,63,meteorology
temperature_c_roll_min_14d,unknown,temperature,continuous,various,lagged,True,64,meteorology
temperature_c_roll_min_30d,unknown,temperature,continuous,various,lagged,True,65,meteorology
humidity_pct_roll_median_7d,unknown,humidity,continuous,various,lagged,True,66,meteorology
humidity_pct_roll_var_3d,unknown,humidity,continuous,various,lagged,True,67,meteorology
wind_speed_kmh_roll_median_14d,unknown,wind,continuous,various,lagged,True,68,wind_ventilation
humidity_pct_roll_median_14d,unknown,humidity,continuous,various,lagged,True,69,meteorology
humidity_pct_roll_mean_30d,unknown,humidity,continuous,various,lagged,True,70,meteorology
temperature_c_roll_max_3d,unknown,temperature,continuous,various,lagged,True,71,meteorology
temperature_c_roll_mean_14d,unknown,temperature,continuous,various,lagged,True,72,meteorology
temperature_c_lag_3d,unknown,temperature,continuous,various,lagged,True,73,meteorology
humidity_pct_roll_mean_3d,unknown,humidity,continuous,various,lagged,True,74,meteorology
humidity_pct_roll_std_7d,unknown,humidity,continuous,various,lagged,True,75,meteorology
temperature_c_roll_var_14d,unknown,temperature,continuous,various,lagged,True,76,meteorology
temperature_c_lag_2d,unknown,temperature,continuous,various,lagged,True,77,meteorology
wind_speed_kmh_roll_max_7d,unknown,wind,continuous,various,lagged,True,78,wind_ventilation
temperature_c_roll_min_7d,unknown,temperature,continuous,various,lagged,True,79,meteorology
wind_speed_kmh_roll_var_7d,unknown,wind,continuous,various,lagged,True,80,wind_ventilation
humidity_pct_roll_std_14d,unknown,humidity,continuous,various,lagged,True,81,meteorology
humidity_pct_lag_7d,unknown,humidity,continuous,various,lagged,True,82,meteorology
wind_speed_kmh_roll_min_3d,unknown,wind,continuous,various,lagged,True,83,wind_ventilation
temperature_c_lag_1d,unknown,temperature,continuous,various,lagged,True,84,meteorology
humidity_pct_lag_2d,unknown,humidity,continuous,various,lagged,True,85,meteorology
humidity_pct_roll_std_3d,unknown,humidity,continuous,various,lagged,True,86,meteorology
temperature_c_lag_14d,unknown,temperature,continuous,various,lagged,True,87,meteorology
wind_speed_kmh_lag_14d,unknown,wind,continuous,various,lagged,True,88,wind_ventilation
humidity_pct_roll_var_7d,unknown,humidity,continuous,various,lagged,True,89,meteorology
wind_speed_kmh_lag_7d,unknown,wind,continuous,various,lagged,True,90,wind_ventilation
temperature_c_lag_7d,unknown,temperature,continuous,various,lagged,True,91,meteorology
wind_speed_kmh_lag_1d,unknown,wind,continuous,various,lagged,True,92,wind_ventilation
temperature_c_roll_max_14d,unknown,temperature,continuous,various,lagged,True,93,meteorology
wind_speed_kmh_roll_var_14d,unknown,wind,continuous,various,lagged,True,94,wind_ventilation
humidity_pct_roll_min_14d,unknown,humidity,continuous,various,lagged,True,95,meteorology
temperature_c_roll_mean_7d,unknown,temperature,continuous,various,lagged,True,96,meteorology
temperature_c_roll_std_3d,unknown,temperature,continuous,various,lagged,True,97,meteorology
temperature_c_roll_median_3d,unknown,temperature,continuous,various,lagged,True,98,meteorology
temperature_c_roll_var_7d,unknown,temperature,continuous,various,lagged,True,99,meteorology
humidity_pct_roll_var_14d,unknown,humidity,continuous,various,lagged,True,100,meteorology
temperature_c_roll_max_7d,unknown,temperature,continuous,various,lagged,True,101,meteorology
wind_speed_kmh_roll_std_3d,unknown,wind,continuous,various,lagged,True,102,wind_ventilation
humidity_pct_lag_3d,unknown,humidity,continuous,various,lagged,True,103,meteorology
wind_speed_kmh_roll_min_14d,unknown,wind,continuous,various,lagged,True,104,wind_ventilation
wind_speed_kmh_roll_var_30d,unknown,wind,continuous,various,lagged,True,105,wind_ventilation
humidity_pct_roll_median_3d,unknown,humidity,continuous,various,lagged,True,106,meteorology
humidity_pct_roll_max_30d,unknown,humidity,continuous,various,lagged,True,107,meteorology
wind_speed_kmh_roll_min_30d,unknown,wind,continuous,various,lagged,True,108,wind_ventilation
humidity_pct_roll_std_30d,unknown,humidity,continuous,various,lagged,True,109,meteorology
wind_speed_kmh_roll_max_3d,unknown,wind,continuous,various,lagged,True,110,wind_ventilation
temperature_c_roll_median_7d,unknown,temperature,continuous,various,lagged,True,111,meteorology
temperature_c_roll_std_7d,unknown,temperature,continuous,various,lagged,True,112,meteorology
wind_speed_kmh_lag_2d,unknown,wind,continuous,various,lagged,True,113,wind_ventilation
temperature_c_roll_var_30d,unknown,temperature,continuous,various,lagged,True,114,meteorology
wind_speed_kmh_roll_median_7d,unknown,wind,continuous,various,lagged,True,115,wind_ventilation
wind_speed_kmh_roll_mean_3d,unknown,wind,continuous,various,lagged,True,116,wind_ventilation
temperature_c_roll_mean_3d,unknown,temperature,continuous,various,lagged,True,117,meteorology
fire_hotspot_count_roll_min_30d,unknown,fire,continuous,various,lagged,True,118,biomass_burning
fire_hotspot_count_roll_mean_14d,unknown,fire,continuous,various,lagged,True,119,biomass_burning
fire_hotspot_count_roll_min_14d,unknown,fire,continuous,various,lagged,True,120,biomass_burning
fire_hotspot_count_roll_var_30d,unknown,fire,continuous,various,lagged,True,121,biomass_burning
fire_hotspot_count_roll_min_7d,unknown,fire,continuous,various,lagged,True,122,biomass_burning
fire_hotspot_count_roll_mean_30d,unknown,fire,continuous,various,lagged,True,123,biomass_burning
fire_hotspot_count_lag_14d,unknown,fire,continuous,various,lagged,True,124,biomass_burning
fire_hotspot_count_roll_std_30d,unknown,fire,continuous,various,lagged,True,125,biomass_burning
fire_hotspot_count_roll_std_14d,unknown,fire,continuous,various,lagged,True,126,biomass_burning
fire_hotspot_count_roll_var_3d,unknown,fire,continuous,various,lagged,True,127,biomass_burning
is_stubble_season,unknown,is,continuous,various,lagged,True,128,biomass_burning
fire_hotspot_count_roll_max_30d,unknown,fire,continuous,various,lagged,True,129,biomass_burning
fire_hotspot_count_lag_2d,unknown,fire,continuous,various,lagged,True,130,biomass_burning
fire_hotspot_count_roll_min_3d,unknown,fire,continuous,various,lagged,True,131,biomass_burning
fire_hotspot_count_lag_1d,unknown,fire,continuous,various,lagged,True,132,biomass_burning
fire_hotspot_count_roll_median_7d,unknown,fire,continuous,various,lagged,True,133,biomass_burning
fire_hotspot_count_roll_median_14d,unknown,fire,continuous,various,lagged,True,134,biomass_burning
fire_hotspot_count_roll_max_3d,unknown,fire,continuous,various,lagged,True,135,biomass_burning
fire_hotspot_count_roll_std_7d,unknown,fire,continuous,various,lagged,True,136,biomass_burning
fire_hotspot_count_roll_median_30d,unknown,fire,continuous,various,lagged,True,137,biomass_burning
fire_hotspot_count_lag_7d,unknown,fire,continuous,various,lagged,True,138,biomass_burning
fire_hotspot_count_roll_std_3d,unknown,fire,continuous,various,lagged,True,139,biomass_burning
fire_hotspot_count_roll_max_7d,unknown,fire,continuous,various,lagged,True,140,biomass_burning
fire_hotspot_count_roll_median_3d,unknown,fire,continuous,various,lagged,True,141,biomass_burning
fire_hotspot_count_roll_mean_7d,unknown,fire,continuous,various,lagged,True,142,biomass_burning
fire_hotspot_count_lag_3d,unknown,fire,continuous,various,lagged,True,143,biomass_burning
fire_hotspot_count_roll_max_14d,unknown,fire,continuous,various,lagged,True,144,biomass_burning
fire_hotspot_count_roll_var_7d,unknown,fire,continuous,various,lagged,True,145,biomass_burning
fire_hotspot_count_roll_mean_3d,unknown,fire,continuous,various,lagged,True,146,biomass_burning
fire_hotspot_count_roll_var_14d,unknown,fire,continuous,various,lagged,True,147,biomass_burning
