feature_order,feature_name,status,production_input
1,pm25_lag_1d,APPROVED_PREDICTION_SAFE,True
2,pm25_lag_2d,APPROVED_PREDICTION_SAFE,True
3,pm25_lag_3d,APPROVED_PREDICTION_SAFE,True
4,pm25_lag_7d,APPROVED_PREDICTION_SAFE,True
5,pm25_roll_mean_3d,APPROVED_PREDICTION_SAFE,True
6,pm25_roll_mean_7d,APPROVED_PREDICTION_SAFE,True
7,pm25_roll_mean_14d,APPROVED_PREDICTION_SAFE,True
8,pm25_roll_std_7d,APPROVED_PREDICTION_SAFE,True
9,pm25_roll_max_7d,APPROVED_PREDICTION_SAFE,True
10,pm25_roll_min_7d,APPROVED_PREDICTION_SAFE,True
11,temperature_c_lag_1d,APPROVED_PREDICTION_SAFE,True
12,temperature_c_roll_mean_3d,APPROVED_PREDICTION_SAFE,True
13,temperature_c_roll_min_3d,APPROVED_PREDICTION_SAFE,True
14,humidity_pct_lag_1d,APPROVED_PREDICTION_SAFE,True
15,humidity_pct_roll_mean_3d,APPROVED_PREDICTION_SAFE,True
16,humidity_pct_roll_max_7d,APPROVED_PREDICTION_SAFE,True
17,wind_speed_kmh_lag_1d,APPROVED_PREDICTION_SAFE,True
18,wind_speed_kmh_roll_mean_3d,APPROVED_PREDICTION_SAFE,True
19,wind_u_component_1d,APPROVED_PREDICTION_SAFE,True
20,wind_v_component_1d,APPROVED_PREDICTION_SAFE,True
21,is_stubble_season,APPROVED_PREDICTION_SAFE,True
22,fire_hotspot_count_lag_1d,APPROVED_PREDICTION_SAFE,True
23,fire_hotspot_count_roll_mean_3d,APPROVED_PREDICTION_SAFE,True
24,fire_hotspot_count_roll_mean_7d,APPROVED_PREDICTION_SAFE,True
25,upwind_stubble_quadrant_1d,APPROVED_PREDICTION_SAFE,True
26,rainfall_1d,APPROVED_PREDICTION_SAFE,True
27,rainfall_3d,APPROVED_PREDICTION_SAFE,True
28,rain_event_1d,APPROVED_PREDICTION_SAFE,True
29,washout_index_3d,APPROVED_PREDICTION_SAFE,True
30,pblh_1d,APPROVED_PREDICTION_SAFE,True
31,pblh_min_1d,APPROVED_PREDICTION_SAFE,True
32,pblh_roll_mean_3d,APPROVED_PREDICTION_SAFE,True
33,ventilation_index_1d,APPROVED_PREDICTION_SAFE,True
34,aod_550_1d,APPROVED_PREDICTION_SAFE,True
35,festival_window,APPROVED_PREDICTION_SAFE,True
